fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
wing_left_3_2	Wing_Left_3_2	CLEAR	a numbered left wing control	CLEAR	groupFile/Wings	High		matches direct sibling Wing_Left_3_1, CLEAR/CLEAR/Wings	P87	
l string2 tip sec	l string2 tip sec	CLEAR	a left numbered string accessory, tip section	NEEDS_CONTEXT		High	no owner/garment named	direct sibling 'r string2 tip sec', CLEAR/NEEDS_CONTEXT	P87	
dlid_l_3	DLid_L_3	CLEAR	a left eyelid control, numbered	CLEAR	groupFile/Face/Eyes	High		direct sibling DLid_L_2, CLEAR/CLEAR/Face/Eyes	P87	
flapleft_open	flapleft_open	PARTIAL	a left 'flap' (ambiguous object) open control	NEEDS_CONTEXT		High	materially different core readings remain plausible	matches direct sibling flapleft, PARTIAL/NEEDS_CONTEXT	P87	
box_face_05_m	Box_Face_05_M	PARTIAL	a 'Box Face' (a geometric face/panel of a box object vs. a character's face), numbered, variant M	NEEDS_CONTEXT		Medium	no positive evidence resolves the 20-member template	settled Box_Face_##_M family precedent (Tranche 7 reconciliation)	P87	
bas.side_left_2_jiggle	BAS.Side_Left_2_jiggle	CLEAR	a jiggle-physics function in the BAS. internal namespace, position side-left, numbered	NEEDS_CONTEXT		High	no anatomical owner named	matches majority jiggle-suffixed BAS. pattern (function known, owner unresolved)	P87	
first_loose_page1_m	First_Loose_Page1_M	CLEAR	a numbered loose-page book control, variant M	CLEAR	groupFile/Other	High		matches First_Loose_Page2_M/4_M sibling series, all CLEAR/CLEAR/Other	P87	
bip_stone_l_thightwist	Bip_STONE_L_ThighTwist	CLEAR	a left thigh twist bone on the Stone rig namespace	CLEAR	groupFile/Legs	High		matches direct sibling Bip_STONE_L_ThighTwist1, CLEAR/CLEAR/Legs	P87	
no teeth top	No teeth top	CLEAR	a 'no teeth' toggle, top	CLEAR	groupFile/Face/Tongue	High		matches direct sibling 'no teeth bottom' and the teeth-none-forms-to-Tongue precedent	P87	
v_weapon.left_index03	v_weapon.Left_Index03	CLEAR	a left index-finger bone, segment 03, on a weapon-hand namespace	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		direct sibling v_weapon.Left_Index02, CLEAR/CLEAR/LeftFingers	P87	
finger_index_left_0	finger_index_left_0	CLEAR	a left index-finger bone, segment 0	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		matches finger_index_left_1/2 sibling series, all CLEAR/CLEAR/LeftFingers	P87	
cloth middle 8	cloth middle 8	CLEAR	a middle cloth garment control, numbered	CLEAR	groupFile/Clothing	High		matches extensive 'cloth middle' sibling family, all CLEAR/CLEAR/Clothing	P87	
closed_eye_l	Closed_Eye_L	CLEAR	a left closed-eye control	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid mechanism (rule 12)	P87	
stockingsthicc thighs	StockingsThicc thighs	CLEAR	a stockings-thicc-thighs garment fit control	CLEAR	groupFile/Clothing	High		matches direct sibling StockingsThiccer, CLEAR/CLEAR/Clothing	P87	
