fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
unused bip01_rcalftwist_jiggle	unused Bip01_RCalfTwist_Jiggle	CLEAR	a self-declared unused calf-twist jiggle control	CLEAR	groupFile/Useless	High		"explicit self-declared ""unused"" marker (rule 15)"	P52
arm right cloth 3c	arm right cloth 3c	CLEAR	a generic cloth control on the right arm, variant 3c	CLEAR	groupFile/Clothing	High		matches rule 22's generic-cloth-control CLEAR example	P52
hinge.top	Hinge.Top	CLEAR	a hinge (mechanical object), top	CLEAR	groupFile/Other	High		recognized mechanical object	P52
unusedbone164	unusedbone164	CLEAR	a self-declared unused bone	CLEAR	groupFile/Useless	High		"explicit self-declared ""unused"" marker"	P52
spike_12_m	Spike_12_M	CLEAR	a spike (bare accessory), numbered, middle	NEEDS_CONTEXT		Medium	no owner/mount is named for the spike	bare decorative-accessory noun with no named owner (rule 25)	P52
row_chair003	row_chair003	CLEAR	a chair, row-numbered	CLEAR	groupFile/Other	High		recognized furniture object	P52
hose_06	Hose_06	PARTIAL	"a ""hose"", numbered"	NEEDS_CONTEXT		Low	"""hose"" has materially different core senses (clothing hosiery / mechanical fluid hose)"	genuinely competing core readings	P52
ス前先.l	ス前先.L	OPAQUE	"Japanese position phrase (""front-tip""/""front-end""), no anatomical or functional object named, left"	NOT_APPLICABLE		Low		matches the settled bare-positional-Japanese-phrase precedent (cf. side-tip)	P52
valvebiped.bip01_r_foot01	ValveBiped.Bip01_R_Foot01	CLEAR	right foot, numbered segment	CLEAR	groupFile/Legs	High		ordinary structural anatomy	P52
bow right a 1	bow right a 1	PARTIAL	"a ""bow"", right, variant a, numbered"	NEEDS_CONTEXT		Medium	"""bow"" has materially different core senses (decorative bow / archery bow / ship's bow)"	"matches the settled bare-""bow""-multi-sense precedent"	P52
bip_spikes_l	bip_spikes_l	CLEAR	spikes (bare accessory), left	NEEDS_CONTEXT		Medium	no owner/mount is named for the spikes	bare decorative-accessory noun with no named owner (rule 25)	P52
vr_headset_adj	vr_headset_adj	CLEAR	a VR headset, adjustment	CLEAR	groupFile/Other	High		recognized handheld/wearable-prop equipment	P52
outerlipsdown	OuterLipsDown	CLEAR	outer labia, downward direction	CLEAR	groupFile/Body	Medium		"""outer lips"" matches the standard inner/outer-labia genital naming convention more closely than any established facial-lip convention"	P52
head nostril left 01	head nostril left 01	CLEAR	nostril, left, numbered, on a head location prefix	CLEAR	groupFile/Face/Mid Face	High		"""nostril"" is the explicit localized feature (rule 13); ""head"" is only a location prefix"	P52
bone-l-thigh-twist	Bone-L-Thigh-Twist	CLEAR	left thigh, twist	CLEAR	groupFile/Legs	High		ordinary rig anatomy; twist is not corrective evidence (rule 3)	P52
bipmar r finger2	BipMar R Finger2	CLEAR	right hand finger, numbered, on a rig prefix	CLEAR	groupFile/Arms/RightArm/RightFingers	High		ordinary finger anatomy, verified RightFingers subpath	P52
brows-full-anger	Brows-Full-Anger	CLEAR	eyebrows, full anger expression	CLEAR	groupFile/Face/Upper Face	High		localized eyebrow expression	P52
fa_squint_right_inn	fa_squint_right_inn	CLEAR	eye squint, right, inward	CLEAR	groupFile/Face/Eyes	High		localized eye action	P52
flm-arma-sworda-cr2	Flm-ArmA-SwordA-CR2	CLEAR	"a ""sword"" element within the internal ""Flm-ArmA"" namespace, variant CR2"	CLEAR	groupFile/Other	Medium		"internal namespace set aside (rule 24); ""sword"" is grounded weapon content"	P52
bip_pussylower_1_l	bip_PussyLower_1_L	CLEAR	vagina, lower, numbered, left	CLEAR	groupFile/Body	High		plain structural genital anatomy	P52
magazine02	Magazine02	CLEAR	a weapon ammunition magazine, numbered	CLEAR	groupFile/Other	High		recognized weapon-part object	P52
cord4	Cord4	CLEAR	a cord (bare accessory), numbered	NEEDS_CONTEXT		Medium	no owner/mount is named for the cord	bare decorative-accessory noun with no named owner (rule 25)	P52
pestle	pestle	CLEAR	a pestle (kitchen/lab object)	CLEAR	groupFile/Other	High		recognized real-world object	P52
enlargecirclet	EnlargeCirclet	CLEAR	a circlet (headpiece accessory), enlarge	CLEAR	groupFile/Clothing	High		recognized worn headpiece accessory	P52
pjcmchestside24r	pJCMChestSide24R	CLEAR	a joint-corrective-morph (JCM) on the chest, side, numbered, right	CLEAR	groupFile/Correctives	High		explicit JCM corrective-purpose naming (rule 5)	P52
eyerightclose	EyeRightClose	CLEAR	eye, right, close	CLEAR	groupFile/Face/Eyes	High		localized eye action	P52
bone192	Bone192	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P52
bip_bellcollar_1_r	bip_BellCollar_1_R	CLEAR	"a ""Bell Collar"" costume accessory, numbered, right"	CLEAR	groupFile/Clothing	High		matches the settled named-costume-accessory precedent (bip_BellCollar family)	P52
