fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
unused spine lower item_ssx h #2	unused spine lower item_SSX H #2	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P01	501
wep_paddle2	WEP_Paddle2	CLEAR	weapon/prop paddle item, variant 2	CLEAR	groupFile/Other	High		recognized WEP-prefixed prop, Other precedent	P01	502
key.black_11	Key.Black_11	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P01	503
arm left elbow adjust b	arm left elbow adjust b	CLEAR	left elbow adjustment control, variant b	CLEAR	groupFile/Arms	High		ordinary arm elbow adjuster, no corrective purpose stated	P01	504
key.black_13	Key.Black_13	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P01	505
unused head neck upper attached_head root ground	unused head neck upper attached_head root ground	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P01	506
right arm twist	Right arm twist	CLEAR	right arm twist bone	CLEAR	groupFile/Arms	High		ordinary twist bone, not corrective by itself (rule 3)	P01	507
009	009	OPAQUE	bare number, no words at all	NOT_APPLICABLE		Low	a number alone carries no semantic content	no interpretable content	P01	508
l_thumb1b_00001	l_thumb1b_00001	CLEAR	left thumb segment 1b	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger/thumb segment, verified LeftFingers subpath	P01	509
bottle4_liquid	bottle4_liquid	CLEAR	bottle prop with liquid effect, variant 4	CLEAR	groupFile/Other	High		recognized handheld/prop item	P01	510
front bar 5_2	Front bar 5_2	PARTIAL	"a ""bar"" object, front position, numbered"	NEEDS_CONTEXT		Low	"""bar"" has materially different core readings (mechanical linkage / prop / furniture / weapon part) with no anchor word"	bare ambiguous object noun, no owner	P01	511
lshoulderjb	LShoulderJb	CLEAR	"left shoulder control (""Jb"" suffix mechanism unresolved)"	CLEAR	groupFile/Arms	Medium		shoulder is the stable core reading; undecoded suffix does not change destination	P01	512
torso pipe b l 1c	torso pipe B L 1c	CLEAR	"torso region rig chain/""pipe"" control, variant B L 1c"	CLEAR	groupFile/Body	Medium	"exact chain/deformation mechanism of ""pipe"" unresolved, but torso anchors the region"	torso-anchored rig control, mechanism unstated	P01	513
head hat wardpaper 2	head hat wardpaper 2	CLEAR	hat (worn headwear), unclear pattern/texture qualifier, variant 2	CLEAR	groupFile/Clothing	Medium	"""wardpaper"" does not resolve to a known word"	hat is the clear worn-object referent	P01	514
object39	Object39	OPAQUE	generic placeholder object name, no referent	NOT_APPLICABLE		Low	"numbered generic ""Object"" placeholder with no functional/regional word"	no interpretable content	P01	515
