fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
third_arms_l_wrist	Third_Arms_L_Wrist	CLEAR	left wrist, third arm	CLEAR	groupFile/Arms	High		limb count does not change destination (rule 19)	P10	1401
maid.bow_right_lower_3	Maid.Bow_Right_Lower_3	CLEAR	decorative bow, right, lower, variant 3, maid-costume context	CLEAR	groupFile/Clothing	Medium		"""Maid"" costume context grounds this as a decorative garment bow"	P10	1402
unused head neck upper	unused head neck upper	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P10	1403
c_tier_c06	C_TieR_C06	CLEAR	necktie garment, right, variant C06	CLEAR	groupFile/Clothing	High		matches the established C_Tie[L/R] pattern	P10	1404
bone.021	Bone.021	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P10	1405
fh12.r	Fh12.R	OPAQUE	ungrounded two-letter code plus number, right	NOT_APPLICABLE		Low	"a possible ""forehead"" abbreviation reading is not grounded enough to assert"	ungrounded abbreviation	P10	1406
taurenmale_hd_bone_127	taurenmale_hd_bone_127	OPAQUE	a generic numbered bone in the TaurenMale_HD model/variant series; anatomical region/function unknown	NOT_APPLICABLE		Low	"the numbered suffix carries no anatomical specificity, and ""HD"" is an ungrounded model/variant tag with no confirmed anatomical meaning"	matches the settled TaurenMale_HD family treatment	P10	1407
cape2_left51	CAPE2_LEFT51	CLEAR	cape garment, left, variant 51	CLEAR	groupFile/Clothing	High		worn garment	P10	1408
stool control	stool control	CLEAR	a stool control	CLEAR	groupFile/Other	High		recognized furniture prop (rule 16)	P10	1409
sidehair_l_2	sidehair_L_2	CLEAR	side hair, left, segment 2	CLEAR	groupFile/Hair	High		ordinary hair control	P10	1410
bip01_r_clavicle002	Bip01_R_Clavicle002	CLEAR	right clavicle, numbered sub-bone 002	CLEAR	groupFile/Arms	High		clavicle/shoulder-girdle anatomy	P10	1411
assfatshorts	AssFatShorts	CLEAR	"buttock ""fat"" shape, shorts context"	CLEAR	groupFile/Body Morphs	Medium		soft-tissue shape descriptor is the primary subject; shorts is only the triggering context (rule 8)	P10	1412
r_front_holster_0u_5v	r_front_holster_0u_5v	CLEAR	holster, right, front	CLEAR	groupFile/Clothing	High		worn-equipment holster default (rule 16)	P10	1413
torso pipe b l 2c	torso pipe B L 2c	CLEAR	"torso region rig chain/""pipe"" control, variant B L 2c"	CLEAR	groupFile/Body	Medium	"exact chain/deformation mechanism of ""pipe"" unresolved, but torso anchors the region"	torso-anchored rig control, mechanism unstated	P10	1414
belly side back left 1	belly side back left 1	CLEAR	belly, side, back, left (structural), variant 1	CLEAR	groupFile/Body	Medium		plain structural anatomy, no shape/state word (rule 6)	P10	1415
head cheeck right 2	head cheeck right 2	CLEAR	cheek, right, segment 2	CLEAR	groupFile/Face/Mid Face	High	"""cheeck"" read as ""cheek"""	mid-face cheek anatomy	P10	1416
plant 2	Plant 2	CLEAR	a plant, variant 2	CLEAR	groupFile/Other	High		recognized environment prop	P10	1417
hurtl	HurtL	CLEAR	hurt expression, left	CLEAR	groupFile/Face/Expressions	High		matches HurtR precedent explicitly cited as CLEAR (rule 22)	P10	1418
taurenmale_hd_bone_122	taurenmale_hd_bone_122	OPAQUE	a generic numbered bone in the TaurenMale_HD model/variant series; anatomical region/function unknown	NOT_APPLICABLE		Low	"the numbered suffix carries no anatomical specificity, and ""HD"" is an ungrounded model/variant tag with no confirmed anatomical meaning"	matches the settled TaurenMale_HD family treatment	P10	1419
canin_pen_3	canin_pen_3	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low	"a possible ""canine penis"" reading is not grounded enough to assert"	ungrounded compound	P10	1420
bellyin-bottomnude	BellyIn-bottomnude	CLEAR	belly-in (stomach-in) deformation, nude-bottom clothing-state variant	CLEAR	groupFile/Body Morphs	High		"""BellyIn"" is a confirmed shape/deformation term (established Master ""bellyin""->Body Morphs precedent)"	P10	1421
leg_bone_correct_l_01	leg_bone_correct_l_01	CLEAR	leg bone pose-correction, left, variant 01	CLEAR	groupFile/Correctives	High		"explicit ""correct"" purpose word (rule 5)"	P10	1422
bip_r_wing	bip_r_wing	CLEAR	wing, right	CLEAR	groupFile/Wings	High		"explicit ""wing"" word"	P10	1423
rightfinger02	RightFinger02	CLEAR	right finger, digit 02	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P10	1424
bip_bowtieroot	bip_BowtieRoot	CLEAR	bowtie garment accessory, root	CLEAR	groupFile/Clothing	High		"""Bowtie"" explicitly grounds the bow as a garment accessory"	P10	1425
llegj	LLegJ	CLEAR	"left leg (""J"" suffix unresolved)"	CLEAR	groupFile/Legs	Medium	"""J"" suffix does not resolve to a known qualifier"	leg is the stable core reading regardless of the undecoded suffix	P10	1426
cloth front right 2	cloth front right 2	CLEAR	generic cloth control, front, right, variant 2	CLEAR	groupFile/Clothing	High		generic cloth control	P10	1427
masktop1.r	MaskTop1.R	CLEAR	mask top, right, variant 1	CLEAR	groupFile/Clothing	High		worn accessory	P10	1428
bot_right	BOT_RIGHT	PARTIAL	"a ""bot,"" right, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: bottom-position truncation / robot / other	bare ambiguous truncated term, no owner	P10	1429
bunnytail	BunnyTail	CLEAR	bunny-tail costume accessory	CLEAR	groupFile/Clothing	Medium	an actual creature-tail anatomical reading cannot be fully excluded	recognized costume accessory item, common in this genre	P10	1430
shape-athletic-nude	shape-athletic-nude	CLEAR	athletic-shape appearance, nude context	CLEAR	groupFile/Body Morphs	High		matches established shape-athletic-cleavage precedent exactly	P10	1431
eyeshrink	EyeShrink	CLEAR	eye size shrink	CLEAR	groupFile/Body Morphs	Medium		eye size/shape change is an appearance morph, not ordinary posing	P10	1432
lipstopforward	lipstopforward	CLEAR	lips top, forward	CLEAR	groupFile/Face/Lower Face	High		identical spelling to confirmed existing Master control	P10	1433
full_open_left	full_open_left	CLEAR	"a ""full open"" function, left (object unstated)"	NEEDS_CONTEXT		Low		open function is clear; owning object is not named	P10	1434
bip_r_claw_a	bip_r_claw_a	CLEAR	claw (creature digit), right, variant a	CLEAR	groupFile/Arms/RightArm/RightFingers	Medium		claw is a species-neutral digit control, routes like finger/toe segments (rule 18)	P10	1435
foot_pinky_2_l	foot_pinky_2_L	CLEAR	foot pinky toe, left, segment 2	CLEAR	groupFile/Toes/LeftToes	High		explicit left toe digit, verified LeftToes subpath	P10	1436
front 3_3	Front 3_3	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P10	1437
r_fin_mid_a	r_fin_mid_a	CLEAR	fin, right, middle, variant a	CLEAR	groupFile/Other	High		"species-neutral ""fin"" anatomy routes to Other by strong Master precedent"	P10	1438
leg left boot tassle 4a	leg left boot tassle 4a	CLEAR	boot tassel, left leg, variant 4a	CLEAR	groupFile/Clothing	High		explicit garment owner (boot) named (rule 25)	P10	1439
l-ass-smack	L-Ass-Smack	CLEAR	"left buttock ""smack""/impact reaction"	CLEAR	groupFile/Body Morphs	High		matches R-Ass-Smack precedent exactly	P10	1440
l_eye1a	l_eye1a	CLEAR	left eye, variant 1a	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy	P10	1441
bipbrk r foretwist	BipBrk R ForeTwist	CLEAR	"right forearm twist (""Brk"" prefix)"	CLEAR	groupFile/Arms	High		ordinary twist bone; prefix ignored (rule 24)	P10	1442
backhair c02 joint	backhair c02 joint	CLEAR	back hair, joint	CLEAR	groupFile/Hair	High		ordinary hair control	P10	1443
pupils-neutralalt-l	Pupils-NeutralAlt-L	CLEAR	neutral-alt pupil/eye expression, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P10	1444
hip growth	hip growth	CLEAR	hip growth (shape/size)	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor on the body	P10	1445
valvebiped.bip03_r_index	ValveBiped.Bip03_R_Index	CLEAR	right index finger	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P10	1446
flm-armb-leg-rm	Flm-ArmB-Leg-RM	CLEAR	"leg, right-middle (""Flm-ArmB"" model/section prefix)"	CLEAR	groupFile/Legs	High		"explicit ""leg"" content grounds this regardless of the prefix (rule 24 pattern)"	P10	1447
bone 1016	bone 1016	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P10	1448
row_chair009	row_chair009	CLEAR	a chair, row-numbered, variant 009	CLEAR	groupFile/Other	High		recognized furniture prop (rule 16)	P10	1449
flm-arma-sworda-lr	Flm-ArmA-SwordA-LR	CLEAR	sword weapon prop, variant A/LR	CLEAR	groupFile/Other	High		recognized weapon prop; matches established Flm-ArmA-Sword pattern	P10	1450
beltcontrol.006	BeltControl.006	CLEAR	belt garment control, variant 006	CLEAR	groupFile/Clothing	High		worn garment	P10	1451
armpit_l	Armpit_L	CLEAR	armpit, left	CLEAR	groupFile/Arms	Medium		armpit is part of the arm's proximal structural anatomy	P10	1452
bip_ears6_l	bip_Ears6_L	CLEAR	ear, left, segment 6	CLEAR	groupFile/Face/Ears	High		ordinary ear anatomy	P10	1453
right_4	Right_4+right_4	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P10	1454
bone_eye_r002	Bone_eye_R002	CLEAR	eye bone, right, numbered	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy	P10	1455
v_weapon.root24	v_weapon.Root24	CLEAR	viewmodel weapon root, numbered	CLEAR	groupFile/Other	High		recognized weapon part	P10	1456
bip001 prop2	Bip001 Prop2	CLEAR	a prop, variant 2	CLEAR	groupFile/Other	Medium		"explicit generic ""prop"" word"	P10	1457
bracelet	bracelet	CLEAR	a bracelet	CLEAR	groupFile/Clothing	High		worn jewelry accessory	P10	1458
pupils-neutral-l	Pupils-Neutral-L	CLEAR	neutral pupil/eye expression, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P10	1459
c2	C2	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P10	1460
def-spine.006_l.015	DEF-spine.006_L.015	CLEAR	spine (structural anatomy), numbered	CLEAR	groupFile/Body	High		explicit generic skeleton/rig prefix (DEF-) with no garment/hair noun (rule 14)	P10	1461
skeleton_grp	skeleton_grp	OPAQUE	a generic rig/hierarchy grouping node, no specific content of its own	NOT_APPLICABLE		Low		generic organizational rig node	P10	1462
book turnpage3	Book TurnPage3	CLEAR	a book, turn-page function, variant 3	CLEAR	groupFile/Other	High		recognized prop (rule 16 explicit example)	P10	1463
key 3 - poneyhair	Key 3 - PoneyHair	CLEAR	"numbered slot in the space-separated ""Key N"" keyframe/pose-preset series, ponytail-hair preset"	CLEAR	groupFile/Hair	Medium		"matches rule 23's own worked example of this series; the ""PoneyHair"" suffix names a hairstyle preset"	P10	1464
bulgemids	BulgeMidS	CLEAR	a bulge, mid position (region unstated)	CLEAR	groupFile/Body Morphs	Medium		explicit shape/bulge descriptor (rule 7)	P10	1465
unusedbone132	unusedbone132	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P10	1466
arm right shoulder ctr 2	arm right shoulder ctr 2	CLEAR	right shoulder control, variant 2	CLEAR	groupFile/Arms	High		ordinary shoulder anatomy	P10	1467
flex_noise_03	Flex_Noise_03	OPAQUE	"generic ""flex"" category term with a procedural-noise qualifier, no specific object"	NOT_APPLICABLE		Low	"""flex"" names the generic technical category of all morph controls, not a specific referent"	generic technical category term, no specific object	P10	1468
marie head eyeball right	Marie head eyeball right	CLEAR	"right eyeball (""Marie"" character-name prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P10	1469
tightthigh_lowerjigglecontrol	TightThigh_LowerJiggleControl	CLEAR	thigh jiggle-physics control, lower	CLEAR	groupFile/Legs	Medium		structural thigh rig control with a jiggle-physics function	P10	1470
upshort	UpShort	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low	"a possible ""shorts pulled up"" reading is not grounded enough to assert"	ungrounded compound	P10	1471
hand finger left 1b	hand finger left 1b	CLEAR	left finger, digit 1 (thumb), variant b	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P10	1472
fur_gen_bed_rich_gothic_orin_a_matress_mesh	FUR_GEN_Bed_Rich_Gothic_Orin_A_Matress_Mesh	CLEAR	a bed/mattress, gothic variant	CLEAR	groupFile/Other	High		recognized furniture prop; generator-style prefix does not affect destination (rule 17)	P10	1473
bip_head_lenses	bip_head_lenses	PARTIAL	"""lenses,"" head"	NEEDS_CONTEXT		Low	materially different core readings: eye-lens anatomy/shader component vs. eyewear/glasses accessory	unresolved token relation	P10	1474
third_arms_r_thumb4	Third_Arms_R_Thumb4	CLEAR	right thumb, third arm, segment 4	CLEAR	groupFile/Arms/RightArm/RightFingers	High		limb count does not change destination (rule 19); verified RightFingers subpath	P10	1475
