fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
r3rdnc	R3rdNc	OPAQUE	cryptic alphanumeric fragment, no recoverable content	NOT_APPLICABLE		Low		no readable content	P69
camera.mount_z	camera.mount_z	CLEAR	a camera prop's mount, Z-axis	CLEAR	groupFile/Other	High		recognized non-character prop	P69
open_holes	Open_Holes	PARTIAL	"holes" (garment holes, body orifices, or another sense), open state	NEEDS_CONTEXT		Low	"holes" has materially different plausible readings with nothing to disambiguate	multi-sense bare word	P69
jiggle spine 3	jiggle spine 3	CLEAR	a spine jiggle-physics control, numbered	CLEAR	groupFile/Body	High		jiggle-physics is a dynamics mechanism on plain structural spine anatomy	P69
under_lid	Under_Lid	CLEAR	eyelid control, under	CLEAR	groupFile/Face/Eyes	High		eyelid is an eye-region feature	P69
legthumb3_r	LegThumb3_R	CLEAR	a control naming both "Leg" and "Thumb", right, numbered	NEEDS_CONTEXT		Medium	"Leg" and "Thumb" name two materially different anatomical owners with no way to tell which governs	matches the settled Leg+Finger mixed-region precedent	P69
sk_r_b_leg_2	SK_R_B_leg_2	CLEAR	right leg, numbered	CLEAR	groupFile/Legs	High		plain leg anatomy	P69
cock.shaft_5_skin	Cock.Shaft_5_Skin	CLEAR	penis anatomy, shaft, numbered	CLEAR	groupFile/Body	High		plain structural genital anatomy	P69
arm right wrist twist 2	arm right wrist twist 2	CLEAR	right wrist twist, numbered	CLEAR	groupFile/Arms	High		plain arm anatomy	P69
wrinkles-4	wrinkles-4	CLEAR	a skin-wrinkle shape/texture control, numbered	CLEAR	groupFile/Body Morphs	Medium		explicit skin-texture appearance descriptor (rule 7)	P69
wep_stock_ar_lever	WEP_Stock_AR_Lever	CLEAR	a weapon stock lever part	CLEAR	groupFile/Other	High		matches the settled WEP_Stock_AR_Lever_MOE sibling precedent (this tranche)	P69
body-big-ass	Body-Big-Ass	CLEAR	buttock anatomy, "big" size	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor (rule 7)	P69
dyng c 01	dyng c 01	CLEAR	a "dyng" (jiggle-physics) function, numbered	NEEDS_CONTEXT		Medium	no owning object named for the jiggle-physics function	matches the settled "dyng" jiggle-physics project convention (verified this tranche); owner unresolved	P69
narrowbc	NarrowBC	CLEAR	a "narrow" shape control, undecoded qualifier ("BC"), no owning object named	NEEDS_CONTEXT		Medium	no owning body part or garment named for the narrowing control	explicit shape-word content, but owner unresolved	P69
l middle 03	l middle 03	CLEAR	left middle finger, bare, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy, verified LeftFingers subpath	P69
polysurface8	polySurface8	OPAQUE	a generic mesh-name artifact, no anatomical content	NOT_APPLICABLE		Low		matches the settled polySurface### DCC-default precedent	P69
