fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
wep_magnifier_base	WEP_Magnifier_Base	CLEAR	a weapon-mounted magnifier/scope accessory, base anchor	CLEAR	groupFile/Other	High		WEP prefix + recognized weapon-accessory object (magnifier scope), matches established weapon/prop convention.	P101	
hiza_r_d__offset	hiza_r_d__offset	CLEAR	knee anatomy ('hiza'=Japanese for knee), right, offset control	CLEAR	groupFile/Legs	High		Grounded Japanese loanword per established momo/ashi/hiza precedent (hizakozo_r__rot_hiza_r__z50__offset -> Legs).	P101	
gentle_1	gentle_1	OPAQUE	bare generic adjective, no controlled referent named	NOT_APPLICABLE		Low		Rule 27: 'gentle' names no animator-useful object/anatomy/function, only a vague quality.	P101	
bikini slide 1	Bikini Slide 1	CLEAR	a bikini garment slider control, numbered	CLEAR	groupFile/Clothing	High		Explicit garment (bikini) named.	P101	
bip01 upperarmtwist.l	Bip01 UpperArmTwist.L	CLEAR	upper arm twist bone, left	CLEAR	groupFile/Arms	High		Standard bip skeleton naming; plain arm-twist anatomy.	P101	
scale_y_down	scale_y_down	OPAQUE	a generic axis-scale operation, no controlled subject named	NOT_APPLICABLE		Low		Rule 27: matches the scale_z_up/scale_z_down example exactly -- generic transform+axis, no recoverable referent.	P101	
feather 5a	feather 5a	CLEAR	a feather (wing or costume), numbered, variant a	NEEDS_CONTEXT		Medium		Feather is a recognizable object (Rule 27 category B), but owner ambiguous: live Master 'feather' hits split between groupFile/Wings (numbered wing-feather chains) and groupFile/Clothing (costume feather); this literal's numbering scheme doesn't match either template exactly.	P101	
flap.front_1	Flap.Front_1	CLEAR	a garment flap, front position, numbered	CLEAR	groupFile/Clothing	High		Live Master 'flap' population is 25/25 groupFile/Clothing (Flap.B/LB/LF/RB, Bikini flap front, etc.) -- direct template match.	P101	
bone02	Bone02+bone02	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		Bare numbered bone label; no recoverable animator-useful referent.	P101	
unusedbone039	unusedbone039	CLEAR	a self-declared unused placeholder bone	CLEAR	groupFile/Useless	High		Self-declared 'unused' placeholder (rule 15).	P101	
flm-armb-belt-rc	Flm-ArmB-Belt-RC	CLEAR	a belt garment, Flm-ArmB namespace, 'RC' qualifier	CLEAR	groupFile/Clothing	High		Matches the settled Flm-ArmB-Belt-* sub-family (100% consistent Clothing regardless of suffix).	P101	
second_arms_r_middle2	Second_Arms_R_Middle2	CLEAR	a middle-finger segment 2 on a secondary/extra right arm	NEEDS_CONTEXT		Medium		Clear finger-digit content, but 'Second_Arms' is a nonstandard extra-limb namespace with no established taxonomy mapping to ordinary RightFingers.	P101	
tentacletopright2	TentacleTopRight2	CLEAR	tentacle anatomy, top-right, numbered	CLEAR	groupFile/Other	High		Matches settled Rule 18 tentacle precedent (TentacleTopLeft2 calibration, CLEAR/CLEAR/Other).	P101	
pb_l_cmy01_fhair_05	pb_L_CMY01_FHair_05	CLEAR	a facial/front hair strand control, left, numbered	CLEAR	groupFile/Hair	Medium		'FHair' explicit hair content grounds this regardless of the 'pb'/'CMY01' cryptic prefix codes (rule 24).	P101	
frontflapnarroweralt	FrontFlapNarrowerAlt	CLEAR	a garment front-flap variant, narrower, alternate	CLEAR	groupFile/Clothing	High		Matches the 25/25 'flap' -> Clothing live-Master template.	P101	
pcube11	pCube11	OPAQUE	DCC-default primitive mesh name	NOT_APPLICABLE		Low		Maya pCube## auto-generated primitive name; DCC-default-identifier boundary.	P101	
top_02	Top_02	CLEAR	a top garment, numbered	CLEAR	groupFile/Clothing	High		'Top' is a recognized garment noun.	P101	
shell.wall_26	Shell.Wall_26	PARTIAL	an object combining 'shell' and 'wall', numbered -- unclear whether creature/armor shell or architectural/prop element	NEEDS_CONTEXT		Low		No Master precedent for 'shell' or this compound; materially different core readings compete (rule 22 PARTIAL test).	P101	
left lowerarm	Left LowerArm	CLEAR	lower arm/forearm anatomy, left	CLEAR	groupFile/Arms	High		Plain structural arm anatomy.	P101	
uppelipraiserl+uppelipraiserr	UppeLipRaiserL+UppeLipRaiserR	CLEAR	upper lip raiser, combined left+right	CLEAR	groupFile/Face/Lower Face	High		Explicit lip mechanism (FACS-style Lip Raiser).	P101	
upperlidsdown	UpperlidsDown	CLEAR	upper eyelids lowered state	CLEAR	groupFile/Face/Eyes	High		Explicit eyelid mechanism.	P101	
clawfootright	ClawFootRight	CLEAR	a claw-type foot, right (species-neutral)	CLEAR	groupFile/Legs	High		Species-neutral foot anatomy (rule 18/19), explicitly sided.	P101	
bone 85	bone 85	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P101	
eyesrblinkmid	EyesRBlinkMid	CLEAR	eye blink control, right, mid	CLEAR	groupFile/Face/Eyes	High		Explicit eye-blink mechanism.	P101	
bip01_head010	Bip01_Head010	CLEAR	head structural bone, numbered	CLEAR	groupFile/Body	High		Standard bip head bone, structural anatomy (rule 13).	P101	
bip_l_wing_03	bip_l_wing_03	CLEAR	wing bone, left, numbered	CLEAR	groupFile/Wings	High		Explicit wing anatomy.	P101	
right_hip_cancel	right_hip_cancel	CLEAR	a hip motion-cancel control, right (explicitly sided structural hip articulation)	CLEAR	groupFile/Legs	Medium		Rule 26: explicitly sided structural hip control routes to Legs; 'cancel' is rig-plumbing function, not a repair/fix purpose (rule 12), so Correctives is not indicated.	P101	
left ring finger 3 grip 1	Left ring finger 3 grip 1	CLEAR	ring finger, left, segment 3, grip pose variant 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit finger anatomy and side.	P101	
head eye corner righta	head eye corner righta	CLEAR	eye corner control, right, variant a	CLEAR	groupFile/Face/Eyes	High		Explicit eye mechanism.	P101	
fh16.r	Fh16.R	OPAQUE	cryptic 'Fh' code, numbered, side	NOT_APPLICABLE		Low		Matches the established cryptic 'Fh##.side' family precedent (no independent grounding, per Tranche 7 audit).	P101	
wep_fx_peq2_laser	WEP_FX_PEQ2_Laser	CLEAR	a weapon-mounted laser device (PEQ-style tactical illuminator) effect	CLEAR	groupFile/Other	High		WEP prefix + recognized weapon-accessory object (laser/PEQ), matches established weapon/prop convention.	P101	
bone34	Bone34	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P101	
bip_fthumb01_l	Bip_FThumb01_L	CLEAR	thumb finger, left, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit thumb finger anatomy and side.	P101	
bippbg rthightwist	BipPBG RThighTwist	CLEAR	thigh twist bone, right (PBG internal namespace prefix set aside)	CLEAR	groupFile/Legs	High		Rule 24: namespace prefix set aside; 'RThighTwist' is plain structural leg anatomy.	P101	
helper.skin.l_quad	Helper.Skin.L_Quad	CLEAR	quadricep skinning-helper bone, left	CLEAR	groupFile/Legs	High		Explicit quad (thigh muscle) anatomy despite 'Helper'/'Skin' qualifiers.	P101	
bip_hs1_f	bip_hs1_f	OPAQUE	cryptic 'hs1'+'f' code, no recoverable content	NOT_APPLICABLE		Low		No grounding for 'hs1' or 'f' in this corpus.	P101	
bone091	Bone091	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P101	
