fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
chainfront_r	ChainFront_R	PARTIAL	"a ""chain"" object, front, right"	NEEDS_CONTEXT		Low	"""chain"" is recognizable but its kind (jewelry vs. rig/physics chain) is unresolved"	recognizable object, kind unresolved	P16
left hand screw 1	Left hand screw 1	CLEAR	"a left-hand ""screw"" (technical joint/twist mechanism) control, numbered"	CLEAR	groupFile/Arms/LeftArm	Medium		"hand is the explicit named anatomy; ""screw"" is a technical rig-mechanism qualifier"	P16
frily_41.r	Frily_41.R	CLEAR	a decorative frill garment trim, numbered, right	CLEAR	groupFile/Clothing	Medium		frill is a garment-trim decoration	P16
r calfb spo	R CalfB Spo	CLEAR	"calf anatomy, right, variant B; ""spo"" suffix does not override the explicit anatomical owner"	CLEAR	groupFile/Legs	High		"plain calf anatomy; ""spo"" does not override the owner (matches l hip spo precedent)"	P16
tlc	TLC	OPAQUE	unexplained bare acronym, no grounding for any expansion	NOT_APPLICABLE		Low		ungrounded acronym	P16
head_s_l	Head_S_L	CLEAR	"head-region control, ""S"" variant, left"	CLEAR	groupFile/Body	Medium		bare structural head defaults to Body (rule 13); side/variant are non-core details	P16
bone010	Bone010	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P16
right_25	right_25	OPAQUE	a bare side marker with a number, no named object	NOT_APPLICABLE		Low		side marker alone, no object	P16
camera_hand_mid	camera_hand_mid	CLEAR	a camera-mount attachment point near the hand, mid position	CLEAR	groupFile/Other	Medium		the camera-mount function, not hand-posing, defines this control's purpose	P16
l lowerlip 02	l lowerlip 02	CLEAR	lower lip, left, numbered	CLEAR	groupFile/Face/Lower Face	High		explicit lip anatomy	P16
vint2	Vint2	OPAQUE	"cryptic fragment (""Vint""), numbered, no recoverable content"	NOT_APPLICABLE		Low		no recoverable referent	P16
