fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
bottom_6	bottom_6	PARTIAL	"a ""bottom,"" numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: buttocks / bottom-position marker / bottom garment piece	bare ambiguous object noun, no owner	P07	1101
bone.	Bone.	OPAQUE	generic bone reference, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P07	1102
asshole_5	Asshole_5	CLEAR	anus (structural anatomy), numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P07	1103
right little finger 3	Right little finger 3	CLEAR	right little (pinky) finger, segment 3	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P07	1104
third_arms_r_middle3	Third_Arms_R_Middle3	CLEAR	right middle finger, third arm, segment 3	CLEAR	groupFile/Arms/RightArm/RightFingers	High		limb count does not change destination (rule 19); verified RightFingers subpath	P07	1105
cons_potion_healing_a_superior_contents	CONS_Potion_Healing_A_Superior_Contents	CLEAR	a healing potion item, superior variant	CLEAR	groupFile/Other	High		recognized prop/item	P07	1106
ballslsqueshside	ballsLsqueshside	CLEAR	testicles, left, squash shape, side	CLEAR	groupFile/Body Morphs	High	"""squesh"" read as ""squash"""	genital soft-tissue shape deformation	P07	1107
bip01_pelvis017	Bip01_Pelvis017	CLEAR	pelvis (structural anatomy), numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P07	1108
bipqwn l foretwist1	BipQwn L ForeTwist1	CLEAR	"left forearm twist, variant 1 (""Qwn"" prefix)"	CLEAR	groupFile/Arms	High		ordinary twist bone; prefix ignored (rule 24)	P07	1109
bobcut.left_3_jiggle	Bobcut.Left_3_jiggle	CLEAR	bob-cut hairstyle, left, jiggle physics	CLEAR	groupFile/Hair	High		named hairstyle control	P07	1110
chiraiser	chiraiser	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low	"a possible ""chin raiser"" reading requires assuming a missing letter and is not grounded enough to assert"	ungrounded compound	P07	1111
book1_bottom	Book1_Bottom	CLEAR	a book, bottom, variant 1	CLEAR	groupFile/Other	High		recognized prop (rule 16 explicit example)	P07	1112
org-palm.01.l	ORG-palm.01.L	CLEAR	palm (hand structure), left, numbered	CLEAR	groupFile/Arms	High		ordinary hand-structure anatomy; ORG- is a generic rig prefix (rule 9/17)	P07	1113
earring.ring_right_2	Earring.Ring_Right_2	CLEAR	ring-style earring, right, variant 2	CLEAR	groupFile/Clothing	High		worn jewelry accessory	P07	1114
lfootj	LFootJ	CLEAR	"left foot (""J"" suffix unresolved)"	CLEAR	groupFile/Legs	Medium	"""J"" suffix does not resolve to a known qualifier"	foot is the stable core reading regardless of the undecoded suffix	P07	1115
depth_5	depth_5	OPAQUE	"a bare ""depth"" parameter, no subject/object"	NOT_APPLICABLE		Low		dimensional parameter with no anchor object	P07	1116
c_tier_c03	C_TieR_C03	CLEAR	necktie garment, right, variant C03	CLEAR	groupFile/Clothing	High		matches the established C_Tie[L/R] pattern (paired with C_TieL_C06)	P07	1117
_right_x_up	_right_x_up	CLEAR	an upward X-axis positional function, right (object unstated)	NEEDS_CONTEXT		Low		generic axis function is clear; owning object is not named	P07	1118
tenta_2_r	tenta_2_R	CLEAR	tentacle, right, segment 2	CLEAR	groupFile/Other	Medium	"""tenta"" read as a truncation of ""tentacle"""	species-neutral tentacle anatomy routes to Other (rule 18)	P07	1119
rocks	Rocks	CLEAR	rocks (environment prop)	CLEAR	groupFile/Other	High		recognized environment prop	P07	1120
cock.shaft_6_skin	Cock.Shaft_6_Skin	CLEAR	penis shaft skin (structural anatomy), variant 6	CLEAR	groupFile/Body	High		matches the settled Cock.Shaft_4_Skin precedent exactly	P07	1121
fin-rig-eye-lb	Fin-Rig-Eye-LB	CLEAR	"eye, left-bottom (""Fin-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P07	1122
spine_bone_correct_l_01	spine_bone_correct_l_01	CLEAR	spine bone pose-correction, left, variant 01	CLEAR	groupFile/Correctives	High		"explicit ""correct"" purpose word (rule 5)"	P07	1123
gatling_console	gatling_console	CLEAR	a gatling-gun control console	CLEAR	groupFile/Other	High		recognized weapon/vehicle mechanism	P07	1124
cockh	CockH	CLEAR	"penis (structural anatomy) (""H"" suffix unresolved)"	CLEAR	groupFile/Body	Medium	"""H"" does not clearly state a shape/state word"	plain structural anatomy defaults to Body absent a clear shape/state term (rule 6)	P07	1125
tail 5 jb	tail 5 JB	CLEAR	"tail, variant 5 (""JB"" suffix unresolved)"	CLEAR	groupFile/Tail	High		tail is the stable core reading regardless of the undecoded suffix	P07	1126
r_upper_raiser	R_upper_raiser	CLEAR	a raising function, upper position, right (object unstated)	NEEDS_CONTEXT		Low		raise function is clear; owning object is not named	P07	1127
bip facetempleloin r	bip facetempleloin r	PARTIAL	face/temple region control, right side	CLEAR	groupFile/Face/Upper Face	Medium	"""loin"" is a genuinely undecoded compound token"	temple-region facial control with an undecoded internal token	P07	1128
penus 4	penus 4	CLEAR	penis (structural anatomy), numbered	CLEAR	groupFile/Body	High	"""penus"" read as ""penis"""	plain structural anatomy, no shape/state word (rule 6)	P07	1129
saberon_bone41_rfingerpinky	saberon_Bone41_RFingerPinky	CLEAR	"right pinky finger (""Saberon"" character/model prefix)"	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit; prefix ignored (rule 24); verified RightFingers subpath	P07	1130
pjcmabdomen2fwd40	pJCMAbdomen2Fwd40	CLEAR	pose-driven joint-corrective morph, abdomen, forward, 40 degrees	CLEAR	groupFile/Correctives	High		"explicit ""JCM"" corrective marker (rule 5)"	P07	1131
r knee spo	R Knee Spo	CLEAR	right knee, physics-sim variant	CLEAR	groupFile/Legs	Medium		ordinary knee anatomy with a physics-sim marker, not corrective by itself	P07	1132
right little proximal	Right Little Proximal	CLEAR	right little (pinky) finger, proximal segment	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P07	1133
maid.bow_right_upper_3	Maid.Bow_Right_Upper_3	CLEAR	decorative bow, right, upper, variant 3, maid-costume context	CLEAR	groupFile/Clothing	Medium		"""Maid"" costume context grounds this as a decorative garment bow"	P07	1134
bip_r_thumb_sub	bip_r_thumb_sub	CLEAR	right thumb, sub-bone	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P07	1135
bas.side_right_1	BAS.Side_Right_1	OPAQUE	"ungrounded ""BAS"" code with a bare position, no object"	NOT_APPLICABLE		Low	"""BAS"" has no grounding and ""side right"" alone has no anchor object"	ungrounded prefix plus bare position	P07	1136
sash 1a	Sash 1a	CLEAR	sash garment accessory, variant 1a	CLEAR	groupFile/Clothing	High		worn garment	P07	1137
left_lipstretch	Left_lipstretch	CLEAR	lip stretch, left	CLEAR	groupFile/Face/Lower Face	High		ordinary lip expression	P07	1138
org-palm.03.r	ORG-palm.03.R	CLEAR	palm (hand structure), right, numbered	CLEAR	groupFile/Arms	High		ordinary hand-structure anatomy	P07	1139
pcube7	pCube7	OPAQUE	generic default polygon-cube placeholder name, numbered	NOT_APPLICABLE		Low		generic DCC-default geometry placeholder, no functional/regional word	P07	1140
robe_left	ROBE_LEFT	CLEAR	robe garment, left	CLEAR	groupFile/Clothing	High		worn garment	P07	1141
qwn-rig-eye-r	Qwn-Rig-Eye-R	CLEAR	"eye, right (""Qwn-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P07	1142
i16	I16	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P07	1143
bip_l_finger_c_02	bip_l_finger_c_02	CLEAR	left finger, variant c, segment 02	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P07	1144
eyes-full-furrow-inward	Eyes-Full-Furrow-Inward	CLEAR	full eye furrow, inward	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P07	1145
leg left hip	leg left hip	CLEAR	hip, left	CLEAR	groupFile/Legs	High		ordinary hip-region anatomy	P07	1146
shiri_l__slerp_momo_l__i50_x0__offset	shiri_l__slerp_momo_l__i50_x0__offset	CLEAR	"buttock/thigh (Japanese ""shiri""/""momo"") interpolation blend control, left"	CLEAR	groupFile/Legs	Medium	"relies on Japanese anatomical-term recognition (shiri=buttock, momo=thigh); ""slerp"" is a pure interpolation technique, not a stated repair purpose"	ordinary structural hip/thigh blend control	P07	1147
key.a	Key.A	CLEAR	a lettered key in the coherent Key.<label> keyboard-prop series	CLEAR	groupFile/Other	High		matches the confirmed Key.A/Key.B series (rule 23)	P07	1148
sidehair_r_1	sidehair_R_1	CLEAR	side hair, right, segment 1	CLEAR	groupFile/Hair	High		ordinary hair control	P07	1149
