fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
eye-angry-right	eye-angry-right	CLEAR	angry eye expression, right	CLEAR	groupFile/Face/Eyes	High		explicit eye anatomy named	P126
pussy clitoris 3	pussy clitoris 3	CLEAR	clitoris, plain structural segment, numbered	CLEAR	groupFile/Body	Medium		no shape/state word; direct-pose structural sexual anatomy -> Body per current doctrine (Tranche 12 QA 8950c85). FUTURE_SEXUAL_BONES_MIGRATION_CANDIDATE.	P126
fbx_asagi_face_none	fbx_asagi_face_none	CLEAR	whole-face preset, neutral/none state ('Asagi' character)	CLEAR	groupFile/Face/Expressions	High		matches the settled fbx_[character]_face_[state] whole-face-preset template	P126
bone110	Bone110	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		rule 27: bare numbered bone	P126
leg_1.root	leg_1.root	CLEAR	leg, numbered, structural root anchor	CLEAR	groupFile/Legs	High		explicit leg anatomy with structural root	P126
b11	B11	OPAQUE	bare alphanumeric code, no content	NOT_APPLICABLE		Low		rule 27: cryptic code with no grounding	P126
uppertentacle3	UpperTentacle3	CLEAR	tentacle, upper, numbered	CLEAR	groupFile/Other	High		settled tentacle/tenta_ -> Other precedent	P126
polysurface41	polySurface41	OPAQUE	DCC-default primitive mesh name	NOT_APPLICABLE		Low		settled DCC-default-name boundary	P126
valvebiped.bip01_r_thumb03	ValveBiped.Bip01_R_Thumb03	CLEAR	thumb, right, structural ValveBiped skeleton segment, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit finger anatomy	P126
blink-left	Blink-Left	CLEAR	eye blink, left	CLEAR	groupFile/Face/Eyes	High		explicit eye anatomy	P126
left_shoulder_c	left_shoulder_C	CLEAR	shoulder, left, variant c	CLEAR	groupFile/Arms	High		explicit shoulder anatomy	P126
r2ndna	R2ndNa	OPAQUE	cryptic code, no established grounding	NOT_APPLICABLE		Low		matches direct sibling 'l2ndna' -> OPAQUE/NOT_APPLICABLE	P126
leg right thigh ctr 2	leg right thigh ctr 2	CLEAR	thigh, right, center, numbered	CLEAR	groupFile/Legs	High		explicit thigh anatomy	P126
shirt nipple movement r	Shirt Nipple Movement R	CLEAR	nipple movement/visibility state, right, seen through shirt	CLEAR	groupFile/Body Morphs	Medium		the controlled effect is the nipple's movement/visibility state, not the shirt garment itself	P126
f11	F11	OPAQUE	bare alphanumeric code, no content	NOT_APPLICABLE		Low		rule 27: cryptic code with no grounding	P126
fringe 11	fringe 11	CLEAR	hair fringe, numbered	CLEAR	groupFile/Hair	High		settled bare/numbered fringe hair template	P126
au10	AU10	CLEAR	Facial Action Unit 10 (FACS convention)	CLEAR	groupFile/Face/Expressions	High		bare AU-number, settled FACS convention	P126
cornerlowerr	CornerLowerR	CLEAR	mouth corner, lower, right	CLEAR	groupFile/Face/Lower Face	High		explicit mouth-corner anatomy	P126
bip01_spine2_017	Bip01_Spine2_017	CLEAR	spine, structural ValveBiped skeleton segment, numbered	CLEAR	groupFile/Body	High		plain structural spine bone	P126
gag_r_02	Gag_R_02	CLEAR	a mouth gag accessory, right, numbered	CLEAR	groupFile/Clothing	Medium		worn body accessory, matches the condom/cockring worn-equipment precedent	P126
sonicboom	SonicBoom	CLEAR	a 'sonic boom' visual effect object/prop	CLEAR	groupFile/Other	Medium		recognized visual-effect prop	P126
bipmar l finger1	BipMar L Finger1	CLEAR	finger 1, left ('BipMar' internal namespace prefix)	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit finger anatomy surviving the internal namespace prefix (rule 24)	P126
x_shift_5	x_shift_5	OPAQUE	generic axis/shift technical descriptor, no recoverable subject	NOT_APPLICABLE		Low		matches rule 27's own explicit worked OPAQUE example (z_shift_5)	P126
bone063	Bone063	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		rule 27: bare numbered bone	P126
bas.rear_left_2_jiggle	BAS.Rear_Left_2_jiggle	CLEAR	a jiggle-physics function on an unresolved 'BAS' object, rear-left, numbered	NEEDS_CONTEXT		Medium		matches the settled BAS.<position>_jiggle majority pattern (Tranche 9 QA); not one of the corrected outliers	P126
l_rear_holster_0u_3v	l_rear_holster_0u_3v	CLEAR	a weapon holster, left, rear, cryptic variant suffix	CLEAR	groupFile/Other	Medium		matches this tranche's own 'r_front_holster' -- holster is a recognized weapon-equipment object	P126
phantomruby	PhantomRuby	CLEAR	a 'Phantom Ruby' game-item prop	CLEAR	groupFile/Other	High		recognized game-item/prop object	P126
brows-l-surprise	Brows-L-Surprise	CLEAR	eyebrows, left, surprise	CLEAR	groupFile/Face/Upper Face	High		explicit brow anatomy, localized mechanism	P126
under	under	OPAQUE	bare positional word, no anatomical owner	NOT_APPLICABLE		Low		rule 27: generic positional descriptor with no recoverable subject	P126
crush-14	crush-14	CLEAR	a 'crush' function, numbered, owning object unstated	NEEDS_CONTEXT		Medium	the crushed object is not named	'crush' is an established stable CLEAR function per rule 22	P126
key.black_34	Key.Black_34	CLEAR	piano black key, numbered	CLEAR	groupFile/Other	High		matches the extensive key.black_N piano-prop family precedent	P126
r ujacketc b phy	R uJacketC b Phy	CLEAR	jacket garment, right, physics variant	CLEAR	groupFile/Clothing	Medium		matches the established '[side] [garment][variant] [phy]' physics-clothing template	P126
valvebiped.bip01_pelvis.022	ValveBiped.Bip01_Pelvis.022	CLEAR	pelvis, structural ValveBiped skeleton segment, central/unsided, numbered	CLEAR	groupFile/Body	High		central/unsided structural hip-pelvis anchor -> Body (rule 26)	P126
bodyshape-body-tone	bodyshape-body-tone	CLEAR	body tone/fitness appearance	CLEAR	groupFile/Body Morphs	High		explicit 'bodyshape'/'tone' appearance concept	P126
lmiddle	LMiddle	CLEAR	left middle finger (abbreviated)	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		'L'+'Middle' reads as an abbreviated left middle-finger reference	P126
crush-10	crush-10	CLEAR	a 'crush' function, numbered, owning object unstated	NEEDS_CONTEXT		Medium	the crushed object is not named	'crush' is an established stable CLEAR function per rule 22	P126
tooth_gone	TOOTH_GONE	CLEAR	tooth missing/gone state	CLEAR	groupFile/Face/Lower Face	High		explicit teeth/mouth anatomy	P126
bottomlipopen	BottomLipOpen	CLEAR	bottom lip open	CLEAR	groupFile/Face/Lower Face	High		explicit lip anatomy	P126
object34	Object34	OPAQUE	generic placeholder object name, numbered	NOT_APPLICABLE		Low		matches the exhaustive object### -> OPAQUE precedent	P126
torso pipe b r 1c	torso pipe B R 1c	CLEAR	a pipe accessory at the torso, variant b, right, numbered	NEEDS_CONTEXT		Medium	the pipe's owning category is not named; 'torso' describes location, not ownership	'pipe' is a recognized bare-accessory-object noun per rule 22	P126
valvebiped.bip01_r_ear02	ValveBiped.Bip01_R_Ear02	CLEAR	ear, right, structural ValveBiped skeleton segment, numbered	CLEAR	groupFile/Face/Ears	High		explicit ear anatomy	P126
valvebiped.bip01_r_butt01	ValveBiped.Bip01_R_Butt01	CLEAR	buttock, right, structural ValveBiped skeleton segment, numbered	CLEAR	groupFile/Body	Medium		no shape/state word; direct-pose structural sexual anatomy -> Body per current doctrine (Tranche 12 QA 8950c85). FUTURE_SEXUAL_BONES_MIGRATION_CANDIDATE.	P126
z_shift_2	z_shift_2	OPAQUE	generic axis/shift technical descriptor, no recoverable subject	NOT_APPLICABLE		Low		matches rule 27's own explicit worked OPAQUE example (z_shift_5)	P126
wep_fx_laser_barrel2	WEP_FX_Laser_Barrel2	CLEAR	weapon laser-fx barrel, numbered	CLEAR	groupFile/Other	High		matches the wep_* weapon-prop family precedent	P126
object52	Object52	OPAQUE	generic placeholder object name, numbered	NOT_APPLICABLE		Low		matches the exhaustive object### -> OPAQUE precedent	P126
flm-armb-arm-la	Flm-ArmB-Arm-LA	CLEAR	arm anatomy, left, within the internal Flm-ArmB namespace, suffix LA	CLEAR	groupFile/Arms	Medium		matches the corrected Flm-ArmB-Arm->Arms template (Tranche 9 QA: Foot/Neck/Belt/Arm/Leg/Back consistent regardless of suffix)	P126
penis shaft 2	penis shaft 2	CLEAR	penis shaft, plain structural segment, numbered	CLEAR	groupFile/Body	Medium		no shape/state word; direct-pose structural sexual anatomy -> Body per current doctrine (Tranche 12 QA 8950c85). FUTURE_SEXUAL_BONES_MIGRATION_CANDIDATE.	P126
shirt_full_tie_right_1	Shirt_Full_Tie_Right_1	CLEAR	shirt tie, right, numbered	CLEAR	groupFile/Clothing	High		explicit shirt garment	P126
sad eyes left	Sad Eyes Left	CLEAR	sad eyes expression, left	CLEAR	groupFile/Face/Eyes	High		'eyes' is the explicit localized target of the expression	P126
c ujacketa a phy	C uJacketA a Phy	CLEAR	jacket garment, physics variant	CLEAR	groupFile/Clothing	Medium		matches the established '[side] [garment][variant] [phy]' physics-clothing template	P126
bone index 07	bone index 07	CLEAR	index finger, side-neutral, numbered	CLEAR	groupFile/Fingers	Medium		'index' is explicit finger anatomy; no side marker -> side-neutral 'Fingers' destination (rule 11), matching the 'bone index 1/4/3' -> Fingers precedent (3/6 siblings)	P126
groundroot	groundRoot	OPAQUE	a generic ground-anchor root control, no anatomical content	NOT_APPLICABLE		Low		rule 27: generic technical rig-anchor concept, not a promoted principal-root candidate and no anatomical referent	P126
bobcut.rear_right_1	Bobcut.Rear_Right_1	CLEAR	bob-cut hairstyle, rear, right, numbered	CLEAR	groupFile/Hair	High		explicit hairstyle anatomy	P126
stock01	Stock01	CLEAR	weapon stock component, numbered	CLEAR	groupFile/Other	High		recognized weapon component	P126
