fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
flm-arma-swordb-h	Flm-ArmA-SwordB-H	CLEAR	a sword weapon prop, Flm-ArmA namespace, sub-part H	CLEAR	groupFile/Other	Medium		Sword is a real weapon object; Flm-ArmA is an established non-anatomical namespace prefix (Rule 6/24); H sub-qualifier doesn't block the clear object reading.	P71	
r_fin_front_b	r_fin_front_b	CLEAR	a fin, right side, front position	CLEAR	groupFile/Other	High		Settled Rule 18 species-neutral precedent (fin->Other), confirmed by calibration l_fin_back_b; matches finalized family destination, not later-production drift.	P71	
anus/vag open dp corr	Anus/Vag Open DP Corr	CLEAR	a corrective control for genital open deformation	CLEAR	groupFile/Correctives	High		Explicit 'Corr' correction language satisfies Rule 5's positive-purpose requirement.	P71	
lowerliplowerl	LowerLipLowerL	CLEAR	lower lip anatomy, lower region/variant, left	CLEAR	groupFile/Face/Lower Face	High		Explicit lip/mouth anatomy.	P71	
bip_l_horn_c	bip_l_horn_c	CLEAR	a horn, left side, variant C	CLEAR	groupFile/Other	High		Settled Rule 18 species-neutral precedent (horn->Other).	P71	
foot_s_l	Foot_S_L	CLEAR	foot anatomy, left, qualifier S	CLEAR	groupFile/Legs	Medium		Plain foot anatomy; 'S' qualifier unresolved but doesn't disturb the stable core reading (Rule 22).	P71	
r dlid a	R Dlid A	CLEAR	a lid-region control (plausibly lower eyelid), right, variant A	NEEDS_CONTEXT		Low	no confirmed naming-template precedent fixes Eyes vs Upper Face for bare 'Dlid'	No confirmed Master template for bare 'Dlid'; closest hits (Eyes-pdlidlower-L/R) are a structurally dissimilar compound, insufficient per Rule 23(c) sibling grounding.	P71	
bone125	Bone125	OPAQUE	a generic numbered skinning/rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern, no independent grounding.	P71	
bip01-spine003	Bip01-Spine003	CLEAR	spine anatomy, standard biped rig, numbered segment	CLEAR	groupFile/Body	High		Plain structural spine anatomy, no garment/hair owner (Rule 14).	P71	
larmtwist3	lArmTwist3	CLEAR	left arm twist, numbered segment	CLEAR	groupFile/Arms	High		Standard rig twist-bone anatomy (Rule 3), not a corrective.	P71	
shell.wall_46	Shell.Wall_46	CLEAR	an environment/structure 'shell wall' segment, numbered	CLEAR	groupFile/Other	Medium		Recognized structural/environment object (Rule 16).	P71	
bas.rear_right_3_jiggle	BAS.Rear_Right_3_jiggle	CLEAR	a jiggle-physics control, rear-right position, numbered	NEEDS_CONTEXT		Medium	function clear but no owning body part or object named	BAS. is an established non-semantic internal namespace (prior tranches); remaining content names only position + jiggle function (Rule 25 unowned-function pattern).	P71	
jacket_collar_l	jacket_collar_L	CLEAR	a jacket collar, left	CLEAR	groupFile/Clothing	High		Explicit named garment (jacket) + collar feature.	P71	
gen_4	Gen_4	PARTIAL	a 'Gen' identifier (Genesis character-generation index or genitals abbreviation), numbered 4	CLEAR	groupFile/Body Morphs	High		Direct live-Master precedent: bare Gen0-Gen10 series (15 siblings incl. Gen8FBreastShape/Gen8FButtShape), all groupFile/Body Morphs; destination resolved by family precedent regardless of exact token meaning.	P71	
squish-zy	squish-zy	CLEAR	a 'squish' deformation/effect function, unclear suffix 'zy'	NEEDS_CONTEXT		Low	no object/owner named; 'zy' suffix ungrounded	Squish is a real function word but no object/owner is named.	P71	
left_lidloclose	Left_LidLoClose	CLEAR	left lower eyelid, closing action	CLEAR	groupFile/Face/Eyes	Medium		Explicit lid+close eyelid posing action, left side.	P71	
bip001-l-thigh	Bip001-L-Thigh	CLEAR	left thigh anatomy	CLEAR	groupFile/Legs	High		Plain structural thigh anatomy.	P71	
opt_as_r_hip	OPT_AS_R_Hip	CLEAR	right hip joint anatomy, OPT_AS prefix	CLEAR	groupFile/Legs	Medium		OPT_AS is an ungrounded prefix (Rule 24) set aside; remaining content names a sided hip joint, matching Rule 26's sided-hip exception.	P71	
jiggle.tassle_back_3	Jiggle.Tassle_Back_3	CLEAR	jiggle-physics control for a tassel accessory, back position, numbered	NEEDS_CONTEXT		Medium	tassel is real but no owning garment/object named	Tassel is a real decorative accessory (Rule 25) but no owning garment/object is named.	P71	
ude_md_l__rot_te_l__x50__offset	ude_md_l__rot_te_l__x50__offset	OPAQUE	an unexplained multi-token technical identifier ('ude'/'te' ungrounded; 'rot'/'offset' generic technical parameters)	NOT_APPLICABLE		Medium		No recoverable core referent identifying what object is affected.	P71	
third_arms_r_ring1	Third_Arms_R_Ring1	CLEAR	an extra/third right arm, ring finger, first segment	CLEAR	groupFile/Arms/RightArm/RightFingers	High		Matches established third_arms extra-limb finger precedent.	P71	
valvebiped_bullet7	ValveBiped_Bullet7	CLEAR	a bullet/ammunition prop, standard ValveBiped rig prefix, numbered	CLEAR	groupFile/Other	High		Recognized ammunition object (Rule 16).	P71	
bip01_spine1_002	Bip01_Spine1_002	CLEAR	spine anatomy, standard biped rig, numbered	CLEAR	groupFile/Body	High		Plain structural spine anatomy.	P71	
flm-arma-neckb	Flm-ArmA-NeckB	CLEAR	neck anatomy, Flm-ArmA namespace, variant B	CLEAR	groupFile/Body	Medium		Flm-ArmA is an established non-anatomical namespace (Rule 6) set aside; remaining 'Neck' is plain structural anatomy with no dedicated Neck subgroup.	P71	
collar_r1	Collar_R1	CLEAR	a garment collar, right, numbered segment	CLEAR	groupFile/Clothing	Medium		Numbered/qualified collar-segment form matches established garment-collar convention.	P71	
pussy left in 2	pussy left in 2	CLEAR	vaginal structural anatomy, left, inward position, numbered	CLEAR	groupFile/Body	High		Matches established precedent: 'in'/'inner' on genital anatomy is positional/structural, not a state morph (cf. 'vag inner2 2'->Body).	P71	
wrinkle_small_3	wrinkle_small_3	CLEAR	a wrinkle appearance/texture control, small, numbered	NEEDS_CONTEXT		Low	appearance function clear but no body region/feature named	Appearance/texture function is clear but no body region or feature is named to determine the owner.	P71	
window_urban_sash_48_88_full_gib02	window_urban_sash_48_88_full_gib02	CLEAR	an urban window-sash destructible gib fragment prop, numbered dimensions, variant	CLEAR	groupFile/Other	High		Matches exact sibling template already in ledger (window_urban_sash_48_88_full_gib04/06).	P71	
bikini_12	Bikini_12	CLEAR	a bikini garment, numbered	CLEAR	groupFile/Clothing	High		Explicit swimwear garment.	P71	
wep_fireselector	WEP_FireSelector	CLEAR	a weapon fire-mode selector component	CLEAR	groupFile/Other	High		Recognized weapon part (Rule 16).	P71	
genitals_inner_front_left	Genitals_Inner_Front_Left	CLEAR	genital structural anatomy, inner front, left	CLEAR	groupFile/Body	High		Explicit genital anatomy, positional qualifiers only.	P71	
head nostril left c	head nostril left c	CLEAR	nostril/nose anatomy, left, variant C	CLEAR	groupFile/Face/Mid Face	Medium		'Head' is a location prefix (Rule 13); nostril/nose is the true feature, routed to Mid Face.	P71	
grinning 	Grinning 	CLEAR	a grinning mouth expression	CLEAR	groupFile/Face/Lower Face	High		Direct live-Master precedent: Grin/Grin1/Grin2/BigGrin family, all groupFile/Face/Lower Face (mouth-specific, like Smile).	P71	
leotoardalt2-slideaside	LeotoardAlt2-SlideAside	CLEAR	a leotard garment (established 'Leotoard' spelling), alternate variant, slide-aside mechanism	CLEAR	groupFile/Clothing	High		Direct live-Master precedent: 12 'Leotoard' hits, all substantive garment controls at groupFile/Clothing.	P71	
liquid	liquid	CLEAR	a liquid/fluid effect	CLEAR	groupFile/Other	Medium		Matches established fluid/wetness-effect precedent (Rule 7: lube/wetness->Other, not Body Morphs).	P71	
bone 1010	bone 1010	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P71	
tail02n	Tail02N	CLEAR	tail anatomy, numbered, variant N	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P71	
wheelfront_base	wheelfront_base	CLEAR	a vehicle wheel base/mount, front	CLEAR	groupFile/Other	High		Recognized vehicle/mechanism part (Rule 16).	P71	
wep_optic	WEP_Optic	CLEAR	a weapon optic/sight attachment	CLEAR	groupFile/Other	High		Recognized weapon part.	P71	
dyng y 03	dyng y 03	CLEAR	a jiggle-physics control, 'dyng' lettered series (y), numbered	NEEDS_CONTEXT		Medium	function grounded, owning object/destination not resolved	'Dyng' is a grounded jiggle-physics naming convention per Rule 23's own worked example (lettered w/x/y/z system); grounds function only, not destination.	P71	
bikini boobs big	Bikini Boobs Big	CLEAR	breast size/shape, described in bikini context	CLEAR	groupFile/Body Morphs	High		Matches calibrated 'Bikini Boobs Upward R'-style precedent: explicit size/shape descriptor on breast anatomy routes to Body Morphs regardless of garment-context framing.	P71	
keychain.chain_7	Keychain.Chain_7	CLEAR	a keychain's chain component, numbered	CLEAR	groupFile/Other	Medium		Specific named accessory object (keychain), not primary worn equipment; routed as a prop (Rule 16).	P71	
belt_bone_fr_01	belt_bone_fr_01	CLEAR	a belt garment bone, front, numbered	CLEAR	groupFile/Clothing	High		Explicit worn garment (belt).	P71	
bone_face_eye_l_shape_out	Bone_Face_Eye_L_Shape_Out	CLEAR	an eye-shape control, left, outward direction	CLEAR	groupFile/Face/Eyes	Medium		Explicit eye-region shape/appearance control; face-region appearance changes stay within Face subgroups by established convention.	P71	
wep_fx_flashlight	WEP_FX_Flashlight	CLEAR	a weapon-mounted flashlight attachment	CLEAR	groupFile/Other	High		Recognized weapon accessory.	P71	
strings 9 jb	strings 9 JB	CLEAR	a decorative 'strings' accessory, numbered, jiggle-bone variant	NEEDS_CONTEXT		Low	no garment/object owner named	Bare unowned decorative-accessory noun (Rule 25).	P71	
