fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
bip_r_fingerbase	bip_r_fingerbase	CLEAR	right finger base	CLEAR	groupFile/Arms/RightArm/RightFingers	High		ordinary finger anatomy, verified RightFingers subpath	P03	701
lowerlipmidpull	LowerLipMidPull	CLEAR	lower lip, middle, pull posing	CLEAR	groupFile/Face/Lower Face	High		ordinary lip expression control	P03	702
bobcut.rear_center_1_jiggle	Bobcut.Rear_Center_1_jiggle	CLEAR	bob-cut hairstyle, rear center, jiggle physics	CLEAR	groupFile/Hair	High		named hairstyle control	P03	703
asshole_6	Asshole_6	CLEAR	anus (structural anatomy), numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P03	704
tente_b_5_r	tente_b_5_R	OPAQUE	unclear term, no confirmed decomposition	NOT_APPLICABLE		Low	"a possible ""tentacle""/""tent"" reading is not grounded enough to assert on this literal alone"	ungrounded term	P03	705
valvebiped.bip01_r_vulva	ValveBiped.Bip01_R_Vulva	CLEAR	vulva (structural anatomy), right	CLEAR	groupFile/Body	High		plain structural genital anatomy	P03	706
qwn-rig-tiara	Qwn-Rig-Tiara	CLEAR	"tiara (worn headpiece) (""Qwn-Rig"" model/rig prefix)"	CLEAR	groupFile/Clothing	High		worn jewelry accessory; prefix ignored (rule 24)	P03	707
fringe 1	fringe 1	PARTIAL	"""fringe,"" numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: hair fringe/bangs vs. clothing fringe trim	bare ambiguous object noun, no owner	P03	708
ad96r	AD96R	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P03	709
backhair c03 joint	backhair c03 joint	CLEAR	back hair, joint, segment c03	CLEAR	groupFile/Hair	High		ordinary hair control	P03	710
l-titty-pull	L-Titty-Pull	CLEAR	"left breast ""pull"" morph (slang ""titty""=breast)"	CLEAR	groupFile/Body Morphs	High		matches R-Titty-Pull precedent	P03	711
belly bulge large	Belly Bulge Large	CLEAR	large belly bulge	CLEAR	groupFile/Body Morphs	High		identical spelling to confirmed existing Master control	P03	712
third_arms_l_ring3	Third_Arms_L_Ring3	CLEAR	left ring finger, third arm, segment 3	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		limb count does not change destination (rule 19); verified LeftFingers subpath	P03	713
finger_index_right_2	finger_index_right_2	CLEAR	right index finger, segment 2	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P03	714
wep_shell8	WEP_Shell8	CLEAR	weapon shell/casing, variant 8	CLEAR	groupFile/Other	High		recognized weapon part	P03	715
wep_trigger	WEP_Trigger	CLEAR	weapon trigger	CLEAR	groupFile/Other	High		recognized weapon part	P03	716
shhh	shhh	CLEAR	"""shhh"" mouth-shape/viseme expression"	CLEAR	groupFile/Face/Lower Face	Medium		mouth-region expression control	P03	717
island_collar_04_wind_helper	island_collar_04_wind_helper	CLEAR	garment collar, wind-physics helper, variant 04	CLEAR	groupFile/Clothing	Medium		wind-simulation context indicates fabric collar, not anatomy	P03	718
assplump	AssPlump	CLEAR	"buttock, ""plump"" shape/size"	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor on soft tissue (rule 7)	P03	719
back 3	Back 3	PARTIAL	"""back,"" numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: structural back/spine segment vs. garment back panel	bare ambiguous positional noun, no owner	P03	720
apron.002	Apron.002	CLEAR	apron garment, variant 002	CLEAR	groupFile/Clothing	High		worn garment	P03	721
bip_chest_3_l	bip_Chest_3_l	CLEAR	chest (structural anatomy), left, segment 3	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P03	722
unused r jacketbelt spo	unused r jacketbelt spo	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P03	723
body-full-hard-nipples	Body-Full-Hard-Nipples	CLEAR	"nipples, ""hard"" state, full body"	CLEAR	groupFile/Body Morphs	High		matches hard/erect nipple precedent	P03	724
head cheeck left 5	head cheeck left 5	CLEAR	cheek, left, segment 5	CLEAR	groupFile/Face/Mid Face	High	"""cheeck"" read as ""cheek"""	mid-face cheek anatomy	P03	725
liplower_left2	lipLower_Left2	CLEAR	lower lip, left, segment 2	CLEAR	groupFile/Face/Lower Face	High		matches established lipLower_L* series	P03	726
upper lid lowerer	Upper lid lowerer	CLEAR	upper eyelid lowering control	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P03	727
fin-rig-eye-lu	Fin-Rig-Eye-LU	CLEAR	"eye, left, upper (""Fin-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	Medium		eye anatomy; prefix ignored (rule 24)	P03	728
creasebl	CreaseBL	CLEAR	a skin crease/wrinkle control, side BL	CLEAR	groupFile/Body Morphs	Medium	exact anatomical region unstated	crease/wrinkle is itself an explicit appearance-state term (rule 7)	P03	729
wrinkle_medium_3	wrinkle_medium_3	CLEAR	wrinkle, medium degree, variant 3	CLEAR	groupFile/Body Morphs	High		explicit appearance-state term	P03	730
r sideburn g phy	r sideburn g phy	CLEAR	sideburn (facial hair), right, physics-sim	CLEAR	groupFile/Hair	High		facial hair control	P03	731
bip01_spine1_018	Bip01_Spine1_018	CLEAR	spine (structural anatomy), numbered	CLEAR	groupFile/Body	High		explicit biped skeleton prefix with no garment/hair noun (rule 14)	P03	732
ulid_l_2	ULid_L_2	CLEAR	upper eyelid, left, variant 2	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P03	733
bas.side_right_2	BAS.Side_Right_2	OPAQUE	"ungrounded ""BAS"" code with a bare position, no object"	NOT_APPLICABLE		Low	"""BAS"" has no grounding and ""side right"" alone has no anchor object"	ungrounded prefix plus bare position	P03	734
tentaclebottompright3	TentacleBottompRight3	CLEAR	tentacle, bottom right, segment 3	CLEAR	groupFile/Other	High	"""bottomp"" read as ""bottom"""	species-neutral tentacle anatomy routes to Other (rule 18)	P03	735
