fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
bulgeshort2	BulgeShort2	CLEAR	a bulge shape control shown through shorts, numbered	CLEAR	groupFile/Body Morphs	High		matches the settled bulgeshort sibling precedent (verified current ledger value)	P66
bip01_neck004	Bip01_Neck004	CLEAR	neck, bare structural, numbered	CLEAR	groupFile/Body	High		bare neck with no specific feature defaults to Body	P66
flex_thin_mid	Flex_THIN_MID	CLEAR	a "thin" shape control, middle	CLEAR	groupFile/Body Morphs	Medium		explicit shape/size descriptor (rule 7)	P66
bip_neck_l	bip_neck_L	CLEAR	neck, bare structural, left	CLEAR	groupFile/Body	Medium		bare neck with no specific feature defaults to Body; side marker on an unsided structure is not disqualifying	P66
sk_l_b_leg_4	SK_L_B_leg_4	CLEAR	left leg, numbered	CLEAR	groupFile/Legs	High		plain leg anatomy	P66
r_forearm_00001	r_forearm_00001	CLEAR	right forearm, numbered	CLEAR	groupFile/Arms	High		plain arm anatomy	P66
| tits size | +	| Tits Size | +	CLEAR	a breast size shape control	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor (rule 7)	P66
corner_right_drop	corner_right_drop	OPAQUE	a "corner" drop control, right, no owning object named	NOT_APPLICABLE		Low		no reliable core referent; no owning feature named	P66
leglittlefinger3_r	LegLittleFinger3_R	CLEAR	a control naming both "Leg" and "Little Finger", right, numbered	NEEDS_CONTEXT		Medium	"Leg" and "Finger" name two materially different anatomical owners with no way to tell which governs	matches the settled Leg+Finger mixed-region precedent	P66
stockmain	StockMain	CLEAR	a weapon stock main element	CLEAR	groupFile/Other	High		recognized weapon-part prop	P66
wep_sight_matech	WEP_Sight_Matech	CLEAR	a weapon sight (Matech brand)	CLEAR	groupFile/Other	High		recognized weapon-part prop	P66
right thumb 1 grip 2	Right thumb 1 grip 2	CLEAR	right thumb, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain finger anatomy, verified RightFingers subpath	P66
head_neck_lower	head_neck_lower	CLEAR	neck, lower, bare structural	CLEAR	groupFile/Body	High		bare neck with no specific feature defaults to Body	P66
stoumch bulge	Stoumch bulge	CLEAR	stomach bulge shape control (apparent misspelling of "stomach")	CLEAR	groupFile/Body Morphs	High		explicit shape descriptor on a named body region; literal spelling preserved as written (rule 12)	P66
pantsclothfix all	PantsClothFix All	CLEAR	a pants garment cloth adjustment, covering all	CLEAR	groupFile/Clothing	Medium		garment cloth control owned by the named "Pants", matching the sibling PantsClothFixLow precedent	P66
panties-fumble	Panties-Fumble	CLEAR	a panties garment "fumble" (disarray/movement) state	CLEAR	groupFile/Clothing	High		explicit garment term	P66
slutthinthinner	SlutThinThinner	CLEAR	a "thin"/"thinner" body-shape control	CLEAR	groupFile/Body Morphs	Medium		explicit shape/size descriptor (rule 7)	P66
shell.wall_19	Shell.Wall_19	CLEAR	a building/shell wall (environment prop), numbered	CLEAR	groupFile/Other	High		matches the sibling shell.wall precedent	P66
skull_ring	skull_ring	CLEAR	a skull-themed ring (jewelry accessory)	CLEAR	groupFile/Clothing	High		worn jewelry/accessory term	P66
jiggle leg right thigh 1	jiggle leg right thigh 1	CLEAR	a leg/thigh jiggle-physics control, right, numbered	CLEAR	groupFile/Legs	High		jiggle-physics is a dynamics mechanism on plain leg anatomy	P66
special05_r	special05_R	OPAQUE	a generic "special" placeholder label, numbered, right	NOT_APPLICABLE		Low		no reliable core referent; "special" names no specific object or function	P66
bip_pigtail_l_0	bip_pigtail_L_0	CLEAR	a pigtail hairstyle, left, numbered	CLEAR	groupFile/Hair	High		named hairstyle term	P66
valvebiped.bip01_r_finger4_twist_1	ValveBiped.Bip01_R_Finger4_Twist_1	CLEAR	right finger 4, twist, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain finger anatomy, verified RightFingers subpath	P66
leg right boot tassle 4a	leg right boot tassle 4a	CLEAR	a boot tassel accessory, right leg, numbered	CLEAR	groupFile/Clothing	High		matches the sibling boot tassel precedent (verified this tranche)	P66
mawopensmile	MawOpenSmile	CLEAR	a "maw" (mouth) open-smile expression	CLEAR	groupFile/Face/Lower Face	High		mouth/jaw is a lower-face feature	P66
key.black_31	Key.Black_31	CLEAR	a keyboard-prop key, "black" variant, numbered	CLEAR	groupFile/Other	High		matches the settled Key.<label> coherent series precedent	P66
bip01_l_clavicle002	Bip01_L_Clavicle002	CLEAR	left clavicle, numbered	CLEAR	groupFile/Arms	High		plain arm/clavicle anatomy	P66
leftfinge32	LeftFinge32	CLEAR	left finger (apparent truncation of "finger"), numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		plain finger anatomy; literal spelling preserved as written (rule 12)	P66
pplane4	pPlane4	OPAQUE	a generic mesh-name artifact, no anatomical content	NOT_APPLICABLE		Low		matches the settled DCC-default-primitive-name precedent (pCube/pCylinder/pPlane/etc.)	P66
bipflm r finger2	BipFlm R Finger2	CLEAR	right finger 2, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain finger anatomy, verified RightFingers subpath	P66
left middle finger 3 grip 1	Left middle finger 3 grip 1	CLEAR	left middle finger, segment 3, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy, verified LeftFingers subpath	P66
hitomi head eyeball right	Hitomi head eyeball right	CLEAR	right eyeball	CLEAR	groupFile/Face/Eyes	High		matches the settled head-eyeball sibling precedent (verified current ledger values)	P66
bone149	Bone149	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		matches the settled Bone### precedent	P66
clit.barbell_front	Clit.Barbell_Front	CLEAR	a clitoral barbell piercing (jewelry accessory), front	CLEAR	groupFile/Clothing	High		matches the settled clit.barbell_rear sibling precedent (verified current ledger value)	P66
l forearmrollc spo	L ForearmrollC Spo	PARTIAL	left forearm roll, undecoded trailing qualifier ("Spo")	CLEAR	groupFile/Arms	Medium	"Spo" is an actual undecoded token	matches the settled r forearmrollc spo sibling precedent (verified this tranche)	P66
head eyecorner in right	head eyecorner in right	CLEAR	eye corner, inward, right	CLEAR	groupFile/Face/Eyes	High		explicit eye-region feature	P66
