fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
tental_3_r	Tental_3_R	CLEAR	a tentacle, numbered, right	CLEAR	groupFile/Other	Medium		species-neutral anatomical word with settled rule-18 precedent (tentacle -> Other)	P57
r string2 sec root	r string2 sec root	CLEAR	a string (bare accessory), right, numbered, section root	NEEDS_CONTEXT		Medium	no owner/mount is named for the string	bare decorative-accessory noun with no named owner (rule 25)	P57
head earring right a 1	head earring right a 1	CLEAR	an earring (jewelry), right, on a head location prefix, numbered	CLEAR	groupFile/Clothing	High		recognized worn jewelry accessory	P57
masque.root	Masque.Root	CLEAR	"a mask (""masque""), root/anchor"	CLEAR	groupFile/Clothing	Medium		recognized worn costume/accessory item	P57
stockbody	StockBody	OPAQUE	"a generic ""stock""/reference-body technical marker, no specific content"	NOT_APPLICABLE		Low		organizational/template reference, not a posable control	P57
right_butt	Right_Butt+right_butt	CLEAR	buttock, right	CLEAR	groupFile/Body	High		plain structural anatomy	P57
unused b_l_armroll3helper	unused b_l_armroll3helper	CLEAR	a self-declared unused arm-roll helper control	CLEAR	groupFile/Useless	High		"explicit self-declared ""unused"" marker"	P57
bow right 3h	bow right 3h	PARTIAL	"a ""bow"", right, variant 3h"	NEEDS_CONTEXT		Medium	"""bow"" has materially different core senses (decorative bow / archery bow / ship's bow)"	"matches the settled bare-""bow""-multi-sense precedent"	P57
flm-armb-float-a3	Flm-ArmB-Float-A3	CLEAR	"a ""float"" function in an internal namespace, variant A3 (object unstated)"	NEEDS_CONTEXT		Low	owning object is not named	matches the settled Flm-ArmB-Float precedent exactly	P57
bip_b_nic_neck	bip_B_Nic_Neck	CLEAR	neck, variant	CLEAR	groupFile/Body	High		"ordinary structural anatomy despite the cryptic ""Nic"" fragment"	P57
rachel bun_3	Rachel bun_3	CLEAR	a hair bun, numbered, on a named-character prefix	CLEAR	groupFile/Hair	High		recognized hairstyle	P57
bone 1106	bone 1106	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P57
bh49	Bh49	OPAQUE	"cryptic abbreviation (""Bh""), numbered; no grounding for any expansion"	NOT_APPLICABLE		Low		matches the settled bh001.r/bhr45 pattern	P57
