fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
chain_28	chain_28	CLEAR	a chain accessory, numbered	CLEAR	groupFile/Clothing	High		matches live-Master bare numbered Chain1-11/Chain1-2 template (13/13 hits), all groupFile/Clothing	P91	
bone152	Bone152	OPAQUE	generic numbered skinning bone	NOT_APPLICABLE		Medium	no anatomical/functional content	matches settled Bone### generic-numbered-bone precedent	P91	
fronthair normal a joint	fronthair normal a joint	CLEAR	a front-hair rig joint, normal variant A	CLEAR	groupFile/Hair	High		explicit front hair content grounds this; 'normal'/'a' are style/variant qualifiers	P91	
cloth right 4	cloth right 4	CLEAR	a cloth simulation control, right, numbered	CLEAR	groupFile/Clothing	High		matches live-Master 'cloth left/right N' template (11/11 hits), all groupFile/Clothing	P91	
r_finger2b_00001	r_finger2b_00001	CLEAR	right hand finger 2B segment, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit finger digit anatomy, right hand	P91	
bone47	Bone47	OPAQUE	generic numbered skinning bone	NOT_APPLICABLE		Medium	no anatomical/functional content	matches settled Bone### generic-numbered-bone precedent	P91	
knee fix.r	Knee Fix.R	CLEAR	a knee corrective/adjustment control, right	CLEAR	groupFile/Legs	High		matches live-Master Skn_L_Knee_Fix/Skn_R_Knee_Fix precedent, both groupFile/Legs; anatomy word grounds destination despite 'fix' qualifier	P91	
valvebiped.bip01_belt1	ValveBiped.Bip01_Belt1	CLEAR	a belt garment, ValveBiped skeleton namespace, numbered	CLEAR	groupFile/Clothing	High		matches live-Master ValveBiped.hlp_beltLeft/Right and ledger ValveBiped.Bip01_BeltLower/BeltUpper/Bip01_Pack1-3 precedent, all groupFile/Clothing; namespace prefix set aside (rule 24)	P91	
bip01_spine3_013	Bip01_Spine3_013	CLEAR	spine anatomy, numbered segment	CLEAR	groupFile/Body	High		plain structural spine anatomy, matches Bip01_Pelvis/spine sibling precedent	P91	
bh12.r	Bh12.R	OPAQUE	cryptic 2-letter abbreviation+number+side fragment	NOT_APPLICABLE		Low	no independent grounding for 'Bh'	matches settled Bh##.* cryptic-fragment precedent (Tranche 7 audit)	P91	
tenta_b_8_l	tenta_b_8_L	CLEAR	a tentacle segment, variant B, numbered, left	CLEAR	groupFile/Other	High		settled Rule 18 tentacle precedent, confirmed by finalized calibration (TentacleTopLeft2, Bip_Tentacle.011)	P91	
momo_l_d__offset	momo_l_d__offset	CLEAR	thigh anatomy, left, variant D, offset control	CLEAR	groupFile/Legs	High		'momo'=thigh, grounded by live-Master momotwist_L/R/momotwist2_L/R precedent, all groupFile/Legs; 'd'/'offset' are undecoded variant qualifiers that do not erase the grounded root (rule 24)	P91	
valvebiped.chain_aligned	ValveBiped.chain_aligned	PARTIAL	bare multi-sense 'chain' word within the ValveBiped rig-chain namespace, no grounding to pick a reading	NEEDS_CONTEXT		Medium	could be a kinematic bone-chain or a worn chain accessory; no disambiguating content	matches the extensive current-ledger valvebiped.chain_aligned2/5/7/9/11/13 sibling family, all PARTIAL/NEEDS_CONTEXT	P91	
unused spine upper item_sw	unused spine upper item_SW	CLEAR	self-declared unused marker, spine-upper location, item code SW	CLEAR	groupFile/Useless	High		matches the settled 'unused*' -> groupFile/Useless precedent (rule 15), 272/272 current ledger consistency	P91	
leglittlefinger2_l	LegLittleFinger2_L	CLEAR	a little-toe control (hand-finger-naming template projected onto the leg), numbered, left	CLEAR	groupFile/Toes/LeftToes	Medium		'Little Finger' on a 'Leg' reads as the little toe via this rig's cross-limb digit-naming convention; no direct Master/ledger precedent for this exact compound, so Medium confidence	P91	
nippokedouble09	NipPokeDouble09	CLEAR	a nipple poke-through control, double, numbered	CLEAR	groupFile/Body Morphs	Medium	no clothing/garment qualifier present to route it to the Shirt-owned Clothing branch	matches the live-Master Nipple_Poke_Naked/_Alt bare (no-garment) branch of the split Nipple_Poke family, groupFile/Body Morphs	P91	
bip01_head004	Bip01_Head004	CLEAR	head anatomy, numbered segment	CLEAR	groupFile/Body	High		bare structural head anatomy defaults to Body absent a specific facial feature (rule 13)	P91	
midchest	MidChest	CLEAR	chest/torso anatomy, central/unsided	CLEAR	groupFile/Body	High		plain structural torso anatomy	P91	
vagopen04	VagOpen04	CLEAR	a vaginal-opening shape control, numbered	CLEAR	groupFile/Body Morphs	High		matches extensive live-Master VagOpen/VaginaOpen/Vagina-Open family (215 hits), all groupFile/Body Morphs	P91	
wep_magazine2_bullet4	WEP_Magazine2_Bullet4	CLEAR	a weapon magazine bullet prop, numbered	CLEAR	groupFile/Other	High		recognized ammunition prop, matches ValveBiped_Bullet#/Magazine precedent	P91	
d8	D8	OPAQUE	bare 2-character alphanumeric code	NOT_APPLICABLE		Low	no readable content	matches settled bare-cryptic-code precedent (d12/g2/e5/c1 etc.)	P91	
rightfingerbase	RightFingerBase	CLEAR	right hand finger base anatomy	CLEAR	groupFile/Arms/RightArm/RightFingers	High		matches ValveBiped.Bip01_R_FingerBase2/4 precedent	P91	
dyng z 02	dyng z 02	CLEAR	a dynamic-bone-physics (jiggle) function, letter-coded variant Z, numbered	NEEDS_CONTEXT		Medium	'dyng' function is grounded (rule 23); owning object not stated	matches the extensive settled 'dyng [letter] [number]' sibling family (dyng z 01, dyng a/b/c/d/e/w/x/y 01-03), all CLEAR/NEEDS_CONTEXT	P91	
earing_ base_l	Earing_ Base_L	CLEAR	an earring base, left	CLEAR	groupFile/Clothing	High		explicit worn jewelry accessory	P91	
bunnyearboneright_3	BunnyEarBoneRight_3	CLEAR	a bunny-ear costume/hair-piece bone, right, numbered	CLEAR	groupFile/Face/Ears	High		matches extensive live-Master 'Bunny Ear'/bip_BunnyEars family (74 hits), all groupFile/Face/Ears	P91	
mid_tied	Mid_Tied	PARTIAL	a 'tied' fastening state at a 'mid' position, owning object unresolved	NEEDS_CONTEXT		Low	could denote a mid-length hair tie, a waist/garment tie, or another fastened object; no disambiguating content	no direct Master or ledger precedent found; materially different core readings compete	P91	
chain_29	chain_29	CLEAR	a chain accessory, numbered	CLEAR	groupFile/Clothing	High		matches live-Master bare numbered Chain1-11 template, all groupFile/Clothing; direct sibling chain_28	P91	
limb_right	LIMB_RIGHT	PARTIAL	a right-side limb, arm-vs-leg reading unresolved	NEEDS_CONTEXT		Low	'limb' does not specify arm or leg, and those are materially different destination groups	no owning body-region word narrows 'limb' to a specific group	P91	
bippbg l finger3	BipPBG L Finger3	CLEAR	a left hand finger, numbered, PBG model namespace	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit finger digit anatomy; 'BipPBG' model/section prefix set aside (rule 24)	P91	
leftp	LeftP	OPAQUE	a bare side marker plus an unresolved single-letter suffix	NOT_APPLICABLE		Low	'P' carries no independent grounding	matches settled bare-side-plus-cryptic-suffix precedent	P91	
torso brace b l	Torso brace B L	CLEAR	a torso-region brace/support control, variant B, left	NEEDS_CONTEXT		Medium	'torso' names placement, not the brace's actual owner/purpose (rule 14)	matches the current-ledger 'torso brace f l'/'torso brace b r'/'torso brace f r' sibling family, all CLEAR/NEEDS_CONTEXT	P91	
rhandn	RHandN	CLEAR	a right-hand-region control, undecoded suffix N	CLEAR	groupFile/Arms	Medium		'hand' anatomy is grounded (rule 24, suffix doesn't erase root); no specific finger named, defaults to plain Arms per the ValveBiped.right_hand_trigger Rule-10 precedent	P91	
l ulipin a	L Ulipin A	CLEAR	a lip (mouth/lower-face) control, undecoded 'U' prefix, left, variant A	CLEAR	groupFile/Face/Lower Face	High		matches direct current-ledger sibling 'r ulipin a'/'r ulipin b'/'l ulipin b', all CLEAR/CLEAR/Face/Lower Face	P91	
rassimpactextrude2	RAssImpactExtrude2	CLEAR	a buttock impact/extrude soft-tissue deformation, right, numbered	CLEAR	groupFile/Body Morphs	High		matches direct current-ledger sibling rassimpactextrude1/lassimpactextrude1/lassimpactextrude2, all CLEAR/CLEAR/Body Morphs	P91	
detpack	detpack	CLEAR	a detonation-pack explosive prop	CLEAR	groupFile/Other	High		recognized real-world/game weapon-prop object	P91	
unused141	unused141	CLEAR	self-declared unused marker, numbered	CLEAR	groupFile/Useless	High		matches settled 'unused*' precedent (rule 15)	P91	
desk light	Desk light	CLEAR	a desk-lamp furniture/prop object	CLEAR	groupFile/Other	High		recognized real-world furniture/prop object, unrelated to character anatomy/clothing	P91	
option 01	OPTION 01	OPAQUE	a bare 'option' label with no named function/object, numbered	NOT_APPLICABLE		Low	'option' alone names nothing specific	matches settled 'option 11' cryptic-label precedent (Tranche 9 audit)	P91	
c tiea spo	C TieA Spo	OPAQUE	cryptic fragment, unresolved letter/word codes	NOT_APPLICABLE		Low	'C', 'TieA', 'Spo' carry no independent grounding together	no Master or ledger precedent recovers this fragment	P91	
shockeyeleft	ShockEyeLeft	CLEAR	a shocked-eye expression control, left	CLEAR	groupFile/Face/Eyes	High		explicit 'Eye' localization overrides the general whole-emotion-word default (section 13), matching the Brow/Eye-Shocked localized-compound precedent	P91	
wep_stock_folding	WEP_Stock_Folding	CLEAR	a weapon stock folding-mechanism part	CLEAR	groupFile/Other	High		recognized weapon-part prop	P91	
thumbright1	ThumbRight1	CLEAR	a right thumb digit, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit thumb anatomy	P91	
socket_lh_wp	Socket_lh_wp	CLEAR	a left-hand weapon attachment socket	CLEAR	groupFile/Other	Medium		matches live-Master generic 'Socket_Bone'/'other_socket_bone' precedent (groupFile/Other); no eye-socket context present	P91	
pants string ２.l	Pants string ２.L	CLEAR	a pants drawstring, left	CLEAR	groupFile/Clothing	High		explicit worn garment component	P91	
spine upper b	spine upper b	CLEAR	spine anatomy, upper, variant B	CLEAR	groupFile/Body	High		plain structural spine anatomy	P91	
middle1_base.l	middle1_base.l	CLEAR	left hand middle-finger base segment	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit finger digit anatomy	P91	
sadness_r	sadness_r	CLEAR	a sadness whole-face expression, right variant	CLEAR	groupFile/Face/Expressions	High		matches direct current-ledger sibling sadness_l, CLEAR/CLEAR/Face/Expressions; whole-emotion word, no localized feature named	P91	
narrow_x	narrow_x	CLEAR	a 'narrow' shape/size adjustment, axis/variant X	NEEDS_CONTEXT		Low	narrow is a real shape descriptor but no owning object/region is named	no Master or ledger precedent names the owner of this narrowing effect	P91	
wep_button1	WEP_Button1	CLEAR	a weapon button control, numbered	CLEAR	groupFile/Other	High		recognized weapon-part prop	P91	
belly-big	belly-big	CLEAR	a belly shape/size state, 'big'	CLEAR	groupFile/Body Morphs	High		explicit body-shape/size descriptor on named anatomy (belly)	P91	
r collara a phy	R CollarA a Phy	CLEAR	a right collarbone (clavicle) physics/jiggle control, variant A	CLEAR	groupFile/Arms	Medium		matches live-Master 'CollarBookPhysicsParent'->Arms and ledger valvebiped.l_collar->Arms precedent: bare 'collar' in this corpus denotes the clavicle bone, not a garment collar	P91	
valvebiped_bullet11	ValveBiped_Bullet11	CLEAR	a weapon ammunition prop, numbered	CLEAR	groupFile/Other	High		matches extensive current-ledger ValveBiped_Bullet# sibling series, all CLEAR/CLEAR/Other	P91	
valvebiped_bullet6	ValveBiped_Bullet6	CLEAR	a weapon ammunition prop, numbered	CLEAR	groupFile/Other	High		matches extensive current-ledger ValveBiped_Bullet# sibling series, all CLEAR/CLEAR/Other	P91	
