fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
flm-armb-neckl	Flm-ArmB-NeckL	CLEAR	neck, left, within the internal Flm-ArmB namespace	CLEAR	groupFile/Body	High		matches the established Flm-ArmB-Neck->Body template	P127
cube3	cube3	CLEAR	a deliberately-named cube object, numbered	CLEAR	groupFile/Other	Medium		no DCC-tool auto-generation prefix ('pCube'); matches the deliberate generic-object naming precedent (e.g. Box10), distinct from DCC-default residue	P127
ass bone_l	ass bone_L	CLEAR	buttock, plain structural bone, left	CLEAR	groupFile/Body	Medium		no shape/state word; direct-pose structural sexual anatomy -> Body per current doctrine (Tranche 12 QA 8950c85). FUTURE_SEXUAL_BONES_MIGRATION_CANDIDATE.	P127
flex_sh3_short	Flex_SH3_SHORT	OPAQUE	cryptic 'flex' code with ungrounded suffix, no recoverable subject	NOT_APPLICABLE		Low	'SH3' does not decode to any established convention	rule 27: generic technical vocabulary with no owning object, no family/template evidence found	P127
wep_gl_swich2	WEP_GL_Swich2	CLEAR	weapon grenade-launcher switch, numbered	CLEAR	groupFile/Other	High		matches the wep_* weapon-prop family precedent	P127
32	32	OPAQUE	pure numeric literal, no content	NOT_APPLICABLE		Low		rule 27/22: bare number, no referent	P127
wep_stock	WEP_Stock	CLEAR	weapon stock	CLEAR	groupFile/Other	High		matches the wep_* weapon-prop family precedent	P127
level1_north	Level1_North	OPAQUE	generic hierarchy-level label with a direction qualifier, no recoverable subject	NOT_APPLICABLE		Low		rule 27: matches the settled level_N_root-style generic-hierarchy-label caution	P127
titan	titan	OPAQUE	bare creature/model-name reference, no functional content	NOT_APPLICABLE		Low		matches the established bare species/model-name-reference precedent (e.g. 'cormorant')	P127
generichuman_r_eyejnt	GenericHuman_r_EyeJnt	CLEAR	eye joint, right ('GenericHuman' model prefix)	CLEAR	groupFile/Face/Eyes	High		explicit eye anatomy; model prefix set aside (rule 24)	P127
front 6_2	Front 6_2	OPAQUE	bare positional word with numbers, no anatomical owner	NOT_APPLICABLE		Low		matches the exhaustive bare 'front N' -> OPAQUE precedent (11/11 siblings)	P127
belt_23	belt_23	CLEAR	belt garment, numbered	CLEAR	groupFile/Clothing	High		belt is a recognized worn garment accessory	P127
bhl45	BhL45	OPAQUE	cryptic 2-letter+number code with side marker, no grounding	NOT_APPLICABLE		Low		matches the established ungrounded 'Bh##'-style cryptic-code precedent	P127
flm-armb-arm-ra	Flm-ArmB-Arm-RA	CLEAR	arm anatomy, right, within the internal Flm-ArmB namespace, suffix RA	CLEAR	groupFile/Arms	Medium		matches the corrected Flm-ArmB-Arm->Arms template	P127
key 4 - poneyhair	Key 4 - PoneyHair	CLEAR	hair-key control, numbered ('poneyhair' = ponytail hair)	CLEAR	groupFile/Hair	High		matches the established 'key N - poneyhair' -> Hair precedent exactly	P127
vaginagapewidth	VaginaGapeWidth	CLEAR	vaginal gape width	CLEAR	groupFile/Body Morphs	High		explicit shape/state words ('gape', 'width')	P127
r forearmrolla spo	R ForearmrollA Spo	CLEAR	forearm roll, right, variant a, physics/sport	CLEAR	groupFile/Arms	High		explicit forearm anatomy	P127
grr	Grr	CLEAR	a growl/aggressive whole-face expression ('Grr')	CLEAR	groupFile/Face/Expressions	Medium		bare whole-face emotion/reaction word	P127
