fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
leg left thigh ctrl 2	leg left thigh ctrl 2	CLEAR	thigh anatomy, left, numbered	CLEAR	groupFile/Legs	High		Explicit leg/thigh anatomy.	P109	
r collar 02	r collar 02	CLEAR	a garment collar, right, numbered	CLEAR	groupFile/Clothing	High		Matches the established descriptive garment-collar template.	P109	
bone062	Bone062	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P109	
kamiboon__gnull	kamiboon__gnull	OPAQUE	cryptic 'kamiboon'/'gnull' compound, no recoverable content	NOT_APPLICABLE		Low		No sibling series or corpus evidence grounds a specific reading (rule 23 standard not met).	P109	
vore belly	Vore Belly	CLEAR	a belly shape control (vore-content context)	CLEAR	groupFile/Body Morphs	Medium		Explicit anatomy (belly) with a recognized content-genre qualifier.	P109	
bottomlipsraise	BottomLipsRaise	CLEAR	lower lip raise mechanism	CLEAR	groupFile/Face/Lower Face	High		Explicit lip mechanism.	P109	
bip_pussyside_0_l	bip_PussySide_0_L	CLEAR	vagina anatomy, side, numbered, left	CLEAR	groupFile/Body Morphs	High		This Master's pussy/vagina domain resolves overwhelmingly to Body Morphs.	P109	
eronipplesl	EroNipplesL	CLEAR	nipple anatomy, left ('Ero' cosmetic prefix set aside)	CLEAR	groupFile/Body Morphs	High		Explicit anatomy in the Body-Morphs-dominant genital/intimate-anatomy domain.	P109	
cape4.r	Cape4.R	CLEAR	cape garment, numbered, right	CLEAR	groupFile/Clothing	High		Explicit garment (cape) content.	P109	
bipqwn l finger2	BipQwn L Finger2	CLEAR	finger anatomy, left, numbered (Qwn namespace prefix set aside)	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Rule 24: namespace prefix set aside; explicit finger anatomy and side.	P109	
wep_foregrip_child2	WEP_Foregrip_Child2	CLEAR	a weapon foregrip accessory, numbered	CLEAR	groupFile/Other	High		WEP prefix + recognized weapon-accessory object.	P109	
cube1	cube1	CLEAR	a generic cube object, numbered	CLEAR	groupFile/Other	Medium		Lacks the 'p' Maya-auto-name prefix (unlike pCube#); matches the deliberately-named-generic-object convention (parallel to Box##).	P109	
wep_sight_flipup2	WEP_Sight_FlipUp2	CLEAR	a weapon flip-up sight accessory, numbered	CLEAR	groupFile/Other	High		WEP prefix + recognized weapon-accessory object.	P109	
l femorisb spo	L FemorisB Spo	CLEAR	femur/thigh muscle anatomy ('femoris'), left, variant B	CLEAR	groupFile/Legs	High		'Femoris' is a recognized anatomical term, matches R FemorisC Spo precedent.	P109	
asshole_7	Asshole_7	CLEAR	anus anatomy, numbered	CLEAR	groupFile/Body Morphs	Medium		Matches the asshole_2/4 sibling precedent.	P109	
c_dred_r1_02	C_Dred_R1_02	CLEAR	a dreadlock hair strand, variant R1, numbered	CLEAR	groupFile/Hair	High		Matches the c_dred sibling precedent.	P109	
toplip2.r	TopLip2.R	CLEAR	upper lip control, numbered, right	CLEAR	groupFile/Face/Lower Face	High		Explicit lip mechanism.	P109	
upper_right_raise	upper_right_raise	CLEAR	an upper-right raise function	NEEDS_CONTEXT		Low		'Raise' is a stable function word (rule 22 pattern); the raised feature is unstated.	P109	
object005	Object005	OPAQUE	generic numbered placeholder object	NOT_APPLICABLE		Low		Matches the established generic-numbered-placeholder-object OPAQUE precedent.	P109	
crow_1.tail_l	Crow_1.Tail_L	CLEAR	tail anatomy (species-neutral, bird), numbered, left	CLEAR	groupFile/Tail	High		Matches crow_2.tail_l precedent; explicit tail anatomy.	P109	
fan.front_3	Fan.Front_3	CLEAR	a fan object, front position, numbered	NEEDS_CONTEXT		Low		Matches fan.front_1 precedent; owner unresolved.	P109	
fringe 8	fringe 8	CLEAR	a hair fringe/bangs strand, numbered	CLEAR	groupFile/Hair	High		Matches the established bare/numbered fringe hair template.	P109	
bandana	bandana	CLEAR	a bandana garment/accessory	CLEAR	groupFile/Clothing	High		Explicit garment/headwear content.	P109	
pjcmabdomenfwd35	pJCMAbdomenFwd35	CLEAR	a positive joint-corrective-morph for abdomen forward motion, numbered	CLEAR	groupFile/Correctives	High		Explicit 'pJCM' Joint Corrective Morph convention.	P109	
