fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
head-wide	head-wide	CLEAR	a head-shape width descriptor	CLEAR	groupFile/Body Morphs	Medium		Explicit head-shape size descriptor, matches Rule 12 shape/size->Body Morphs convention.	P73	
pantsvagclose	PantsVagClose	CLEAR	pants garment with a vaginal-close mechanism	CLEAR	groupFile/Clothing	High		Matches Rule 8's PantsAnalOpen/PantsAnusOpen worked example: named garment (pants) is the primary object.	P73	
bone_arl	Bone_ARL	OPAQUE	a generic bone with an ungrounded 'ARL' code	NOT_APPLICABLE		High		No grounding for 'ARL'.	P73	
openl	openL	CLEAR	an open state, left	NEEDS_CONTEXT		Low	no object/owner named	Bare 'open' state with no anatomical noun or object named.	P73	
left index finger 3 grip 1	Left index finger 3 grip 1	CLEAR	left index finger anatomy, grip pose variant	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit index finger anatomy.	P73	
tailrootbone	TailRootBone	CLEAR	tail root/anchor bone	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P73	
door1	Door1	CLEAR	a door prop	CLEAR	groupFile/Other	Medium		Recognized object (Rule 16).	P73	
arm left finger knuckle ring	arm left finger knuckle ring	CLEAR	left finger knuckle joint anatomy	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		'Arm/finger/knuckle' fully establishes finger anatomy; 'ring' reads as a knuckle joint-type qualifier rather than a jewelry accessory.	P73	
bow right 3c	bow right 3c	PARTIAL	a 'bow' (decorative ribbon-bow / archery bow / other sense), right, variant	NEEDS_CONTEXT		Low	materially different core senses compete	Matches the established multi-sense 'bow' precedent (this ledger).	P73	
bone_skin_097	Bone_skin_097	OPAQUE	a generic numbered skinning bone	NOT_APPLICABLE		High		Generic Bone_skin+number pattern.	P73	
middlewirebulgedown	MiddleWireBulgeDown	PARTIAL	a 'wire' bulge-deformation control (literal wire object, or a rig control-wire jargon term), middle, downward	NEEDS_CONTEXT		Low	materially different core readings compete	No content resolves whether 'wire' names a literal wire object or a rig-control jargon term.	P73	
def-spine.006_r.010	DEF-spine.006_R.010	CLEAR	spine anatomy, DEF- deform-bone rig prefix, right, numbered	CLEAR	groupFile/Body	High		'DEF-' is a well-known deform-bone rigging prefix; spine is plain structural anatomy.	P73	
r middle 03	r middle 03	CLEAR	right middle finger anatomy, numbered segment	CLEAR	groupFile/Arms/RightArm/RightFingers	Medium		'Middle' finger-position convention, matches sibling bip_r_middle_03 (this batch).	P73	
charge_handle	charge_handle	CLEAR	a firearm charging-handle component	CLEAR	groupFile/Other	High		Recognized weapon part.	P73	
tailleft3_6	TailLeft3_6	CLEAR	tail anatomy, left, numbered	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P73	
leftbrowraise	LeftbrowRaise	CLEAR	a left eyebrow raise action	CLEAR	groupFile/Face/Upper Face	High		Explicit brow anatomy.	P73	
~	~	OPAQUE	a symbolic/non-linguistic fragment	NOT_APPLICABLE		High		Matches established symbolic-fragment OPAQUE precedent (Tranche 7 audit).	P73	
oris06	oris06	CLEAR	a mouth-region control (Latin 'oris' = mouth, as in orbicularis oris), numbered	CLEAR	groupFile/Face/Lower Face	Medium		'Oris' is grounded anatomical Latin for mouth (Rule 12 foreign/specialist-language grounding).	P73	
crow_1.humerus_r	Crow_1.Humerus_R	CLEAR	humerus (upper-arm bone) anatomy, right, creature-prefixed	CLEAR	groupFile/Arms	High		Humerus is species-neutral arm-bone anatomy.	P73	
five_bullet02	Five_Bullet02	CLEAR	an ammunition round for a 'Five' weapon model, numbered	CLEAR	groupFile/Other	Medium		Recognized ammunition object (Rule 16).	P73	
bippbg lthightwist	BipPBG LThighTwist	CLEAR	left thigh twist, BipPbg namespace	CLEAR	groupFile/Legs	High		Standard rig twist-bone anatomy (Rule 3); BipPbg is an established namespace prefix.	P73	
bas.back_1	BAS.Back_1	OPAQUE	an internal 'BAS.' namespace position code with no function word	NOT_APPLICABLE		Medium		Matches established 'BAS.<position>' internal-namespace OPAQUE precedent.	P73	
dummy01	Dummy01	OPAQUE	a generic technical placeholder/dummy node, numbered	NOT_APPLICABLE		Medium		'Dummy' is a common non-semantic technical helper-node term with no inherent geometry/meaning.	P73	
tentacletop2	TentacleTop2	CLEAR	a tentacle, top position, numbered	CLEAR	groupFile/Other	High		Settled Rule 18 species-neutral precedent (tentacle->Other), confirmed by finalized calibration.	P73	
valvebiped.chain_aligned7	ValveBiped.chain_aligned7	PARTIAL	a 'chain' (jewelry / mechanical / physics-aligned bone chain), numbered	NEEDS_CONTEXT		Low	materially different core readings compete	Matches the established multi-sense 'chain' calibration precedent.	P73	
jiggle spine 4	jiggle spine 4	CLEAR	a jiggle-physics control on spine anatomy, numbered	CLEAR	groupFile/Body	High		Jiggle function with an explicitly named anatomical owner (spine).	P73	
chainfront_l	ChainFront_L	PARTIAL	a 'chain' (jewelry / mechanical / physics), front, left	NEEDS_CONTEXT		Low	materially different core readings compete	Matches the established multi-sense 'chain' calibration precedent.	P73	
moustache_r_1	Moustache_R_1	CLEAR	a moustache, right, numbered	CLEAR	groupFile/Hair	High		Moustache is unambiguous facial hair.	P73	
left arm screw 3	Left arm screw 3	PARTIAL	a left-arm 'screw'-type joint mechanism, or a screw prop held/attached at the arm	NEEDS_CONTEXT		Low	materially different core readings compete	Matches the established left-hand-screw precedent (this ledger).	P73	
donger03_chain	donger03_chain	CLEAR	genital anatomy ('donger', established grounded term), numbered, bone-chain qualifier	CLEAR	groupFile/Body	Medium		'Donger' is a previously-grounded genital-slang term; 'chain' reads as a technical bone-chain descriptor, not jewelry.	P73	
wep_pin	WEP_Pin	CLEAR	a weapon pin component	CLEAR	groupFile/Other	High		Recognized weapon part.	P73	
shirt_exposed_tie_left_2	Shirt_Exposed_Tie_Left_2	CLEAR	a shirt tie, left, numbered	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P73	
flex_flat	Flex_FLAT	CLEAR	a 'flex' (shape-key) mechanism, flat state	NEEDS_CONTEXT		Low	no body region/object named	'Flex' is a generic shape-change mechanism term; no body region or object is named.	P73	
vheightvwidthback	VheightVwidthBack	PARTIAL	a dimensional (height/width) adjustment control, back position, 'V' qualifier ungrounded	NEEDS_CONTEXT		Low	owning body-part/object and 'V' meaning unresolved	Height/width are real dimensional words but the owning object and 'V' qualifier are ungrounded.	P73	
unused145	unused145	CLEAR	a self-declared unused control	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration.	P73	
pad1_1	pad1_1	PARTIAL	a 'pad' accessory (shoulder pad / knee pad / other padding), numbered	NEEDS_CONTEXT		Low	which pad and owner unresolved	Bare unowned 'pad' accessory noun with no disambiguating garment context.	P73	
vip_gibhead02	VIP_gibHead02	CLEAR	a destructible head-gib fragment prop, numbered	CLEAR	groupFile/Other	High		Matches established 'gib' destructible-fragment precedent, explicit 'head' object.	P73	
flaresback	flaresback	PARTIAL	'flares' (lens-flare effect / flared garment shape / flare weapon), back	NEEDS_CONTEXT		Low	materially different core senses compete	No disambiguating context for which 'flares' sense applies.	P73	
whl_3	whL_3	CLEAR	a vehicle wheel, numbered ('whl' abbreviation)	CLEAR	groupFile/Other	Medium		'Whl' is a common grounded wheel abbreviation.	P73	
bip chinlo	bip chinlo	CLEAR	chin anatomy, low variant	CLEAR	groupFile/Face/Lower Face	High		Explicit chin anatomy.	P73	
left little finger 1 grip 1	Left little finger 1 grip 1	CLEAR	left little (pinky) finger anatomy, grip pose variant	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit little-finger anatomy.	P73	
bip_l_finger_c_01	bip_l_finger_c_01	CLEAR	a left finger, variant C, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit finger anatomy.	P73	
head eye inner upper right	Head Eye Inner Upper Right	CLEAR	eye anatomy, inner upper, right	CLEAR	groupFile/Face/Eyes	High		Explicit eye anatomy.	P73	
