fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
valvebiped.bip01_r_thumb02	ValveBiped.Bip01_R_Thumb02	CLEAR	right thumb digit, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		standard ValveBiped finger anatomy	P97	
bip_pelvis_helper_r	bip_pelvis_helper_R	CLEAR	pelvis anatomy, right, helper qualifier	CLEAR	groupFile/Body	High		pelvis is central/structural anatomy (rule 26); helper does not imply Correctives (rule 3)	P97	
cornerpullerr	CornerPullerR	CLEAR	a mouth-corner-puller expression, right	CLEAR	groupFile/Face/Lower Face	High		matches extensive live-Master CornerPuller family (20 hits), all groupFile/Face/Lower Face	P97	
r collarb a phy	R CollarB a Phy	CLEAR	a right garment collar, physics variant, B	CLEAR	groupFile/Clothing	High		matches extensive live-Master bare 'collar' family (28 hits) and direct current-ledger sibling 'r collara/c a phy', groupFile/Clothing	P97	
flatten/outline2	Flatten/outline2	OPAQUE	a cryptic 'flatten/outline' rendering-technical label	NOT_APPLICABLE		Low	plausibly a shader/rendering technical control, no anatomical/clothing content	no Master/ledger precedent recovers this fragment	P97	
glass_d1_d	glass_d1_d	CLEAR	a drinking-glass prop, variant D1D	CLEAR	groupFile/Other	Medium		recognized real-world prop object	P97	
bone_face_eye_l_shape_u_in	Bone_Face_Eye_L_Shape_U_In	CLEAR	a left eye shape control, upper-in variant	CLEAR	groupFile/Face/Eyes	High		matches direct current-ledger sibling bone_face_eye_r_shape_out, explicit eye anatomy/shape control	P97	
c throat b	C Throat B	CLEAR	throat anatomy, variant B	CLEAR	groupFile/Face/Lower Face	High		matches extensive live-Master Throat family (85 hits), all groupFile/Face/Lower Face	P97	
valvebiped_bullet2	ValveBiped_Bullet2	CLEAR	a weapon ammunition prop, numbered	CLEAR	groupFile/Other	High		matches extensive current-ledger ValveBiped_Bullet# sibling series	P97	
r ujacketc spo	R uJacketC Spo	CLEAR	a jacket garment, physics/variant, right, C namespace	CLEAR	groupFile/Clothing	Medium		explicit 'Jacket' garment content grounds this regardless of namespace/qualifiers, matches c ujacketa c phy/l ujacketb b phy sibling family	P97	
righteartop	RightEarTop	CLEAR	right ear anatomy, top portion	CLEAR	groupFile/Face/Ears	High		explicit ear anatomy	P97	
bip goiterend	bip goiterend	CLEAR	a goiter (neck/throat swelling) anatomy control, end segment	CLEAR	groupFile/Body	Medium		'goiter' is a specific recognized neck-region anatomical/medical term, species-neutral	P97	
fbx_weapon_rinko_3_l	fbx_weapon_rinko_3_L	CLEAR	a weapon prop, Rinko character namespace, numbered, left	CLEAR	groupFile/Other	High		recognized weapon prop; character-name namespace set aside (rule 24)	P97	
global	Global	OPAQUE	a bare 'Global' technical scope label	NOT_APPLICABLE		Low	no anatomical/functional content, a generic rig-wide technical marker	no Master/ledger precedent recovers content beyond a generic scope label	P97	
jiggle.ornament_chest	Jiggle.Ornament_Chest	CLEAR	a chest ornament jiggle-physics accessory	CLEAR	groupFile/Clothing	High		ornament is a worn decorative accessory; jiggle names the grounded physics function (rule 22)	P97	
lidsdownleft	LidsDownLeft	CLEAR	eyelids-down control, left	CLEAR	groupFile/Face/Eyes	High		eyelid anatomy is an eye-specific feature	P97	
rtoe04n	RToe04N	CLEAR	right toe digit, numbered, undecoded suffix N	CLEAR	groupFile/Toes/RightToes	High		explicit toe anatomy, matches direct sibling rtoe01n (this ledger)	P97	
taurenmale_hd_bone_87	taurenmale_hd_bone_87	OPAQUE	bare numbered technical bone under a character/model-name prefix	NOT_APPLICABLE		Low	character/model prefix is not itself semantic ownership (rule 24); bare numbered bone carries no anatomical specificity	matches the established TaurenMale_HD_Bone## sibling precedent	P97	
tenta_b_10_r	tenta_b_10_R	CLEAR	a tentacle segment, variant B, numbered, right	CLEAR	groupFile/Other	High		settled Rule 18 tentacle precedent	P97	
opt_hand_left_middle2	OPT_Hand_Left_Middle2	CLEAR	left hand middle-finger digit, numbered, OPT namespace	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit middle-finger anatomy grounds this regardless of the 'OPT' namespace prefix (rule 24)	P97	
cape2_middle6	CAPE2_MIDDLE6	CLEAR	a cape garment, middle section, numbered	CLEAR	groupFile/Clothing	High		matches live-Master 'cape N L/R' precedent	P97	
submesh_00_lod_1.3040	submesh_00_LOD_1.3040	OPAQUE	a generic DCC submesh/LOD technical identifier, numbered	NOT_APPLICABLE		Low	technical submesh/level-of-detail naming, no anatomical content	matches the settled 'submesh_00_lod_1.2922' cryptic-fragment precedent	P97	
neckcobrahood	NeckCobraHood	CLEAR	a cobra-hood neck-flare anatomy control	CLEAR	groupFile/Body	Medium		neck/throat-region species-specific anatomy (rule 18-style)	P97	
ex_prop_exec_cashpile_high	ex_prop_exec_cashpile_high	CLEAR	a cash-pile prop, high variant	CLEAR	groupFile/Other	High		recognized real-world prop object	P97	
v_weapon.lighter_flame4	v_weapon.lighter_flame4	CLEAR	a lighter-flame viewmodel weapon prop, numbered	CLEAR	groupFile/Other	High		recognized weapon/prop viewmodel control	P97	
cape4.l	Cape4.L	CLEAR	a cape garment, numbered, left	CLEAR	groupFile/Clothing	High		matches live-Master 'cape N L/R' precedent	P97	
breath-nudetop	Breath-nudetop	CLEAR	a breathing effect, nude-top state, subject and control purpose partially unresolved	NEEDS_CONTEXT		Low	'breath'/'nude'/'top' gives a clear semantic subject and state but does not establish control purpose	matches the settled belly-bottomnude/belly-nudetop QA precedent pattern	P97	
foreskin-pull-helper	foreskin-pull-helper	CLEAR	penis foreskin anatomy, pull, helper qualifier	CLEAR	groupFile/Body	High		plain structural genital anatomy; helper does not imply Correctives (rule 3)	P97	
tri	tri	OPAQUE	bare 3-character alphanumeric code	NOT_APPLICABLE		Low	no readable content	matches settled bare-cryptic-code precedent	P97	
submesh_00_lod_1.459	submesh_00_LOD_1.459	OPAQUE	a generic DCC submesh/LOD technical identifier, numbered	NOT_APPLICABLE		Low	technical submesh/level-of-detail naming, no anatomical content	matches direct sibling submesh_00_lod_1.3040 (this batch)	P97	
flm-arma-tummy1	Flm-ArmA-Tummy1	CLEAR	a tummy/belly body-shape control, Flm-ArmA namespace, numbered	CLEAR	groupFile/Body Morphs	High		matches extensive live-Master Tummy/Tummy Bulge family (31 hits), all groupFile/Body Morphs; namespace prefix set aside (rule 24)	P97	
flatten/beam2	Flatten/beam2	OPAQUE	a cryptic 'flatten/beam' rendering-technical label, numbered	NOT_APPLICABLE		Low	plausibly a shader/rendering technical control, no anatomical/clothing content	matches direct sibling flatten/outline2 (this batch)	P97	
rightnipple7	RightNipple7	CLEAR	right nipple anatomy, numbered	CLEAR	groupFile/Body	High		plain structural breast-region anatomy, no shape/size descriptor (rule 12)	P97	
closedgenital	ClosedGenital	CLEAR	a closed-genital shape control	CLEAR	groupFile/Body Morphs	High		explicit genital shape/state descriptor	P97	
right_nipples_erect	Right_nipples_erect	CLEAR	right nipple erection shape state	CLEAR	groupFile/Body Morphs	High		explicit body-shape/state descriptor on named anatomy	P97	
fronthaircontrol	FrontHairControl	CLEAR	a front-hair control	CLEAR	groupFile/Hair	High		explicit hair content	P97	
finger_ring_left_2	finger_ring_left_2	CLEAR	left ring-finger digit, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		matches extensive live-Master ring_finger/RingFinger family (29 hits)	P97	
bip01_neck010	Bip01_Neck010	CLEAR	neck anatomy, numbered segment	CLEAR	groupFile/Body	High		plain structural neck anatomy	P97	
forearmtwist2right	ForearmTwist2Right	CLEAR	right forearm-twist anatomy, numbered	CLEAR	groupFile/Arms	High		ordinary twist-bone anatomy, not corrective (rule 3)	P97	
houjin 3_1	Houjin 3_1	OPAQUE	cryptic 'Houjin' fragment, numbered	NOT_APPLICABLE		Low	no independent grounding	no Master/ledger precedent recovers this fragment	P97	
bone_lfl2	bone_LFL2	CLEAR	left front-leg anatomy (LFL abbreviation), numbered	CLEAR	groupFile/Legs	Low	'LFL' abbreviation inferred from the corpus's Canine_LFrontLegPalm-style naming, not independently confirmed here	plausibly 'Left Front Leg', matching the canine-front-leg-anatomy convention	P97	
bow left 3h	bow left 3h	CLEAR	a bow ribbon accessory, left, variant 3H	CLEAR	groupFile/Clothing	Low	ribbon-bow-accessory vs. archery-weapon reading is unresolved	matches direct current-ledger sibling 'bow right b 1'/'bow left d 1'	P97	
finger_pinky_left_2	finger_pinky_left_2	CLEAR	left pinky finger digit, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit finger digit anatomy	P97	
iris_scale	iris_scale	CLEAR	an iris size-scale control	CLEAR	groupFile/Face/Eyes	High		matches live-Master 'head eyeball iris scale left/right' precedent	P97	
wep_fx_flashlight_rail	WEP_FX_Flashlight_Rail	CLEAR	a weapon flashlight-rail-mount effect part	CLEAR	groupFile/Other	High		recognized weapon-part prop	P97	
eyelashes-open	Eyelashes-Open	CLEAR	an eyelashes-open control	CLEAR	groupFile/Face/Eyes	High		eyelash is an eye-region feature	P97	
earpiece_right	earpiece_right	CLEAR	a right earpiece worn accessory	CLEAR	groupFile/Clothing	Medium		recognized worn accessory	P97	
bip01 nonaccum	Bip01 NonAccum	OPAQUE	a technical 'non-accumulating' bone marker	NOT_APPLICABLE		Low	'NonAccum' is a pure rig-technical term (non-inheriting rotation), no anatomical content	matches generic technical rig-plumbing precedent	P97	
