fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
loincloth front 1b	loincloth front 1b	CLEAR	loincloth garment, front, variant 1b	CLEAR	groupFile/Clothing	High		garment anatomy	P112
bip_lube	bip_lube	CLEAR	a lubricant/wetness-effect control (bip_ skeletal-bone convention)	NEEDS_CONTEXT		Low	which body region/taxonomy owns a lubricant-effect bone is unstated	'lube' is a real recognizable substance/effect concept, not cryptic jargon; owner unresolved	P112
cloth_front_b_3	cloth_front_B_3	CLEAR	cloth/garment front panel, variant b, numbered	CLEAR	groupFile/Clothing	High		garment simulation control	P112
flm-armb-arm-rd	Flm-ArmB-Arm-RD	CLEAR	arm anatomy, Flm-ArmB namespace, 'RD' qualifier	CLEAR	groupFile/Arms	Medium		Flm-ArmB namespace set aside (rule 24); 'Arm' is plain structural anatomy, matching the corrected Flm-ArmB-Arm-* family	P112
brows-serious	brows-serious	CLEAR	brow expression, serious	CLEAR	groupFile/Face/Upper Face	High		brow is an Upper Face mechanism	P112
valvebiped.bip01_l_testicle0	ValveBiped.Bip01_L_Testicle0	CLEAR	left testicle, numbered	CLEAR	groupFile/Body Morphs	High		matches the extensive live-Master testicle family (87 hits, including structural-looking bip_Testicle_L/R, FK_Testicle_L/R -- all Body Morphs; this genital region has no plain-Body destination in this Master)	P112
eyes-look-down	eyes-look-down	CLEAR	eye-gaze direction, downward	CLEAR	groupFile/Face/Eyes	High		eye-gaze control	P112
piercing.nipple_ring_right_jiggle	Piercing.Nipple_Ring_Right_jiggle	CLEAR	a nipple-ring piercing, right, jiggle physics	CLEAR	groupFile/Clothing	High		matches the live-Master 'NIPPLE PIERCING.L/R' precedent (Clothing, worn jewelry)	P112
leg left sta	leg left StA	CLEAR	left leg, 'StA' suffix unresolved	CLEAR	groupFile/Legs	Medium	'StA' suffix undecoded	'leg' is grounded anatomy; undecoded suffix does not erase it (rule 24)	P112
exclam1	Exclam1	CLEAR	an exclamation-mark reaction indicator, numbered	NEEDS_CONTEXT		Low	no established owning region (icon/overlay vs. facial expression) in this taxonomy	ordinary recognizable reaction-symbol concept (rule 22 category F), no Master precedent to resolve destination	P112
lfaceparts	LFaceParts	CLEAR	left-side facial parts, unspecified mechanism	NEEDS_CONTEXT		Low	'parts' does not specify which Face subgroup/mechanism is affected	'Face' + left side is grounded; the specific localized mechanism is not	P112
r collarb spo	R CollarB Spo	CLEAR	a garment collar, right, variant B, 'spo' qualifier	CLEAR	groupFile/Clothing	High		matches the settled descriptive multi-word garment-collar template (Clothing), matching direct siblings r collarc spo / r collara spo	P112
bip_stone_r_uparmtwist1	Bip_STONE_R_UpArmTwist1	CLEAR	right upper-arm twist bone, 'STONE' model prefix set aside	CLEAR	groupFile/Arms/RightArm	High		plain structural arm anatomy regardless of model prefix (rule 24)	P112
unusedbone173	unusedbone173	CLEAR	a self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared 'unused' marker (rule 15)	P112
cons_potion_healing_a_supreme_mesh	CONS_Potion_Healing_A_Supreme_Mesh	CLEAR	a healing-potion consumable item prop	CLEAR	groupFile/Other	High		recognized generic prop/item (rule 16)	P112
lower_04	Lower_04	OPAQUE	a bare 'lower' positional label with no stated body part or object	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27)	matches the established bare 'lower_NN' cryptic-fragment precedent	P112
bip_pigtail_r_3	bip_pigtail_R_3	CLEAR	pigtail hairstyle, right, numbered	CLEAR	groupFile/Hair	High		named hairstyle feature	P112
l05	L05	OPAQUE	a bare side+number label with no owning object	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27)		P112
bone146	Bone146	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low	no anatomical or functional word		P112
腕捩1.l	腕捩1.L	CLEAR	arm twist, numbered, left (Japanese '腕'=arm, '捩'=twist)	CLEAR	groupFile/Arms/LeftArm	Medium	Japanese term translated, not independently corpus-cross-checked	grounded via the established 'ude'=arm Japanese-loanword precedent pattern (rule 23) applied to the parallel '腕' (arm) root	P112
bone pinky 2	bone pinky 2	CLEAR	a pinky finger bone, numbered, side unstated	CLEAR	groupFile/Fingers	Medium	side not specified	'pinky' grounds finger anatomy; no side marker present, routed to the side-neutral Fingers group (rule 11)	P112
r ujacketb c phy	R uJacketB c Phy	CLEAR	a jacket garment control, right, variant B, physics variant c	CLEAR	groupFile/Clothing	Medium		garment simulation control	P112
b7	B7	OPAQUE	cryptic 2-character code, no content	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27)		P112
boobsie23	boobsie23	CLEAR	breast (slang 'boobsie'), numbered	CLEAR	groupFile/Body Morphs	Medium		'boobsie' is a recognizable breast-slang term (not a cryptic abbreviation); matches this Master's breast-domain convention (e.g. 'Right Breast Root'/'RightBreast_Root', already Body Morphs)	P112
pad1_4	pad1_4	CLEAR	a pad accessory, numbered	NEEDS_CONTEXT		Low	which body region/garment the pad protects or mounts to is unstated	recognizable accessory object with unnamed owner, same kind of thing regardless of mount (rule 22)	P112
wep_fx_muzzle9	WEP_FX_Muzzle9	CLEAR	a weapon muzzle-flash effect, numbered	CLEAR	groupFile/Other	High		'wep_' weapon-effect convention	P112
ulid_r_2	ULid_R_2	CLEAR	upper eyelid, right, numbered	CLEAR	groupFile/Face/Eyes	Medium		eyelid mechanism	P112
bone 1023	bone 1023	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low	no anatomical or functional word		P112
