fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
bip_claw_e	bip_claw_e	CLEAR	a claw appendage, variant E	CLEAR	groupFile/Other	Medium		Species-neutral creature-claw appendage, treated like horn/tentacle/fin with no dedicated destination (Rule 18 spirit).	P74	
key.v	Key.V	CLEAR	a piano/keyboard key prop	CLEAR	groupFile/Other	High		Matches Rule 23's Key.<label> grounded sibling-series template.	P74	
unused pelvis attached_penis root hips	unused pelvis attached_penis root hips	CLEAR	a self-declared unused control referencing pelvis/genital anatomy	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration overrides the anatomical content (Rule 15).	P74	
sk_tail01	SK_tail01	CLEAR	tail anatomy, 'SK' skeleton prefix, numbered	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P74	
bikini_b_jiggle	Bikini_b_jiggle	CLEAR	a bikini garment, variant B, jiggle-physics	CLEAR	groupFile/Clothing	High		Explicit swimwear garment.	P74	
polysurface62	polySurface62	OPAQUE	a DCC default primitive mesh name	NOT_APPLICABLE		High		Matches settled DCC-default-name boundary.	P74	
bone018	Bone018	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P74	
right_puckerliplo	Right_PuckerLipLo	CLEAR	a lower-lip pucker action, right	CLEAR	groupFile/Face/Lower Face	High		Explicit lip anatomy.	P74	
r_chest_helper	r_chest_helper	CLEAR	a right chest helper bone	CLEAR	groupFile/Body	High		Explicit chest anatomy; 'helper' is a common auxiliary-bone rig term.	P74	
9	9	OPAQUE	a bare number	NOT_APPLICABLE		High		No semantic content.	P74	
bip_head_top	bip_head_top	CLEAR	head anatomy, top, standard biped rig	CLEAR	groupFile/Body	Medium		Plain structural head anatomy with no specific facial feature named, matching established generic-structural-anatomy->Body precedent.	P74	
wep_shell4	WEP_Shell4	CLEAR	a weapon ammunition shell casing, numbered	CLEAR	groupFile/Other	High		Recognized weapon/ammunition part.	P74	
_57_mesh4	_57_mesh4	OPAQUE	a cryptic numbered mesh placeholder reference	NOT_APPLICABLE		Medium		No recoverable independent content beyond a generic mesh index.	P74	
shoulder right	shoulder right	CLEAR	right shoulder anatomy	CLEAR	groupFile/Arms	High		Explicit shoulder anatomy.	P74	
cloth left 2 jb	cloth left 2 JB	CLEAR	a generic cloth/garment piece, left, numbered, jiggle-bone	CLEAR	groupFile/Clothing	Medium		'Cloth' names a fabric garment piece.	P74	
ballslsqueshfront	ballsLsqueshfront	CLEAR	testicle anatomy, squash/squish deformation state, left, front	CLEAR	groupFile/Body Morphs	Medium		Explicit squash/squish state word on genital anatomy, matching the established state-word->Body Morphs precedent.	P74	
