fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
b12	B12	OPAQUE	bare alphanumeric code, no object/function word	NOT_APPLICABLE		Low		no interpretable content	P21
bip_faringleg_r	bip_faringLeg_r	PARTIAL	right leg control with an undecoded "faring" qualifier	CLEAR	groupFile/Legs	Medium	"faring" does not resolve to a grounded word or convention, but "Leg" establishes the anatomical owner regardless	leg is the clear anatomical owner; "faring" is an unresolved qualifier, not a competing region	P21
bip_belt_l_0	bip_belt_L_0	CLEAR	belt (clothing), left, variant 0	CLEAR	groupFile/Clothing	High		plain garment item	P21
bip_r_arm_01_roll	bip_r_arm_01_roll	CLEAR	right arm roll/twist bone, numbered	CLEAR	groupFile/Arms	High		twist/roll is not corrective evidence (rule 3); plain arm anatomy	P21
bip_tailc07	bip_tailC07	CLEAR	tail, numbered segment C07	CLEAR	groupFile/Tail	High		plain tail anatomy	P21
r ucorin	R Ucorin	OPAQUE	cryptic fragment ("Ucorin"), right side, no recoverable content	NOT_APPLICABLE		Low	no grounding for any expansion of "Ucorin"	ungrounded term	P21
arm left elbow ctr 1	arm left elbow ctr 1	CLEAR	left arm elbow control, "ctr" qualifier, variant 1	CLEAR	groupFile/Arms	Medium	"ctr" (center/counter?) mechanism unstated	elbow is the clear anatomical owner; exact mechanism of "ctr" unstated does not block taxonomy	P21
pencil01	pencil01	CLEAR	a pencil (recognized real-world object), numbered	CLEAR	groupFile/Other	High		names a recognized real-world prop object, matching the Box06/Door2/Torch3 -> Other precedent	P21
jacket right c	jacket right c	CLEAR	jacket (clothing), right, variant c	CLEAR	groupFile/Clothing	High		plain garment item	P21
sk_right_ear01	SK_Right_Ear01	CLEAR	right ear, numbered variant	CLEAR	groupFile/Face/Ears	High		"SK_" is a generic rig prefix (rule 9); plain ear anatomy	P21
flex_noise_04	Flex_Noise_04	OPAQUE	generic "flex" category term with a procedural-noise qualifier, no specific object	NOT_APPLICABLE		Low		generic technical category term, no specific object (matches flex_noise_03 precedent)	P21
cloth_collar_1_r	cloth_collar_1_R	CLEAR	cloth garment collar, right, variant 1	CLEAR	groupFile/Clothing	High		explicit "cloth_" prefix names a garment collar, distinct from bare biped "collar" (rule 26 does not apply -- this is garment-owned)	P21
right_26	right_26	OPAQUE	bare side marker with a number, no object named	NOT_APPLICABLE		Low		side marker alone carries no semantic content	P21
bobby_bone_necklace_13	BOBBY_Bone_NeckLace_13	CLEAR	necklace (jewelry/clothing), numbered	CLEAR	groupFile/Clothing	High		"Bobby_Bone" is a character/rig prefix (rule 24); "necklace" is the grounded content	P21
bodybuilder upper details	Bodybuilder Upper Details	CLEAR	upper-body muscle-definition/appearance detail	CLEAR	groupFile/Body Morphs	High		explicit muscle-definition/appearance descriptor on the character's own body	P21
ltoethumb03	lToeThumb03	CLEAR	left big toe ("toe thumb"), numbered	CLEAR	groupFile/Toes/LeftToes	High		individual toe digit routes to the verified LeftToes subpath (rule 18)	P21
bip001-l-foot	Bip001-L-Foot	CLEAR	left foot, plain structural	CLEAR	groupFile/Legs	High		plain foot anatomy, no dedicated foot subgroup exists	P21
unusedopt-hand-*-metacarpal04.1.r	unusedopt-hand-*-metacarpal04.1.r	CLEAR	self-declared unused hand/metacarpal control, right	CLEAR	groupFile/Useless	High		self-declared "unused" takes priority over the anatomical referent (rule 15)	P21
cloth back left 1	cloth back left 1	CLEAR	cloth garment element, back, left, variant 1	CLEAR	groupFile/Clothing	High		plain garment item	P21
wink 2 left	wink 2 left	CLEAR	eye wink expression, left, variant 2	CLEAR	groupFile/Face/Eyes	High		plain eye expression control	P21
opt_hand_right_index1	OPT_Hand_Right_Index1	CLEAR	right hand index finger, variant 1	CLEAR	groupFile/Arms/RightArm/RightFingers	High		"OPT_" is a generic prefix (rule 9); plain finger anatomy	P21
bip facelipridge1in l	bip facelipridge1in l	CLEAR	facial lip ridge, inner, numbered, left	CLEAR	groupFile/Face/Lower Face	Medium		plain lower-face anatomy	P21
bonelow02	BoneLow02	OPAQUE	generic numbered bone with a positional adjective, no functional/regional word	NOT_APPLICABLE		Low		matches bonelow03 precedent; no anatomical content	P21
rarmtwist2	rArmTwist2	CLEAR	right arm twist bone, numbered	CLEAR	groupFile/Arms	High		twist is not corrective evidence (rule 3); plain arm anatomy	P21
