fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
leg left boot tassle 5b	leg left boot tassle 5b	CLEAR	boot tassel decoration, left, numbered	CLEAR	groupFile/Clothing	High		garment decoration	P137
bone109	Bone109	OPAQUE	generic numbered bone	NOT_APPLICABLE		High		no independent content	P137
wep_cylinder_ejector	WEP_Cylinder_Ejector	CLEAR	weapon cylinder-ejector mechanism	CLEAR	groupFile/Other	High		recognized weapon mechanism	P137
hose_16	Hose_16	PARTIAL	"hose" = hosiery garment vs mechanical hose, numbered	NEEDS_CONTEXT		Low	materially different core readings	unresolved hose polysemy	P137
cloth left 2	cloth left 2	CLEAR	cloth-sim control, left, numbered	CLEAR	groupFile/Clothing	High		garment cloth-sim control	P137
blink2l	Blink2L	CLEAR	blink, left, numbered	CLEAR	groupFile/Face/Eyes	High		localized eye mechanism	P137
bip_stoolclothfront_1_r	bip_StoolClothFront_1_R	CLEAR	stool furniture cloth-sim, front, numbered, right	CLEAR	groupFile/Other	Medium		furniture prop with cloth simulation, not a worn garment	P137
def-spine.006_l.010	DEF-spine.006_L.010	CLEAR	spine deform bone, numbered, left	CLEAR	groupFile/Body	High		plain structural spine anatomy; "DEF" prefix is a deform-bone naming convention, not corrective evidence (rules 2-4)	P137
arm left lower 2	arm left lower 2	CLEAR	lower arm, left, numbered	CLEAR	groupFile/Arms	High		plain structural arm anatomy	P137
arm right shoulder adj.	arm right shoulder adj.	CLEAR	right shoulder adjustment	CLEAR	groupFile/Arms	Medium		ordinary structural arm adjustment	P137
tailright4_5	TailRight4_5	CLEAR	tail, right, numbered	CLEAR	groupFile/Tail	High		tail anatomy	P137
music_gen_drum_small_b_ref_mesh	MUSIC_GEN_Drum_Small_B_REF_Mesh	CLEAR	drum prop mesh	CLEAR	groupFile/Other	High		recognized prop object	P137
pelvisclipfix	PelvisClipfix	CLEAR	pelvis clipping-fix corrective	CLEAR	groupFile/Correctives	High		explicit repair/clipping-correction purpose	P137
drawer_bottom_r	Drawer_Bottom_R	CLEAR	drawer prop, right	CLEAR	groupFile/Other	Medium		recognized furniture prop	P137
object09	Object09	OPAQUE	generic placeholder object name	NOT_APPLICABLE		High		no independent content	P137
belt front left b	belt front left b	CLEAR	belt, positional, left, variant	CLEAR	groupFile/Clothing	High		garment accessory	P137
key.b	Key.B	CLEAR	key prop, variant	CLEAR	groupFile/Other	High		recognized prop object	P137
l_tricep_helper	l_tricep_helper	CLEAR	tricep helper, left	CLEAR	groupFile/Arms	High		structural arm anatomy	P137
bip_bobby_l_finger_globe_1_01	Bip_BOBBY_L_Finger_Globe_1_01	PARTIAL	"globe" -- actual undecoded token in a Finger_Globe qualifier, left, numbered	NEEDS_CONTEXT		Low	genuinely undecoded token, matches rule 22's own worked "Finger_Globe" example	unresolved Finger_Globe qualifier	P137
sneer_in	Sneer_IN	CLEAR	sneer expression, inward variant	CLEAR	groupFile/Face/Lower Face	High		established bare "Sneer"/"Smirk"-family localized precedent	P137
lfoot1	lFoot1	CLEAR	left foot, numbered	CLEAR	groupFile/Legs	High		plain structural foot anatomy	P137
fringe 13	fringe 13	CLEAR	fringe hair, numbered	CLEAR	groupFile/Hair	High		established fringe hair template	P137
foldsr	foldsR	PARTIAL	"folds" -- skin fold vs cloth fold, right	NEEDS_CONTEXT		Low	materially different core readings	unresolved folds polysemy	P137
l string6 sec root	l string6 sec root	CLEAR	a string accessory, numbered, physics root, left	NEEDS_CONTEXT		Medium		recognizable object, owner unresolved (rule 22)	P137
