fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
object02	Object02	OPAQUE	generic placeholder object name, no referent	NOT_APPLICABLE		Low		matches the settled Object### precedent	P50
bip01 thigh.l	Bip01 Thigh.L	CLEAR	standard biped thigh anatomy, left	CLEAR	groupFile/Legs	High		plain structural leg anatomy	P50
leg right ankle adjust	leg right ankle adjust	CLEAR	right ankle adjust (rig control)	CLEAR	groupFile/Legs	High		ordinary ankle rig control	P50
bottom_lift2	bottom_lift2	CLEAR	"a bottom-region ""lift"" action control, numbered"	NEEDS_CONTEXT		Medium	owning object/body part for the lift action is not stated	"""lift"" is a stable function word (rule 22) even without a named object"	P50
bip01_l_thigh009	Bip01_L_Thigh009	CLEAR	standard biped thigh anatomy, left, numbered	CLEAR	groupFile/Legs	High		plain structural leg anatomy	P50
raiseeyes	RaiseEyes	CLEAR	a raise-eyes action control	CLEAR	groupFile/Face/Eyes	High		plain eye-region anatomy and action	P50
pjcmabdomenlowerfwdnavel	pJCMAbdomenLowerFwdNavel	CLEAR	"a pose-driven joint corrective morph (""JCM"") for the lower abdomen, forward, near the navel"	CLEAR	groupFile/Correctives	High		explicit JCM (joint corrective morph) language states repair/correction purpose (rule 5)	P50
flm-arma-swordb-cr2	Flm-ArmA-SwordB-CR2	CLEAR	a sword (weapon), variant B, CR2 (internal Flm-ArmA namespace set aside)	CLEAR	groupFile/Other	High		"""Sword"" is meaningful, independently-grounded content despite the internal rig namespace (rule 24)"	P50
collar right 1	collar right 1	CLEAR	a clothing collar segment, right, numbered	CLEAR	groupFile/Clothing	Medium		"matches the numbered bare ""collar""-segment garment-collar precedent, distinct from the bare-underscore bip_collar_L/R clavicle template (rule 26)"	P50
djsocksfit	DJSocksFIT	CLEAR	socks (garment) fit adjustment, DJ costume theme	CLEAR	groupFile/Clothing	High		explicit named worn garment	P50
slutthinthinner02	SlutThinThinner02	CLEAR	"a body-shape thinness control (""thin""/""thinner""), numbered"	CLEAR	groupFile/Body Morphs	Medium		"explicit shape/size descriptor on the body (rule 7); unlike the settled slutthinthinnerplunge.001 case, no garment-neckline term (""plunge"") is present to create ambiguity"	P50
foreskinbumptop	foreskinbumptop	CLEAR	"foreskin anatomy, ""bump"" shape control, top"	CLEAR	groupFile/Body Morphs	High		explicit shape/deformation action on genital soft tissue (rule 7)	P50
crow_1.clavical_r	Crow_1.Clavical_R	CLEAR	"clavicle (obvious misspelling of ""clavical"") anatomy on a crow creature model, right"	NEEDS_CONTEXT		Medium	"a shoulder-girdle/forelimb bone on a bird is not automatically Wings by elimination, and the literal does not itself say ""wing"""	matches rule 18's explicit caution against inferring Wings from bird species alone, and the settled crow_3.ulna_r precedent	P50
