fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
toplid_r2	toplid_R2	CLEAR	upper eyelid anatomy, right, numbered	CLEAR	groupFile/Face/Eyes	High		eyelid anatomy is an eye-specific feature	P95	
arm left finger 2 d	arm left finger 2 d	CLEAR	left hand finger 2, variant D	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit finger digit anatomy	P95	
fur_gen_bed_rich_gothic_orin_a_frame_mesh	FUR_GEN_Bed_Rich_Gothic_Orin_A_Frame_Mesh	CLEAR	a gothic-style bed-frame furniture prop mesh	CLEAR	groupFile/Other	High		recognized real-world furniture/prop object, matches dummy_fur_gen_bed sibling precedent	P95	
45	45	OPAQUE	a bare numeric literal with no other content	NOT_APPLICABLE		Low	pure numeric label, no anatomical/functional word	matches settled pure-numeric-literal precedent	P95	
oris05	oris05	OPAQUE	cryptic fragment, numbered	NOT_APPLICABLE		Low	no corpus-grounded convention establishes 'oris' as a semantic anatomical reference here	matches direct sibling oris01 (this ledger)	P95	
cloth_collar_2_m	cloth_collar_2_M	CLEAR	a cloth-simulation collar garment component, numbered, model variant	CLEAR	groupFile/Clothing	High		'cloth'+'collar' names an explicit worn garment component	P95	
nosie02	Nosie02	CLEAR	nose anatomy (misspelling accepted), numbered	CLEAR	groupFile/Face/Mid Face	Medium		'Nosie' plausibly reads as a misspelling of 'Nose' (rule 12), a mid-face feature	P95	
lipupperdrop	LipUpperDrop	CLEAR	an upper-lip drop function	CLEAR	groupFile/Face/Lower Face	High		lip anatomy is Lower Face	P95	
wep_fx_top_peq2_laser	WEP_FX_Top_PEQ2_Laser	CLEAR	a weapon laser-sight effect (PEQ2), top mount	CLEAR	groupFile/Other	High		recognized weapon-part prop	P95	
box_face_16_m	Box_Face_16_M	PARTIAL	a 'Box Face' (geometric-face-of-a-box vs. character-face) reading, numbered, variant M	NEEDS_CONTEXT		Medium	no positive evidence resolves this 20-member template in either direction	matches the extensive current-ledger Box_Face_##_M sibling family (Tranche 7 family reconciliation), all PARTIAL/NEEDS_CONTEXT	P95	
bip_l_cloth_d_01	bip_l_cloth_d_01	CLEAR	a cloth simulation bone, left, variant D, numbered	CLEAR	groupFile/Clothing	High		matches live-Master/ledger cloth-bone-simulation precedent	P95	
helper_headr	Helper_HeadR	CLEAR	head anatomy, helper qualifier, right	CLEAR	groupFile/Body	High		bare structural head anatomy defaults to Body (rule 13); helper does not imply Correctives (rule 3)	P95	
tailmiddle_3	TailMiddle_3	CLEAR	tail anatomy, middle chain, numbered	CLEAR	groupFile/Tail	High		explicit tail anatomy	P95	
arm right finger knuckle index	arm right finger knuckle index	CLEAR	right index-finger knuckle anatomy	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit finger digit anatomy	P95	
eyewinkler	EyeWinkleR	CLEAR	an eye-wink function control	CLEAR	groupFile/Face/Eyes	High		wink is an eye-specific function	P95	
c ulipin	C Ulipin	CLEAR	a lip (mouth/lower-face) control, undecoded 'U' prefix, variant C	CLEAR	groupFile/Face/Lower Face	High		matches current-ledger 'r ulipin a/b'/'l ulipin a/b' sibling family, all CLEAR/CLEAR/Face/Lower Face	P95	
unusedbone219	unusedbone219	CLEAR	self-declared unused marker, numbered bone	CLEAR	groupFile/Useless	High		matches the extensive current-ledger unusedbone### sibling series, all CLEAR/CLEAR/Useless (rule 15)	P95	
pussy left 1	pussy left 1	CLEAR	a vaginal shape control, left, numbered	CLEAR	groupFile/Body Morphs	High		matches extensive live-Master Pussy family (344 hits), all groupFile/Body Morphs	P95	
righteyewide	RightEyeWide	CLEAR	a right-eye-wide expression	CLEAR	groupFile/Face/Eyes	High		eye-specific shape/expression control	P95	
valvebiped.hip_r_ulna	ValveBiped.Hip_R_Ulna	CLEAR	right forearm (ulna) anatomy, Hip model-name prefix	CLEAR	groupFile/Arms	High		matches direct current-ledger sibling ValveBiped.Hip_L_Ulna, CLEAR/CLEAR/Arms; 'Hip' is a model-name prefix here, not anatomical (an ulna cannot be hip-owned)	P95	
microright	MicroRight	OPAQUE	a 'micro' size qualifier plus a bare side marker, no owning object	NOT_APPLICABLE		Low	no anatomical/object content beyond a size-adjective and side marker	no Master/ledger precedent recovers an owner for this fragment	P95	
canine_lfrontlegpalm	Canine_LFrontLegPalm	CLEAR	canine front-leg paw/palm anatomy, left	CLEAR	groupFile/Legs	Medium		species-neutral front-leg/paw anatomy (rule 18-style), left front leg	P95	
cklegsplitsr72	CKLegSplitsR72	CLEAR	a leg-splits joint-corrective control, right, numbered, CK namespace	CLEAR	groupFile/Correctives	High		matches direct current-ledger sibling cklegsplitsl72 and live-Master 'Model Legs Splits Corrective L/R' precedent	P95	
tag_1	Tag_1	CLEAR	a tag prop object, numbered	CLEAR	groupFile/Other	Low		recognized generic real-world object, no anatomical/clothing context	P95	
left_15	left_15	OPAQUE	a bare side marker plus a bare number	NOT_APPLICABLE		Low	no anatomical/object content beyond a side+number label	matches settled bare-positional-label-no-object precedent	P95	
heelstrap	heelstrap	CLEAR	a heel/shoe strap accessory	CLEAR	groupFile/Clothing	High		explicit worn footwear-accessory content	P95	
tenta_b_9_r	tenta_b_9_R	CLEAR	a tentacle segment, variant B, numbered, right	CLEAR	groupFile/Other	High		settled Rule 18 tentacle precedent	P95	
def-thigh.r.005	DEF-thigh.R.005	CLEAR	right thigh anatomy, DEF naming convention, numbered	CLEAR	groupFile/Legs	High		explicit thigh anatomy grounds this regardless of the 'DEF' rig-naming prefix	P95	
rdown	RDown	CLEAR	a right-side, downward-direction function	NEEDS_CONTEXT		Low	directional function has one stable reading even without a named object (matches valvebiped.updown precedent)	owning object not stated	P95	
fullsuprise	FullSuprise	CLEAR	a full-surprise whole-face expression (misspelling accepted)	CLEAR	groupFile/Face/Expressions	High		matches the extensively settled bare 'Surprise' family precedent (expsurprise/surprisel), misspelling accepted per rule 12	P95	
belthat_bone_r_04	beltHat_bone_r_04	CLEAR	a belt garment accessory bone, right, numbered	CLEAR	groupFile/Clothing	Medium		'belt' is the clearer explicit garment noun; 'Hat' compound unclear but does not erase the belt reading	P95	
eve_empty	Eve_Empty	OPAQUE	a generic 'empty' placeholder marker, Eve character namespace	NOT_APPLICABLE		Low	'empty' is a generic technical placeholder term, matching the settled dummy/empty-placeholder precedent	matches dummy_root/dummy-flex-style organizational-placeholder OPAQUE precedent	P95	
ulip_2	ULip_2	CLEAR	upper lip anatomy, numbered	CLEAR	groupFile/Face/Lower Face	High		matches ulipin family precedent, lip anatomy is Lower Face	P95	
upper_03	Upper_03	CLEAR	a bare 'upper' position label, numbered	NEEDS_CONTEXT		Low	'upper' alone names a position, not a specific feature/object	no owning anatomy/object is named	P95	
left_hand_twist2_end	left_hand_twist2_end	CLEAR	left hand/forearm twist anatomy, end segment, numbered	CLEAR	groupFile/Arms	High		ordinary twist-bone anatomy, not corrective (rule 3)	P95	
valvebiped.right_hand	ValveBiped.right_hand	CLEAR	a right hand-region control	CLEAR	groupFile/Arms	High		hand-region control with no specific finger named defaults to plain Arms (rule 10)	P95	
bas.right_1_jiggle	BAS.Right_1_jiggle	CLEAR	a jiggle-physics function on an unresolved 'BAS' object, right, numbered	NEEDS_CONTEXT		Medium		matches direct current-ledger sibling bas.right_2_jiggle/bas.right_3_jiggle, both CLEAR/NEEDS_CONTEXT	P95	
flex_noise2	Flex_Noise2	OPAQUE	a generic flex-system noise/jitter technical parameter, numbered	NOT_APPLICABLE		Low	no anatomical/object content, generic technical modifier	matches the settled 'flex_noise1' cryptic-fragment precedent (Tranche 9 audit)	P95	
llotwist0	lLoTwist0	CLEAR	left lower-limb twist anatomy, numbered	CLEAR	groupFile/Legs	Medium		'lLoTwist' reads as 'Left Lower Twist', ordinary twist-bone leg anatomy (rule 3)	P95	
tophair4	TopHair4	CLEAR	top-of-head hair, numbered	CLEAR	groupFile/Hair	High		explicit hair content	P95	
pad3_5	pad3_5	CLEAR	a padding/pad accessory, numbered	CLEAR	groupFile/Clothing	Medium		matches direct sibling pad2_5 (this ledger), recognized worn padding accessory	P95	
bone08	Bone08	OPAQUE	generic numbered skinning bone	NOT_APPLICABLE		Medium	no anatomical/functional content	matches settled Bone### precedent	P95	
