fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
bip_bellcollar_0_l	bip_BellCollar_0_L	CLEAR	a bell-collar garment accessory, left, numbered	CLEAR	groupFile/Clothing	High		Explicit worn garment accessory.	P80	
bip kneein r	bip kneein r	CLEAR	a knee-inward control, right	CLEAR	groupFile/Legs	High		Explicit knee anatomy.	P80	
flm-armb-belt-ld	Flm-ArmB-Belt-LD	CLEAR	a belt garment, Flm-ArmB namespace, 'LD' qualifier	CLEAR	groupFile/Clothing	Medium		Flm-ArmB namespace set aside; 'belt' is an explicit worn garment.	P80	
bottle2_cap	bottle2_cap	CLEAR	a bottle cap prop, numbered	CLEAR	groupFile/Other	High		Recognized prop object (Rule 16).	P80	
polysurface210	polySurface210	OPAQUE	a DCC default primitive mesh name	NOT_APPLICABLE		High		Matches settled DCC-default-name boundary.	P80	
polysurface100	polySurface100	OPAQUE	a DCC default primitive mesh name	NOT_APPLICABLE		High		Matches settled DCC-default-name boundary.	P80	
tailright3_5	TailRight3_5	CLEAR	tail anatomy, right, numbered	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P80	
biceps right	Biceps Right	CLEAR	right bicep anatomy	CLEAR	groupFile/Arms	High		Explicit arm-muscle anatomy.	P80	
cape_4_l	cape_4_L	CLEAR	a cape garment, numbered, left	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P80	
big_belly	big_belly	CLEAR	a belly size descriptor ('big')	CLEAR	groupFile/Body Morphs	High		Explicit size descriptor (Rule 12).	P80	
larmtwist2	lArmTwist2	CLEAR	left arm twist, numbered segment	CLEAR	groupFile/Arms	High		Standard rig twist-bone anatomy (Rule 3).	P80	
saberon_bone43	saberon_Bone43	OPAQUE	a generic numbered bone under an ungrounded 'Saberon' prefix	NOT_APPLICABLE		Medium		Matches sibling saberon_bone13 OPAQUE precedent (this ledger).	P80	
v_weapon.mp5_bolt	v_weapon.MP5_Bolt	CLEAR	an MP5 weapon's bolt component	CLEAR	groupFile/Other	High		Recognized weapon part.	P80	
l_lowerer	L_lowerer	CLEAR	a 'lowerer' facial-muscle function, left	NEEDS_CONTEXT		Low	which feature (brow/lip/eyelid) is being lowered is unnamed	Matches sibling r_lowerer precedent (this ledger).	P80	
flm-arma-leg-r0	Flm-ArmA-Leg-R0	CLEAR	leg anatomy, Flm-ArmA namespace, right, numbered	CLEAR	groupFile/Legs	Medium		Flm-ArmA namespace set aside; 'leg' is plain structural anatomy.	P80	
bottomhair1	BottomHair1	PARTIAL	'bottom hair' (pubic hair, or bottom/nape-of-head hair), numbered	NEEDS_CONTEXT		Low	materially different core readings (pubic hair vs. nape hair) compete	No content resolves which body region 'bottom' refers to.	P80	
mar-rig-eye-lu	Mar-Rig-Eye-LU	CLEAR	eye anatomy, Mar-Rig namespace, 'LU' qualifier	CLEAR	groupFile/Face/Eyes	High		Mar-Rig namespace set aside (Rule 6); 'eye' is explicit anatomy.	P80	
bone 1056	bone 1056	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P80	
| butt size | + (pants) 	| Butt Size | + (PANTS) 	CLEAR	buttock size, with a pants-category UI annotation	CLEAR	groupFile/Body Morphs	Low		Matches sibling '| butt size | + (shirt)' precedent (this ledger): the garment fragment reads as a UI-category tag.	P80	
bone005	Bone005	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P80	
lid_m	Lid_M	CLEAR	eyelid anatomy, variant M	CLEAR	groupFile/Face/Eyes	Medium		Explicit eyelid anatomy.	P80	
arm left shoulder 1 ctr	arm left shoulder 1 ctr	CLEAR	a left shoulder control/center point, numbered	CLEAR	groupFile/Arms	High		Explicit shoulder anatomy.	P80	
arm right elbow adjuster	Arm Right Elbow Adjuster+arm right elbow adjuster	CLEAR	a right elbow adjuster control	CLEAR	groupFile/Arms	High		Explicit elbow anatomy.	P80	
leg_bone_correct_r_01	leg_bone_correct_r_01	CLEAR	a leg-bone corrective control, right, numbered	CLEAR	groupFile/Correctives	High		Explicit 'correct' correction language (Rule 5).	P80	
corner_left_raise	corner_left_raise	PARTIAL	a 'corner' raise (mouth corner vs. eye corner), left	NEEDS_CONTEXT		Low	which facial feature (mouth/eye) is unresolved	No feature is named to disambiguate which 'corner' is meant.	P80	
lefthandweaponattach	LeftHandWeaponAttach	CLEAR	a left-hand weapon-attachment point	CLEAR	groupFile/Arms	Medium		'Hand' is the explicit anatomical anchor for this attachment point.	P80	
special05_l	special05_L	OPAQUE	a generic 'special' label with no identifiable content, numbered, left	NOT_APPLICABLE		Medium		Matches sibling special06_l OPAQUE precedent (this ledger).	P80	
left_lidsclose	Left_lidsclose	CLEAR	an eyelids-close action, left	CLEAR	groupFile/Face/Eyes	High		Explicit eyelid action.	P80	
r forearmrollb spo	R ForearmrollB Spo	CLEAR	right forearm roll, variant B	CLEAR	groupFile/Arms	Medium		Standard rig roll-bone anatomy (Rule 3).	P80	
shirt thick thigs	Shirt Thick Thigs	CLEAR	thigh size (thick), described in shirt context (typo'd 'thighs')	CLEAR	groupFile/Body Morphs	Medium		Matches the calibrated garment-context body-shape-descriptor precedent (this ledger).	P80	
