fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
valvebiped.l_collar	Valvebiped.L_collar	CLEAR	"left clavicle/shoulder-girdle rig bone (biped ""collar"" bone)"	CLEAR	groupFile/Arms	High		"matches the corrected bip_collar_L/R clavicle precedent -- bare biped ""collar"" is the clavicle bone"	P48
helper_lbc	Helper_LBC	OPAQUE	"cryptic abbreviation (""LBC""), no grounding for any expansion"	NOT_APPLICABLE		Low		"""helper"" is neutral (rule 4); ""LBC"" has no established meaning"	P48
_04	_04	OPAQUE	bare numbered index, no content	NOT_APPLICABLE		Low		no readable content	P48
longear_bone_l_04	longear_bone_l_04	CLEAR	long-ear (creature) anatomy, left, numbered	CLEAR	groupFile/Face/Ears	High		species-neutral ear anatomy (rule 18)	P48
toplid_l4	toplid_L4	CLEAR	upper eyelid anatomy, left, numbered	CLEAR	groupFile/Face/Eyes	High		plain eyelid anatomy	P48
bip_claw_d	bip_claw_d	CLEAR	a claw, variant D	NEEDS_CONTEXT		Low	"whether this is an anatomical digit/claw or a prop/weapon-style claw is not established, and the single live-Master ""claw"" precedent routes to Other rather than a digit destination"	recognizable object/anatomical-appendage term, but ownership/kind is genuinely unresolved	P48
h13	H13	OPAQUE	bare alphanumeric code, no object or function named	NOT_APPLICABLE		Low		no readable content	P48
bas.right_2_jiggle	BAS.Right_2_jiggle	CLEAR	a jiggle-physics control, right, numbered (BAS. namespace set aside)	NEEDS_CONTEXT		Medium	owning body part/object for the jiggle physics is not stated	"""jiggle"" is a stable function word (rule 22's own documented example) even without a named object"	P48
iliac line	Iliac Line	CLEAR	the iliac (pelvic-bone) crest line	CLEAR	groupFile/Body	High		explicit specialist anatomical term (pelvic bone landmark)	P48
pinkyleft1	PinkyLeft1	CLEAR	left pinky-finger anatomy, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy	P48
pb_r_cmy01_fhair_06	pb_R_CMY01_FHair_06	CLEAR	"facial-hair (""fhair"") control, right, numbered (technical prefix set aside)"	CLEAR	groupFile/Hair	Medium		"""fhair"" is meaningful, independently-grounded content despite the cryptic prefix (rule 24)"	P48
opt_acs_osage_l16	OPT_acs_osage_l16	OPAQUE	"cryptic ""OPT_acs_osage"" code, left, index 16; ""acs""/""osage"" semantic meaning unresolved"	NOT_APPLICABLE		Low		matches the settled OPT_acs_osage/OPT_acs_year precedent	P48
charge	Charge+charge	PARTIAL	"a ""charge"" control"	NEEDS_CONTEXT		Low	"""charge"" has materially different plausible readings (weapon charge-up, battery/electrical charge, a physical charging/rush action)"	bare multi-sense word, no grounding to pick a reading	P48
valvebiped.pcylinder27	ValveBiped.pCylinder27	OPAQUE	a generic default-named primitive mesh (Maya pCylinder), numbered	NOT_APPLICABLE		Low		technical DCC-default geometry placeholder	P48
bobcut.side_right_1_1_jiggle	Bobcut.Side_Right_1_1_jiggle	CLEAR	a bob-cut hairstyle element, side, right, numbered, jiggle physics	CLEAR	groupFile/Hair	High		recognized hairstyle term	P48
bip_front_cloth_a_02	bip_front_cloth_a_02	CLEAR	a cloth garment segment, front, variant A, numbered	CLEAR	groupFile/Clothing	High		plain garment segment	P48
sk_l_f_leg_3	SK_L_F_leg_3	CLEAR	leg anatomy, left, front, numbered (rig prefix set aside)	CLEAR	groupFile/Legs	High		plain structural leg anatomy	P48
outerlipsup	OuterLipsUp	CLEAR	outer-lips-up action	CLEAR	groupFile/Face/Lower Face	High		plain lip anatomy and action	P48
base_00002	Base_00002	OPAQUE	"a generic technical ""base"" placeholder, numbered"	NOT_APPLICABLE		Low		bare structural anchor word with no anatomical qualifier, matching the generic-root/base precedent	P48
flm-arma-neckrf	Flm-ArmA-NeckRF	CLEAR	neck anatomy, variant RF (internal Flm-ArmA namespace set aside)	CLEAR	groupFile/Body	High		"""Neck"" is a named internal segment (parallel to the established Foot/Leg/Sword siblings in this same namespace), independently-grounded content (rule 24)"	P48
pad3_3	pad3_3	PARTIAL	"a ""pad"" object, numbered"	NEEDS_CONTEXT		Medium	"""pad"" has materially different core senses (garment/protective padding vs. a generic cushioning object)"	bare multi-sense word, no grounding to pick a reading	P48
hip base left	Hip base left	CLEAR	left hip joint/articulation, base qualifier, explicitly sided	CLEAR	groupFile/Legs	High		matches the corrected hip base right precedent -- explicitly sided hip joint/articulation (rule 26)	P48
l gonion	L Gonion+l gonion	CLEAR	the gonion (jaw-angle craniofacial landmark), left	CLEAR	groupFile/Face/Lower Face	High		matches the settled r gonion precedent -- explicit specialist anatomical term	P48
rbeard0	rbeard0	CLEAR	a beard (facial hair), right, numbered	CLEAR	groupFile/Hair	High		recognized facial-hair anatomy	P48
eyes-look-up	eyes-look-up	CLEAR	eyes-look-up gaze direction	CLEAR	groupFile/Face/Eyes	High		plain eye-region gaze action	P48
taurenmale_hd_bone_67	taurenmale_hd_bone_67	OPAQUE	a generic numbered bone in the TaurenMale_HD model/variant series; anatomical region/function unknown	NOT_APPLICABLE		Low		matches settled taurenmale_hd_bone_* precedent	P48
leg left roll 1	leg left roll 1	CLEAR	left leg roll bone, numbered	CLEAR	groupFile/Legs	High		twist/roll is standard rig anatomy, not corrective (rule 3)	P48
spike_10_m	Spike_10_M	CLEAR	a spike (decorative/accessory object), numbered, variant M	NEEDS_CONTEXT		Medium	owner/mount for the spike accessory is not named	"bare accessory noun with no owner (rule 25's own documented ""spike"" example)"	P48
bone154	Bone154	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P48
dyng c 03	dyng c 03	CLEAR	"a dynamic/jiggle-physics (""dyng"") control, ""c"" system, numbered"	NEEDS_CONTEXT		Medium	owning object for the jiggle-physics system is not stated	"matches rule 23's own documented ""dyng"" grounded convention -- grounds the function, not the destination"	P48
rwing06	RWing06	CLEAR	right wing, segment 6	CLEAR	groupFile/Wings	High		plain wing anatomy	P48
facial_bone_lowrlip_r02_m	Facial_Bone_LowrLip_R02_m	CLEAR	"lower-lip anatomy (obvious misspelling of ""lower""), right, numbered, variant M"	CLEAR	groupFile/Face/Lower Face	High		obvious misspelling recognized; plain lip anatomy	P48
toy_bone_13	toy_bone_13	CLEAR	a bone-shaped toy (recognized real-world object), numbered	CLEAR	groupFile/Other	Medium		"""toy"" disambiguates ""bone"" as a toy object, not skeletal anatomy"	P48
flm-arma-foot-l1	Flm-ArmA-Foot-L1	CLEAR	foot anatomy, left, numbered (internal Flm-ArmA namespace set aside)	CLEAR	groupFile/Legs	High		"""Foot"" is a named internal segment, independently-grounded content despite the internal rig namespace (rule 24)"	P48
arm right twist	arm right twist	CLEAR	right arm twist bone	CLEAR	groupFile/Arms	High		twist is standard rig anatomy, not corrective (rule 3)	P48
rachel head nostril left 2	Rachel head nostril left 2	CLEAR	nostril anatomy, left, numbered (character-name and head-location prefix set aside)	CLEAR	groupFile/Face/Mid Face	High		explicit anatomical term (nose region)	P48
taurenmale_hd_bone_129	taurenmale_hd_bone_129	OPAQUE	a generic numbered bone in the TaurenMale_HD model/variant series; anatomical region/function unknown	NOT_APPLICABLE		Low		matches settled taurenmale_hd_bone_* precedent	P48
unused duplicate duplicate unused.014	unused duplicate duplicate unused.014	CLEAR	a self-declared unused/duplicate placeholder, numbered	CLEAR	groupFile/Useless	High		"self-declared ""unused""/""duplicate"" (rule 15)"	P48
r ring 02	r ring 02	PARTIAL	"a ""ring"" digit/accessory control, right, numbered"	NEEDS_CONTEXT		Medium	"""ring"" has materially different plausible readings here (ring finger vs. ring toe vs. jewelry ring), all independently attested in the live Master's own mixed ""ring"" precedent"	bare multi-sense word, no grounding to pick a reading	P48
midshortexpandalt01	MidShortExpandAlt01	PARTIAL	"an unresolved relation between ""mid,"" ""short,"" and ""expand,"" alternate variant, numbered"	NEEDS_CONTEXT		Low	the combined phrase does not parse into one stable object/function reading	unresolved relation between tokens that does not parse as an ordinary phrase (rule 22)	P48
