fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
shirt_l	shirt_L	CLEAR	a shirt (garment), left	CLEAR	groupFile/Clothing	High		plain worn garment	P47
side table 1	Side table 1	CLEAR	a side table (furniture prop), numbered	CLEAR	groupFile/Other	High		recognized furniture/prop object	P47
frontbottom	FrontBottom	OPAQUE	"a positional phrase (""front bottom""), no object named"	NOT_APPLICABLE		Low		matches the established bare-position-no-object pattern	P47
arm left bicep	arm left bicep	CLEAR	bicep anatomy, left	CLEAR	groupFile/Arms	High		plain structural arm anatomy	P47
music_gen_flute_a_ref_mesh	MUSIC_GEN_FLute_A_REF_Mesh	CLEAR	a flute (musical instrument prop), variant A, reference (generator-style prefix/suffix set aside)	CLEAR	groupFile/Other	High		recognized musical-instrument prop object	P47
leg right thigh ctr1	leg right thigh ctr1	CLEAR	right thigh control, numbered	CLEAR	groupFile/Legs	High		ordinary thigh rig control	P47
cape1_right1	CAPE1_RIGHT1	CLEAR	a cape (worn garment), variant 1, right, numbered	CLEAR	groupFile/Clothing	High		plain worn garment	P47
left_arm_twist2_end	left_arm_twist2_end	CLEAR	left arm twist bone, numbered, end segment	CLEAR	groupFile/Arms	High		twist is standard rig anatomy, not corrective (rule 3)	P47
bone.016	Bone.016	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P47
bipfin rcalftwist	BipFin RCalfTwist	CLEAR	right calf-twist bone (rig/model prefix set aside)	CLEAR	groupFile/Legs	High		twist is standard rig anatomy, not corrective (rule 3)	P47
door4	Door4	CLEAR	a door prop, numbered	CLEAR	groupFile/Other	High		matches the finalized Door2 calibration precedent	P47
chainside_l	ChainSide_L	PARTIAL	"a ""chain"", side position, left"	NEEDS_CONTEXT		Medium	"""chain"" has materially different core senses (jewelry chain / physics-simulation chain / mechanical chain)"	bare multi-sense word, no grounding to pick a reading	P47
canine_rfrontleg1	Canine_RFrontLeg1	CLEAR	right front-leg anatomy on a canine creature model, numbered	CLEAR	groupFile/Legs	High		species-neutral structural anatomy (rule 18)	P47
page1_d	Page1_D	CLEAR	a lettered page-key prop, page 1, letter D	CLEAR	groupFile/Other	High		"matches the rule-23 documented coherent ""Page<N>_<letter>"" series"	P47
pantyscaledownalt	PantyScaleDownAlt	CLEAR	a panty (garment) scale-down adjustment, alternate variant	CLEAR	groupFile/Clothing	Medium		object-specific (panty) deformation stays with the object's destination (rule 8)	P47
c_dred_r1_05	C_Dred_R1_05	CLEAR	"a dreadlock (""dred"") hairstyle element, right variant, numbered"	CLEAR	groupFile/Hair	Medium		"""dred"" is a recognized dreadlock-hairstyle abbreviation"	P47
browleftdown	BrowLeftDown	CLEAR	eyebrow-down action, left	CLEAR	groupFile/Face/Upper Face	High		plain eyebrow anatomy and action	P47
offrubblechunka01:0	OffRubbleChunkA01:0	CLEAR	a rubble chunk (debris prop), variant A01	CLEAR	groupFile/Other	Medium		recognized environment/debris prop object	P47
unusedtransform9 cmn sl alison	unusedtransform9 cmn sl alison	CLEAR	a self-declared unused placeholder transform	CLEAR	groupFile/Useless	High		"self-declared ""unused"" (rule 15)"	P47
