fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
wep_m203_railsight	WEP_M203_RailSight	CLEAR	an M203 rail-sight weapon accessory	CLEAR	groupFile/Other	High		'wep_' weapon convention	P115
brows-l-neutral	Brows-L-Neutral	CLEAR	left brow, neutral state	CLEAR	groupFile/Face/Upper Face	High		brow is an Upper Face mechanism	P115
leg right hip adj	leg right hip adj	CLEAR	right hip articulation, adjustment variant	CLEAR	groupFile/Legs	High		explicitly sided structural hip joint -> Legs (rule 26); 'adj' alone is not corrective evidence (rule 2)	P115
cervixback	CervixBack	CLEAR	cervix, back	CLEAR	groupFile/Body Morphs	High		matches the extensive live-Master cervix family (7 hits, all Body Morphs)	P115
blink3	blink3	CLEAR	eye blink, numbered	CLEAR	groupFile/Face/Eyes	High		eyelid mechanism	P115
bone_wfl	Bone_WFL	OPAQUE	generic bone with a cryptic suffix, no content	NOT_APPLICABLE		Low	'WFL' has no established expansion		P115
shell.wall_12	Shell.Wall_12	PARTIAL	the wall/lining of a 'shell' -- materially different competing readings (creature shell / ammunition shell / decorative shell), numbered	NEEDS_CONTEXT		Low	no qualifier resolves which kind of shell this is	matches the established bare 'shell' PARTIAL precedent this tranche	P115
waki_r__slerp_kata_r__i40_x0__offset	waki_r__slerp_kata_r__i40_x0__offset	CLEAR	armpit ('waki'), right, interpolated against shoulder ('kata'), numbered offset	CLEAR	groupFile/Arms/RightArm	Low	Japanese terms translated by general vocabulary knowledge, not independently corpus-cross-checked	matches the direct sibling 'waki_l__slerp_kata_l__i40_x0__offset' this tranche	P115
flex_thin_x	Flex_Thin_X	OPAQUE	a generic flex+thin+axis operation with no stated subject	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27) -- 'flex' requires positive object/purpose evidence before escaping OPAQUE		P115
bippbg r finger1	BipPBG R Finger1	CLEAR	right finger 1, 'BipPBG' rig-namespace prefix set aside	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain sided finger anatomy regardless of namespace prefix (rule 24)	P115
earring_l_u_1	Earring_L_U_1	CLEAR	earring, left, upper variant, numbered	CLEAR	groupFile/Clothing	High		worn jewelry	P115
right little finger 1	Right little finger 1	CLEAR	right pinky finger, segment 1	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain sided finger anatomy	P115
stipa	Stipa	OPAQUE	an unrecognized word/name, no established anatomical or object content in this corpus	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27)		P115
opt_hand_right_middle1	OPT_Hand_Right_Middle1	CLEAR	right middle finger, segment 1	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain sided finger anatomy	P115
valvebiped.chord_joint	ValveBiped.chord_joint	CLEAR	a technical 'chord' auxiliary joint (deformation-smoothing convention)	NEEDS_CONTEXT		Low	which body region this chord/anti-pinch joint serves is unstated, and no Master precedent exists for the term	'chord joint' is a real rigging-mechanism concept (a straight-line reference joint), distinct from any single anatomical owner	P115
bipfin l finger3	BipFin L Finger3	CLEAR	left finger 3, 'BipFin' rig-namespace prefix set aside	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		plain sided finger anatomy regardless of namespace prefix (rule 24)	P115
mattressroot	MattressRoot	CLEAR	a mattress prop's structural root/anchor	CLEAR	groupFile/Other	High		recognized generic furniture prop	P115
ball_large	ball_large	CLEAR	testicle ('ball'), large	CLEAR	groupFile/Body Morphs	High		matches the extensive live-Master bare 'ball'/'Ball.L' family (58 hits, all Body Morphs)	P115
bone19	Bone19	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low	no anatomical or functional word		P115
arm right shoulder adj b	arm right shoulder adj b	CLEAR	right shoulder, adjustment variant b	CLEAR	groupFile/Arms/RightArm	High		plain structural arm anatomy; 'adj' alone is not corrective evidence (rule 2)	P115
unused mot15_neck	unused MOT15_Neck	CLEAR	a self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared 'unused' marker (rule 15)	P115
