fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
rgrrrr	RGRRRR	OPAQUE	a bare repeated-letter code, no recoverable content	NOT_APPLICABLE		High		No grounding for a repeated-consonant string.	P72	
tube001	Tube001	CLEAR	a tube prop, numbered	CLEAR	groupFile/Other	High		Direct live-Master precedent: bare 'tube' and numbered tube.bot/tube.top variants, all groupFile/Other.	P72	
left thumb 0 grip 1	Left thumb 0 grip 1	CLEAR	left thumb anatomy, grip pose variant	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit thumb anatomy.	P72	
def-spine.029	DEF-spine.029	CLEAR	spine anatomy, DEF- deform-bone rig prefix, numbered	CLEAR	groupFile/Body	High		'DEF-' is a well-known deform-bone rigging prefix; spine is plain structural anatomy.	P72	
wep_ironsight_front	WEP_Ironsight_Front	CLEAR	a weapon iron-sight component, front	CLEAR	groupFile/Other	High		Recognized weapon part.	P72	
object025_001	Object025_001	OPAQUE	a generic placeholder object name	NOT_APPLICABLE		High		Matches established 'Object###' generic-placeholder OPAQUE precedent.	P72	
cangry2	CAngry2	CLEAR	an 'angry' emotional expression, numbered variant	CLEAR	groupFile/Face/Expressions	Medium		Bare emotion word with no localized facial feature named; 'C' prefix unresolved but doesn't block the whole-face-expression reading.	P72	
unused flex (only here to fix the legs)	Unused Flex (Only Here to Fix The Legs)	CLEAR	a self-declared unused flex control	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration overrides the anatomical hint (Rule 15).	P72	
bip_woolpelvis_0_l	bip_WoolPelvis_0_L	CLEAR	a wool garment piece covering the pelvis, left, numbered	CLEAR	groupFile/Clothing	Medium		'Wool' names the garment material; the compound describes a worn covering, not bare pelvis anatomy.	P72	
bas.rear_center_1	BAS.Rear_Center_1	OPAQUE	an internal 'BAS.' namespace position code with no function word	NOT_APPLICABLE		Medium		Matches established 'BAS.<position>' internal-namespace OPAQUE precedent (Tranche 7 audit); distinct from BAS.*_jiggle rows which carry a function word.	P72	
stare 2 l	Stare 2 L	CLEAR	a stare/gaze eye action, numbered, left	CLEAR	groupFile/Face/Eyes	Medium		'Stare' is an eye-specific gaze action.	P72	
outfit-shirt	Outfit-Shirt	CLEAR	a shirt garment	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P72	
larmtwist0	lArmTwist0	CLEAR	left arm twist, numbered segment	CLEAR	groupFile/Arms	High		Standard rig twist-bone anatomy (Rule 3).	P72	
glass 1	Glass 1	PARTIAL	'glass' (drinking glass / window glass / eyeglasses)	NEEDS_CONTEXT		Low	materially different core senses compete	No disambiguating context for which 'glass' sense applies.	P72	
pincer right tip	Pincer Right Tip	CLEAR	a pincer/claw appendage, right, tip segment	CLEAR	groupFile/Other	Medium		Recognized creature-appendage object with no Master precedent; treated as a species-neutral appendage without an owner-specific destination, matching the Rule 18 spirit.	P72	
tipsize	tipsize	CLEAR	a size-adjustment control for an unnamed 'tip'	NEEDS_CONTEXT		Low	which tip (tail/finger/weapon/etc) is not named	Size-adjustment function is clear but the owning feature is not named.	P72	
bodyshape-stocky	bodyshape-stocky	CLEAR	a body shape descriptor, stocky build	CLEAR	groupFile/Body Morphs	High		Explicit body shape/size descriptor (Rule 12).	P72	
sideburn_root_r	sideburn_root_R	CLEAR	a sideburn hair root, right	CLEAR	groupFile/Hair	High		Sideburn is unambiguous facial hair.	P72	
anus_close	Anus_Close	CLEAR	an anal closing state	CLEAR	groupFile/Body Morphs	High		'Close' is a state word on genital anatomy, symmetric with the established 'open'-as-state-morph precedent (AnusOpen family).	P72	
shell.wall_48	Shell.Wall_48	CLEAR	an environment/structure 'shell wall' segment, numbered	CLEAR	groupFile/Other	High		Matches exact sibling shell.wall_46 (this batch).	P72	
fa_nostril_right	fa_nostril_right	CLEAR	nostril/nose anatomy, right	CLEAR	groupFile/Face/Mid Face	High		'fa_' is a common face-abbreviation prefix; nostril/nose is a mid-face feature.	P72	
moustache_r_23	Moustache_R_23	CLEAR	a moustache, right, numbered	CLEAR	groupFile/Hair	High		Moustache is unambiguous facial hair.	P72	
wep_fireselect_right	WEP_FireSelect_Right	CLEAR	a weapon fire-mode selector, right side	CLEAR	groupFile/Other	High		Recognized weapon part, matches sibling wep_fireselector.	P72	
