fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
shell.wall_6	Shell.Wall_6	CLEAR	a wall/shell prop panel, numbered	CLEAR	groupFile/Other	Low	unclear if 'shell' denotes armor or environment geometry	matches direct current-ledger sibling shell.wall_23/40/42/56/60	P96	
row_chair006	row_chair006	CLEAR	a row-chair furniture prop, numbered	CLEAR	groupFile/Other	High		recognized real-world furniture/prop object	P96	
straprightout	StrapRightOut	CLEAR	a strap fastening accessory, right, 'out' variant	NEEDS_CONTEXT		Low	'right'/'out' name placement/direction, not the strap's actual owner/purpose (rule 14)	no owning garment/object is named	P96	
saberon_bone47	saberon_Bone47	OPAQUE	bare numbered technical bone under a character-name prefix	NOT_APPLICABLE		Low	character/model prefix is not itself semantic ownership (rule 24); bare numbered bone carries no anatomical specificity	matches the extensive current-ledger saberon_bone## sibling series, all OPAQUE/NOT_APPLICABLE	P96	
wep_shellholder_shell1	WEP_ShellHolder_Shell1	CLEAR	a weapon shell-holder mechanism part, numbered	CLEAR	groupFile/Other	High		recognized weapon-part prop	P96	
cloth_front_string_up	cloth_front_string_up	CLEAR	a cloth-simulation front drawstring control, upward	CLEAR	groupFile/Clothing	High		'cloth'+'string' names explicit worn garment content	P96	
generichuman_l_browbjnt	GenericHuman_l_browBJnt	CLEAR	left eyebrow anatomy, joint variant B, Generic Human model namespace	CLEAR	groupFile/Face/Upper Face	High		explicit brow anatomy grounds this regardless of the model-name namespace prefix (rule 24)	P96	
key 1 - reverted	Key 1 - Reverted	CLEAR	a numbered key control, reverted state	NEEDS_CONTEXT		Low	'key' function is stable but the owning mechanism/object is not stated	no Master/ledger precedent names the owner	P96	
hokage hat left 1b	hokage hat left 1b	CLEAR	a Hokage-style hat garment, left, numbered	CLEAR	groupFile/Clothing	High		matches direct current-ledger sibling 'hokage hat left 2a', explicit worn hat	P96	
bottomhair4	BottomHair4	CLEAR	bottom-section hair, numbered	CLEAR	groupFile/Hair	High		explicit hair content	P96	
bipflm r finger3	BipFlm R Finger3	CLEAR	right hand finger 3 digit, Flm model namespace	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit finger digit anatomy; 'BipFlm' namespace set aside (rule 24)	P96	
bip_spine_0.005	bip_spine_0.005	CLEAR	spine anatomy, numbered segment	CLEAR	groupFile/Body	High		plain structural spine anatomy	P96	
beadhangfront	BeadHangFront	CLEAR	a hanging bead accessory, front position	CLEAR	groupFile/Clothing	Medium		recognized worn decorative accessory, matches direct sibling 'beadhangback duo a2' (this ledger)	P96	
leftthigh_lowerjigglecontrol	LeftThigh_LowerJiggleControl	CLEAR	left thigh anatomy, lower, jiggle-physics control	CLEAR	groupFile/Legs	High		explicit thigh anatomy; jiggle names a grounded physics function (rule 22)	P96	
brc	BRC	OPAQUE	bare 3-character alphanumeric code	NOT_APPLICABLE		Low	no readable content	matches settled bare-cryptic-code precedent	P96	
fur_gen_pillow_sitting_f_mesh	FUR_GEN_Pillow_Sitting_F_mesh	CLEAR	a pillow prop mesh, sitting-pose variant	CLEAR	groupFile/Other	Medium		matches direct current-ledger sibling fur_gen_pillow_sitting_h_mesh, recognized furniture/prop object	P96	
balls.root	Balls.Root	CLEAR	testicle anatomy, root anchor	CLEAR	groupFile/Body Morphs	Medium		matches live-Master 'balls root'/'Balls_root' precedent, groupFile/Body Morphs	P96	
helpthighsyaxisfix	HelpThighsYAxisFix	CLEAR	thigh anatomy, Y-axis helper/fix control	CLEAR	groupFile/Legs	High		explicit thigh anatomy; helper/fix does not imply Correctives absent a CK/JCM-style corrective marker (rule 3, 12)	P96	
cloth_side_a_1_l	cloth_side_A_1_L	CLEAR	a cloth simulation control, side, variant A, numbered, left	CLEAR	groupFile/Clothing	High		matches live-Master/ledger cloth-simulation precedent	P96	
cloth back middle 1	cloth back middle 1	CLEAR	a cloth simulation control, back-middle, numbered	CLEAR	groupFile/Clothing	High		matches live-Master/ledger cloth-simulation precedent	P96	
61	61	OPAQUE	a bare numeric literal with no other content	NOT_APPLICABLE		Low	pure numeric label, no anatomical/functional word	matches settled pure-numeric-literal precedent	P96	
