fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
unusedbone57	unusedbone57	CLEAR	a self-declared unused bone	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration.	P76	
bone162	Bone162	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P76	
bone159	Bone159	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P76	
taurenmale_hd_bone_86	taurenmale_hd_bone_86	OPAQUE	a generic numbered bone under a character/model-name prefix ('TaurenMale HD')	NOT_APPLICABLE		High		Matches the settled TaurenMale_HD_bone_78 precedent.	P76	
pelvis_adj	pelvis_adj	CLEAR	a pelvis adjuster control	CLEAR	groupFile/Body	High		Pelvis is central/unsided anatomy (Rule 26).	P76	
leftarmgib	LeftArmGib+leftArmGib	CLEAR	a destructible left-arm gib fragment prop	CLEAR	groupFile/Other	High		Matches established 'gib' destructible-fragment precedent, explicit 'arm' object.	P76	
pantswidehips	Pantswidehips	CLEAR	pants garment with a wide-hips fit variant	CLEAR	groupFile/Clothing	High		Matches Rule 8's worked example: named garment (pants) is the primary object.	P76	
student.right_3	Student.Right_3	OPAQUE	a bare positional label under an ungrounded 'Student' costume/character namespace	NOT_APPLICABLE		Medium		'Student' is a costume/character-archetype prefix (Rule 24) set aside; remaining 'right_3' is a bare positional label with no owning object, matching established precedent.	P76	
rip00 joint	rip00 joint	PARTIAL	a 'rip' (tear/damage effect, or unclear compound), numbered, joint	NEEDS_CONTEXT		Low	affected object/meaning of 'rip' unresolved	Matches sibling 'rip01 joint' precedent (this ledger).	P76	
second_arms_r_index1	Second_Arms_R_Index1	CLEAR	an extra/second right arm, index finger, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		Matches established extra-limb finger precedent.	P76	
state	State	OPAQUE	a bare generic technical/administrative term	NOT_APPLICABLE		Medium		No anatomical or object content; a generic state-machine-style parameter name.	P76	
liplower_l1	lipLower_L1	CLEAR	lower lip anatomy, left, numbered	CLEAR	groupFile/Face/Lower Face	High		Explicit lip anatomy.	P76	
decocker	Decocker	CLEAR	a firearm decocking-lever safety mechanism	CLEAR	groupFile/Other	High		Recognized weapon part.	P76	
sidelockleft1	SideLockLeft1	CLEAR	a hair sidelock strand, left, numbered	CLEAR	groupFile/Hair	High		Matches sibling 'sidelockleft1 jiggle' precedent (this ledger).	P76	
frontflapnarrower	FrontFlapNarrower	CLEAR	a garment front-flap narrowing adjuster	CLEAR	groupFile/Clothing	Medium		'Flap' names a garment feature (e.g. coat/jacket flap).	P76	
middlebulgeout	MiddleBulgeOut	CLEAR	a bulge/deformation control, middle, outward	NEEDS_CONTEXT		Low	which body region or object bulges is unnamed	Bulge/deformation function is clear but the affected region or object is not named.	P76	
unused l jacketc spo	unused l jacketc spo	CLEAR	a self-declared unused control referencing a jacket, left	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration overrides the garment content (Rule 15).	P76	
ref condom balloon	REF CONDOM BALLOON	CLEAR	a condom-balloon reference prop	CLEAR	groupFile/Other	Medium		Recognized novelty/reference prop object (Rule 16).	P76	
gag_l_07	Gag_L_07	PARTIAL	a 'gag' (a physical mouth-gag object, or a gag-reflex mouth action), left, numbered	NEEDS_CONTEXT		Low	materially different core readings compete	No content resolves whether this is a worn/held gag object or an intraoral gag-reflex action.	P76	
pincer left tip	Pincer Left Tip	CLEAR	a pincer/claw appendage, left, tip segment	CLEAR	groupFile/Other	Medium		Matches sibling 'pincer right tip' precedent (this ledger).	P76	
shirt_bottom_lift	shirt_bottom_lift	CLEAR	a shirt garment, bottom-lift feature	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P76	
body-r-ass-smack	Body-R-Ass-Smack	CLEAR	a buttock impact/jiggle ('smack') reaction control, right	CLEAR	groupFile/Body	Medium		Structural jiggle/impact-reaction function on buttock anatomy.	P76	
r leg string sec root	r leg string sec root	CLEAR	a decorative 'string' accessory, leg position, section root, right	NEEDS_CONTEXT		Low	no specific owning garment/object named	Matches established bare unowned string/cord accessory NEEDS_CONTEXT precedent; 'leg' names position, not a competing owner.	P76	
bip_r_horn_c	bip_r_horn_c	CLEAR	a horn, right side, variant C	CLEAR	groupFile/Other	High		Settled Rule 18 species-neutral precedent (horn->Other).	P76	
bone23	Bone23	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P76	
pjcmthighback35l	pJCMThighBack35L	CLEAR	a joint-corrective morph (pJCM) for the thigh-back region, numbered, left	CLEAR	groupFile/Correctives	High		'JCM' (Joint Corrective Morph) is a widely recognized rigging abbreviation for corrective shapes (Rule 23b).	P76	
wrinkle_medium_2	wrinkle_medium_2	CLEAR	a wrinkle appearance/texture control, medium, numbered	NEEDS_CONTEXT		Low	appearance function clear but no body region/feature named	Matches established 'wrinkle'-style NEEDS_CONTEXT precedent (this ledger).	P76	
swimsuit-exposed	Swimsuit-Exposed	CLEAR	a swimsuit garment, exposed state	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P76	
bas.back_3_jiggle	BAS.Back_3_jiggle	CLEAR	a jiggle-physics control, back position, numbered	NEEDS_CONTEXT		Medium	function clear but no owning body part or object named	BAS. is an established non-semantic internal namespace; remaining content names only position + jiggle function (Rule 25 unowned-function pattern), matching sibling bas.rear_right_3_jiggle.	P76	
lock2	lock2	PARTIAL	'lock' (a hair lock / a mechanical lock), numbered	NEEDS_CONTEXT		Low	materially different core senses compete	No disambiguating context for which 'lock' sense applies.	P76	
canine_lupperlip	Canine_LUpperLip	CLEAR	upper lip anatomy, left, canine species descriptor	CLEAR	groupFile/Face/Lower Face	High		Lip anatomy is species-neutral; species prefix doesn't change destination.	P76	
head nostril middle lower	head nostril middle lower	CLEAR	nostril/nose anatomy, middle, lower	CLEAR	groupFile/Face/Mid Face	High		'Head' is a location prefix; nostril is a mid-face feature.	P76	
bip_stoolclothlower_1_r	bip_StoolClothLower_1_R	CLEAR	a stool's cloth covering, lower section, right, numbered	CLEAR	groupFile/Other	Medium		Matches established stool-cloth furniture-prop precedent (this ledger).	P76	
bip_cape_0_l	bip_Cape_0_L	CLEAR	a cape garment, numbered, left	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P76	
tentaclebottompright2	TentacleBottompRight2	CLEAR	a tentacle, bottom-right position, numbered	CLEAR	groupFile/Other	High		Settled Rule 18 species-neutral precedent (tentacle->Other), confirmed by finalized calibration.	P76	
doorhandlebone	DoorHandleBone	CLEAR	a door-handle mechanism bone	CLEAR	groupFile/Other	High		Recognized mechanism/prop part.	P76	
small_earring.r	Small_Earring.R	CLEAR	a small earring, right	CLEAR	groupFile/Clothing	High		Worn jewelry accessory.	P76	
l6	L6	OPAQUE	a bare alphanumeric code	NOT_APPLICABLE		Medium		No grounding for standalone 'L6'.	P76	
pendant.chain_3	Pendant.Chain_3	CLEAR	a pendant necklace's chain, numbered	CLEAR	groupFile/Clothing	High		'Pendant' clearly establishes jewelry context, resolving the otherwise-ambiguous 'chain' term.	P76	
au18	AU18	OPAQUE	a bare alphanumeric code	NOT_APPLICABLE		Medium		No grounding for standalone 'AU18'.	P76	
v_pp	v_pp	OPAQUE	an ungrounded viewmodel-prefixed 'pp' code	NOT_APPLICABLE		Low		No sufficiently strong corpus evidence resolves 'pp' (Rule 23d).	P76	
genitals base	genitals base	CLEAR	genital anatomy, base/root	CLEAR	groupFile/Body	High		Explicit genital anatomy.	P76	
lockhinge_m	LockHinge_M	CLEAR	a lock-hinge mechanism, variant M	CLEAR	groupFile/Other	Medium		Recognized mechanism part.	P76	
