fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
bip hipside l	bip hipside l	CLEAR	a left hip-side control	CLEAR	groupFile/Legs	High		direct sibling 'bip hipside r', CLEAR/CLEAR/Legs (explicit sided hip joint, rule 26)	P89	
frown_left	frown_left	CLEAR	a left frown expression control	CLEAR	groupFile/Face/Lower Face	High		matches extensive frown sibling family, all CLEAR/CLEAR/Face/Lower Face	P89	
brows-full-furrow	Brows-Full-Furrow	CLEAR	a full-brow furrow expression control	CLEAR	groupFile/Face/Upper Face	High		matches Brows-Full-Neutral/Anger/Upset sibling series, all CLEAR/CLEAR/Face/Upper Face	P89	
kio_04	Kio_04	OPAQUE	a bare ungrounded numbered token	NOT_APPLICABLE		Medium		no sibling series or recognized convention grounds 'Kio' (rule 23)	P89	
toplid_r1	toplid_R1	CLEAR	a right top-eyelid control, numbered	CLEAR	groupFile/Face/Upper Face	Medium	the majority of toplid siblings (r3/r4/l3/l4) are Face/Eyes; only the '_1' variant and corner_r are Upper Face	matches direct exact-template sibling toplid_L1, CLEAR/CLEAR/Face/Upper Face	P89	
crow_1.ulna_l	Crow_1.Ulna_L	CLEAR	a left ulna (forearm) bone on the Crow_1 model	CLEAR	groupFile/Arms	High		direct sibling Crow_1.Ulna_R (this same tranche); model prefix set aside (rule 24), ulna on a bird not automatically Wings (rule 18)	P89	
bip_eyecontroller_l	Bip_EYECONTROLLER_L	CLEAR	a left eye controller	CLEAR	groupFile/Face/Eyes	High		direct sibling Bip_EYECONTROLLER_R, CLEAR/CLEAR/Face/Eyes	P89	
arm right lower 2	arm right lower 2	CLEAR	a right lower-arm control, numbered	CLEAR	groupFile/Arms	High		direct sibling 'arm right lower 1', CLEAR/CLEAR/Arms	P89	
bow right 2f	bow right 2f	PARTIAL	a 'bow' (decorative bow / archery bow / ship's bow), right side, lettered variant	NEEDS_CONTEXT		High	materially different core readings for 'bow' remain plausible	matches extensive bow-right-2-lettered sibling family, all PARTIAL/NEEDS_CONTEXT	P89	
lowersnout_l	lowerSnout_L	CLEAR	a left lower-snout control	CLEAR	groupFile/Face/Mid Face	High		direct sibling lowerSnout_R, CLEAR/CLEAR/Face/Mid Face	P89	
bipbrk	BipBrk	OPAQUE	a bare rig-namespace root marker	NOT_APPLICABLE		High		bare namespace root with no further content, matches bipfio/bipflm bare precedent	P89	
wink2 r	Wink2 R	CLEAR	a right eye wink control, numbered	CLEAR	groupFile/Face/Eyes	High		direct sibling 'wink2 l', CLEAR/CLEAR/Face/Eyes	P89	
wep_belt_bullet14	WEP_Belt_Bullet14	CLEAR	a numbered weapon belt-bullet prop	CLEAR	groupFile/Other	High		matches extensive wep_belt_bullet sibling family, all CLEAR/CLEAR/Other	P89	
leg front toes left	leg front toes left	CLEAR	a left front-leg toes control	CLEAR	groupFile/Toes/LeftToes	High		direct sibling 'leg front toes right', CLEAR/CLEAR/RightToes	P89	
arm right shoulder 2 ctr 001	arm right shoulder 2 ctr 001	CLEAR	a right shoulder center control, numbered	CLEAR	groupFile/Arms	High		matches the consistent 'ctr' shoulder subfamily (matches 'ctr.001' bare-Arms precedent)	P89	
cornerlowerl	CornerLowerL	CLEAR	a left lower mouth-corner control	CLEAR	groupFile/Face/Lower Face	High		matches merged sibling CornerLowerL+CornerLowerR, CLEAR/CLEAR/Face/Lower Face	P89	
