fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
row_chair008	row_chair008	CLEAR	chair prop, numbered	CLEAR	groupFile/Other	High		recognized furniture prop	P135
anus - push	Anus - Push	CLEAR	anal push/squeeze function	CLEAR	groupFile/Body Morphs	Medium		explicit state/function control, matches VagGrip-style doctrine example	P135
bipflm lcalftwist1	BipFlm LCalfTwist1	CLEAR	left calf twist (namespace set aside), numbered	CLEAR	groupFile/Legs	High		explicit calf content	P135
bobby_bone_necklace_09	BOBBY_Bone_NeckLace_09	CLEAR	necklace accessory (character prefix), numbered	CLEAR	groupFile/Clothing	High		garment accessory	P135
glabella	glabella	CLEAR	glabella (brow-ridge anatomy)	CLEAR	groupFile/Face/Upper Face	Medium		grounded anatomical term, localized brow mechanism	P135
hip main	hip main	CLEAR	hip anatomy, central/main	CLEAR	groupFile/Body	High		central/unsided structural hip anchor (rule 26)	P135
wakazashi.tassel_front_2	Wakazashi.Tassel_Front_2	CLEAR	sword tassel decoration, positional, numbered	CLEAR	groupFile/Other	Medium		decoration on a weapon prop stays with the weapon	P135
balls_tighten	balls_tighten	CLEAR	testicle tighten function	CLEAR	groupFile/Body Morphs	High		explicit shape/state function	P135
c spine1w spo	C Spine1W Spo	CLEAR	spine physics variant, center	CLEAR	groupFile/Body	High		plain structural spine anatomy	P135
balls-heavy	balls-heavy	CLEAR	testicle weight/size, heavy	CLEAR	groupFile/Body Morphs	Medium		explicit weight/size descriptor	P135
book1_l	Book1_L	CLEAR	book prop, left	CLEAR	groupFile/Other	Medium		recognized prop object	P135
dyng z 03	dyng z 03	OPAQUE	cryptic ungrounded code with axis letter	NOT_APPLICABLE		Low		no recoverable referent	P135
l collarb spo	L CollarB Spo	CLEAR	garment collar, left, physics variant	CLEAR	groupFile/Clothing	High		established descriptive garment-collar template	P135
scrotumcleavageup	ScrotumCleavageUp	CLEAR	scrotal cleft, upward shape adjustment	CLEAR	groupFile/Body Morphs	Medium		explicit shape/positional adjustment	P135
vag inner open2	vag inner open2	CLEAR	vaginal inner opening, numbered	CLEAR	groupFile/Body Morphs	High		explicit opening function	P135
bip_bobby_r_uparmtwist	Bip_BOBBY_R_UpArmTwist	CLEAR	right upper-arm twist (character prefix set aside)	CLEAR	groupFile/Arms	High		plain structural arm anatomy	P135
neck_narrow	neck_narrow	CLEAR	neck narrow	CLEAR	groupFile/Body Morphs	High		explicit shape/size change	P135
unused c_i_base	unused C_I_Base	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused (rule 15)	P135
bip_stone_r_foretwist1	Bip_STONE_R_ForeTwist1	CLEAR	right forearm twist (character prefix set aside), numbered	CLEAR	groupFile/Arms	High		plain structural arm anatomy	P135
vase.004	Vase.004	CLEAR	vase prop, numbered	CLEAR	groupFile/Other	High		recognized prop object	P135
eye-pupil-small	Eye-Pupil-Small	CLEAR	pupil size, small	CLEAR	groupFile/Face/Eyes	High		localized eye-feature size control	P135
eyes-look-right	eyes-look-right	CLEAR	eye gaze direction, right	CLEAR	groupFile/Face/Eyes	High		localized eye mechanism	P135
gag_r_04	Gag_R_04	CLEAR	mouth-gag restraint accessory, right, numbered	CLEAR	groupFile/Clothing	Low		worn restraint item	P135
rightnipple4	RightNipple4	CLEAR	nipple anatomy, right, numbered	CLEAR	groupFile/Body	Medium		no shape/state word; direct-pose structural sexual anatomy per current doctrine; FUTURE_SEXUAL_BONES_MIGRATION_CANDIDATE	P135
enginerr	EngineRR	CLEAR	vehicle/mechanical engine part	CLEAR	groupFile/Other	Low		recognized mechanical prop	P135
valvebiped.safetysticker	ValveBiped.safetySticker	CLEAR	safety-sticker decal prop	CLEAR	groupFile/Other	Medium		recognized decal/prop object	P135
long_bulge_lower	long_bulge_lower	CLEAR	a bulge shape, long, lower	CLEAR	groupFile/Body Morphs	Medium		explicit shape/appearance descriptor	P135
