fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
frontl1	FrontL1	OPAQUE	a bare positional label with no object named	NOT_APPLICABLE		Medium		matches bare positional-label-no-owner OPAQUE precedent (left_17, right_2, bottom_4)	P82	
pillow 4	Pillow 4	CLEAR	a numbered pillow prop	CLEAR	groupFile/Other	High		matches Pillow/Pillow 1/2/3 sibling series, all CLEAR/CLEAR/Other	P82	
orcmale_hd_fixed_bone42	orcmale_hd_fixed_Bone42	OPAQUE	a generic numbered bone tied only to a model/variant prefix, ungrounded 'HD'	NOT_APPLICABLE		High		matches orcmale_hd_fixed_Bone45/51 sibling series, all OPAQUE/NOT_APPLICABLE (rule 24)	P82	
rlotwist1	rLoTwist1	PARTIAL	a right-side twist bone with an undecoded 'Lo' region abbreviation	NEEDS_CONTEXT		Medium	'Lo' is not grounded by other content in the literal or a confirmed sibling series	'Twist' is a real function word (rule 3) but 'Lo' does not identify which limb/region is twisting, and no sibling series grounds it (rule 23)	P82	
smac	SMAC	OPAQUE	a bare all-caps code, possibly related to the corpus's ass-smack family but with no anchor word	NOT_APPLICABLE		Medium		no anchor content in this literal itself grounds the 'smack' reading (rule 23); the sibling smack-ass family always carries an explicit body-part/action anchor this literal lacks	P82	
lid_3	lid_3	PARTIAL	a 'lid' (eyelid / container lid), numbered, no anchor	NEEDS_CONTEXT		High	materially different core readings for 'lid' remain plausible	direct sibling lid_2, PARTIAL/NEEDS_CONTEXT	P82	
page3_b	Page3_B	CLEAR	a lettered page in the Page3 series	CLEAR	groupFile/Other	High		coherent Page<N>_<letter> series (rule 23), matches Page3_A/Page3_R and Page1/Page2 siblings	P82	
second_arms_l_index1	Second_Arms_L_Index1	CLEAR	a left index finger bone on a secondary arm set, segment 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		matches Second_Arms_L_Middle1/Thumb3/Index3 sibling series, all CLEAR/CLEAR/LeftFingers	P82	
leg left knee adj. 3	leg left knee adj. 3	CLEAR	a left knee adjustment control, numbered	CLEAR	groupFile/Legs	High		ordinary structural leg anatomy (rule 6)	P82	
polysurface73	polySurface73	OPAQUE	a DCC-default primitive mesh identifier	NOT_APPLICABLE		High		DCC auto-generated primitive name, no independent semantic evidence (Section 5)	P82	
c_tier_c08	C_TieR_C08	CLEAR	a numbered garment tier/layer control, center	CLEAR	groupFile/Clothing	High		matches C_TieR_C02/03/04/06/09 sibling series, all CLEAR/CLEAR/Clothing	P82	
bipflm r finger1	BipFlm R Finger1	CLEAR	a right finger bone on the BipFlm rig namespace, segment 1	CLEAR	groupFile/Arms/RightArm/RightFingers	High		matches BipFlm L Finger4 (LeftFingers) and BipFio R Finger1/4 (RightFingers) sibling pattern; rig namespace set aside (rule 24)	P82	
bottom_4	bottom_4	OPAQUE	a bare positional label with no object named	NOT_APPLICABLE		High		matches bare positional-label-no-owner OPAQUE precedent	P82	
ascot.bottom_14	Ascot.Bottom_14	CLEAR	a numbered ascot-bottom garment control	CLEAR	groupFile/Clothing	High		matches Ascot.Bottom_4/5/13 sibling series, all CLEAR/CLEAR/Clothing	P82	
wrinkles-10	wrinkles-10	CLEAR	a numbered wrinkle surface-deformation effect, no owner named	NEEDS_CONTEXT		Medium	owner (skin vs. fabric) not established	matches established treatment of 'wrinkle' as an unresolved unowned-function word (Tranche 8 report)	P82	
boots fitl+boots fitr	boots fitL+boots fitR	CLEAR	a boots-fit garment control, left/right merged spellings	CLEAR	groupFile/Clothing	High		explicit boots garment fit control (rule 8)	P82	
mainlidlower2	MainLidLower2	CLEAR	a main-eyelid-lower control, numbered	CLEAR	groupFile/Face/Eyes	High		matches MainLidSurprised/MainLidAnger/MainLidBlink sibling series, all CLEAR/CLEAR/Face/Eyes	P82	
fntac_3rd	fntac_3rd	OPAQUE	a cryptic ungrounded abbreviation with an ordinal suffix	NOT_APPLICABLE		Medium		no sibling series or recognized convention grounds 'fntac' (rule 23)	P82	
legringfinger1_l	LegRingFinger1_L	PARTIAL	a 'leg ring finger' compound with an unresolved cross-region relation, left, numbered	NEEDS_CONTEXT		High	the leg+ring-finger relation does not parse as an ordinary phrase	direct sibling legringfinger3_r, PARTIAL/NEEDS_CONTEXT	P82	
lring0	lRing0	CLEAR	a left ring-finger bone, segment 0	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment, LeftFingers verified subpath (rule 10)	P82	
book pages	Book Pages	CLEAR	a book pages control	CLEAR	groupFile/Other	High		matches Book TurnPage1/2/3/10 sibling family, all CLEAR/CLEAR/Other	P82	
fio-rig-strip-r4	Fio-Rig-Strip-R4	PARTIAL	a numbered strip control in the Fio-Rig internal namespace, right side	NEEDS_CONTEXT		Medium		matches Fio-Rig-Strip-R2/R3 sibling pattern, PARTIAL/NEEDS_CONTEXT	P82	
leftelbow_helper	LeftElbow_helper	CLEAR	a left elbow helper control	CLEAR	groupFile/Arms	High		ordinary elbow anatomy, 'helper' naming neutral (rule 4)	P82	
troubled left	Troubled left	CLEAR	a whole-face 'troubled' expression preset, left	CLEAR	groupFile/Face/Expressions	High		direct sibling 'troubled right' from Tranche 7's verified Face/Expressions audit	P82	
lefttibea	LeftTibea	CLEAR	a left tibia (leg) bone	CLEAR	groupFile/Legs	High		direct sibling RightTibea, CLEAR/CLEAR/Legs; literal spelling preserved (rule 12)	P82	
pubespush	pubespush	CLEAR	a pubic-region push/shape control	CLEAR	groupFile/Body Morphs	Medium		soft-tissue shape/push control, no skeletal joint (rule 7)	P82	
