fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
h6	H6+h6	OPAQUE	bare cryptic 'H6' code, no function word	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27)		P120
uppertentacle0	UpperTentacle0	CLEAR	a tentacle, numbered	CLEAR	groupFile/Other	High		settled tentacle -> Other precedent	P120
creasebr	CreaseBR	CLEAR	a skin/body crease, lettered variant	CLEAR	groupFile/Body Morphs	Medium		matches the extensive live-Master bare 'crease' family (Crease Middle/side crease 1-2, all Body Morphs)	P120
flm-armb-belt-ra	Flm-ArmB-Belt-RA	CLEAR	a belt garment, Flm-ArmB namespace, 'RA' qualifier	CLEAR	groupFile/Clothing	High		matches the settled Flm-ArmB-Belt family (100% Clothing)	P120
hat_right_tassel_2	Hat_Right_Tassel_2	CLEAR	hat tassel accessory, right, numbered	CLEAR	groupFile/Clothing	High		worn garment accessory	P120
dec_dungeon_shartemple_carpet_rich_a_mesh	DEC_Dungeon_SharTemple_Carpet_Rich_A_Mesh	CLEAR	a dungeon-temple carpet decoration prop	CLEAR	groupFile/Other	High		recognized generic environment prop	P120
thigh_twist.l	thigh_twist.l	CLEAR	left thigh twist bone	CLEAR	groupFile/Legs	High		plain structural leg anatomy	P120
middledrawer	MiddleDrawer	CLEAR	a drawer furniture object, middle	CLEAR	groupFile/Other	Medium		matches the direct sibling 'lowerdrawer' precedent	P120
plumpvulva	PlumpVulva	CLEAR	vulva plumpness (shape change)	CLEAR	groupFile/Body Morphs	High		explicit genital shape change	P120
unused.002	unused.002	CLEAR	a self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared 'unused' marker (rule 15)	P120
trccurve	TRCCurve	OPAQUE	a cryptic 'TRC' technical curve reference, no anatomical/object content	NOT_APPLICABLE		Low	no recoverable animator-useful referent (rule 27)		P120
gatling3	gatling3	CLEAR	a gatling gun weapon prop, numbered	CLEAR	groupFile/Other	High		recognized weapon prop	P120
opt_hand_right_thumb3	OPT_Hand_Right_Thumb3	CLEAR	right thumb, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain sided finger anatomy	P120
key.black_9	Key.Black_9	CLEAR	a piano/keyboard black key, numbered	CLEAR	groupFile/Other	Medium		recognized generic keyboard-key object	P120
pb_l_cmy01_fhair_01	pb_L_CMY01_FHair_01	CLEAR	facial/front hair, left, numbered, cryptic 'CMY01' variant	CLEAR	groupFile/Hair	Medium	'CMY01' code undecoded	matches the direct sibling 'pb_l_cmy01_fhair_03' precedent	P120
larmtwist1	lArmTwist1	CLEAR	left arm twist bone, numbered	CLEAR	groupFile/Arms/LeftArm	High		plain structural arm anatomy	P120
opt_hand_right_thumb2	OPT_Hand_Right_Thumb2	CLEAR	right thumb, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain sided finger anatomy	P120
fh11.l	Fh11.L	OPAQUE	cryptic 2-4 letter abbreviation+number+side fragment, no grounding	NOT_APPLICABLE		Low	matches the established ungrounded Bh##.*/Fh##.* cryptic-fragment precedent		P120
bip_pussytop	bip_PussyTop	CLEAR	vagina/pussy, top	CLEAR	groupFile/Body Morphs	High		matches this Master's extensive pussy/vagina-domain Body Morphs convention	P120
key.5	Key.5	CLEAR	a piano/keyboard key, numbered	CLEAR	groupFile/Other	Medium		recognized generic keyboard-key object	P120
finger_ring_right_1	finger_ring_right_1	CLEAR	right ring finger, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain sided finger anatomy	P120
eyelashes-wide	Eyelashes-Wide	CLEAR	eyelashes, wide (shape)	CLEAR	groupFile/Face/Eyes	High		eyelashes are an eye-region feature	P120
chain_5	Chain_5+chain_5	CLEAR	a chain accessory, numbered	CLEAR	groupFile/Clothing	Medium		worn jewelry/accessory	P120
leg left knee adj. 1	leg left knee adj. 1	CLEAR	left knee, adjustment variant, numbered	CLEAR	groupFile/Legs	High		plain structural leg anatomy; 'adj' alone is not corrective evidence (rule 2)	P120
toy_bone_21	toy_bone_21	CLEAR	a toy-bone prop, numbered	CLEAR	groupFile/Other	Medium		matches the established toy_bone family precedent	P120
sideways collapse	Sideways collapse	CLEAR	a sideways collapse action/pose	NEEDS_CONTEXT		Low	which limb/whole-body owns this collapse action, and its taxonomy destination, are unestablished	ordinary recognizable action concept (rule 22 category F) with no Master precedent to resolve destination	P120
bip001-l-toe0	Bip001-L-Toe0	CLEAR	left toe, numbered	CLEAR	groupFile/Toes/LeftToes	High		direct toe anatomy naming	P120
flm-armb-belt-b2	Flm-ArmB-Belt-B2	CLEAR	a belt garment, Flm-ArmB namespace, 'B2' qualifier	CLEAR	groupFile/Clothing	High		matches the settled Flm-ArmB-Belt family (100% Clothing)	P120
bip_r_foot_ring_01	bip_r_foot_ring_01	CLEAR	right foot, structural deformation ring, numbered	CLEAR	groupFile/Legs	Medium	'ring' function inferred by analogy	matches the direct sibling 'bip_l_foot_ring_01' precedent (bip_ prefix marks structural bone)	P120
page3_d	Page3_D	OPAQUE	ambiguous UI/page reference with a bare letter suffix	NOT_APPLICABLE		Low	matches the established ungrounded 'page#_x' cryptic-fragment precedent		P120
g15	G15	OPAQUE	cryptic 1-letter+number code, no content	NOT_APPLICABLE		Low	matches the established ungrounded cryptic-fragment precedent		P120
stock_button	stock_button	CLEAR	a weapon stock button/release mechanism	CLEAR	groupFile/Other	High		recognized weapon component	P120
lbeard1	lbeard1	CLEAR	left beard, numbered	CLEAR	groupFile/Hair	High		facial hair is a Hair feature	P120
bip_stoolclothfront_0_l	bip_StoolClothFront_0_L	CLEAR	cloth-simulation bone, front, left, numbered, 'Stool' model prefix set aside	CLEAR	groupFile/Clothing	High		garment simulation control regardless of model prefix (rule 24)	P120
jnt_front	jnt_front	OPAQUE	a generic 'joint'+'front' label with no specific anatomy identified	NOT_APPLICABLE		Low	'front' does not specify which joint (rule 27 generic-label caution)		P120
bip_hs2_r	bip_hs2_R	OPAQUE	cryptic 'HS2' code with a side marker, no content	NOT_APPLICABLE		Low	matches the direct sibling 'bip_hs1_l' cryptic-fragment precedent		P120
nipepoke02	NipePoke02	CLEAR	nipple poke (shape/pose), numbered	CLEAR	groupFile/Body Morphs	High		matches the direct sibling 'nippoke05' precedent (Body Morphs)	P120
rightbrowsad	Rightbrowsad	CLEAR	right brow, sad state	CLEAR	groupFile/Face/Upper Face	High		brow is an Upper Face mechanism, matching direct sibling 'leftbrowsad'	P120
bipfin l finger1	BipFin L Finger1	CLEAR	left finger 1, 'BipFin' rig-namespace prefix set aside	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain sided finger anatomy regardless of namespace prefix (rule 24)	P120
unused duplicate duplicate unused	unused duplicate duplicate unused	CLEAR	a self-declared unused/duplicate placeholder	CLEAR	groupFile/Useless	High		directly matches rule 15's own 'unused'/'duplicate' wording	P120
pjcmpelvisfwd25	pJCMPelvisFwd25	CLEAR	a joint-corrective-morph for the pelvis, forward, numbered	CLEAR	groupFile/Correctives	High		matches the settled pJCM/CK Joint-Corrective-Morph convention	P120
bas.rear_left_4_jiggle	BAS.Rear_Left_4_jiggle	CLEAR	a jiggle-physics function on an unresolved 'BAS' object, rear-left, numbered	NEEDS_CONTEXT		Medium	'BAS' prefix ungrounded; jiggled object unstated	matches the settled BAS.<position>_jiggle majority pattern	P120
lowerlid	LowerLid+Lowerlid	CLEAR	lower eyelid	CLEAR	groupFile/Face/Eyes	High		eyelid mechanism	P120
charmchain_adjust.l	CharmChain_Adjust.L	CLEAR	a charm-chain accessory adjustment, left	CLEAR	groupFile/Clothing	High		worn jewelry accessory	P120
cape 2c	Cape 2c	CLEAR	cape garment, numbered/lettered variant	CLEAR	groupFile/Clothing	High		worn garment	P120
opt_hand_left_index1	OPT_Hand_Left_Index1	CLEAR	left index finger, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain sided finger anatomy	P120
areolasmaller	AreolaSmaller	CLEAR	areola size decrease	CLEAR	groupFile/Body Morphs	High		matches the direct sibling 'aerola small' precedent	P120
