fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
second_arms_l_index3	Second_Arms_L_Index3	CLEAR	"index finger of a ""second"" (extra) left arm, numbered"	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		extra-limb finger anatomy; limb count does not change destination (rule 19)	P20
valvebiped.bip01_l_upperarmtwist2	ValveBiped.Bip01_L_UpperArmTwist2	CLEAR	upper arm twist bone, left, numbered	CLEAR	groupFile/Arms/LeftArm	High		plain arm twist anatomy	P20
_left_y_down	_left_y_down	OPAQUE	a technical axis label (Y-down), left, no anatomical object	NOT_APPLICABLE		Low		technical axis label, no anatomical content	P20
48	48	OPAQUE	a number alone carries no semantic content	NOT_APPLICABLE		Low		"bare number, no content (matches settled ""28"" precedent)"	P20
bip01 op2.l	Bip01 Op2.L	OPAQUE	"cryptic fragment (""Op2"") with no recoverable anatomical content, left"	NOT_APPLICABLE		Low		no recoverable referent	P20
supressor	Supressor+supressor	CLEAR	a weapon suppressor/silencer prop	CLEAR	groupFile/Other	High		plain weapon-attachment prop	P20
l_rear_holster_0u_7v	l_rear_holster_0u_7v	CLEAR	holster, left, rear, cloth-sim grid coordinate suffix	CLEAR	groupFile/Clothing	High		worn equipment defaults to Clothing absent explicit weapon/prop-assembly ownership (rule 16)	P20
magazine.002	Magazine.002	CLEAR	a weapon magazine prop, numbered	CLEAR	groupFile/Other	High		plain weapon-ammunition prop	P20
bip_fring03_l	Bip_FRing03_L	CLEAR	ring finger, left, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy	P20
wep_sight_flipup2_kac	WEP_Sight_FlipUp2_KAC	CLEAR	weapon sight mechanism, numbered	CLEAR	groupFile/Other	High		plain weapon-mechanism control	P20
machinegun	MachineGun	CLEAR	a machine-gun weapon prop	CLEAR	groupFile/Other	High		plain weapon prop	P20
bone 1015	bone 1015	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P20
skull_04	skull_04	CLEAR	skull anatomy, numbered	CLEAR	groupFile/Body	High		bare structural skull defaults to Body (rule 13)	P20
right_lidsopen	Right_lidsopen	CLEAR	eyelids open, right	CLEAR	groupFile/Face/Eyes	High		plain eyelid anatomy	P20
arm left arm twist b	arm left arm twist b	CLEAR	arm twist bone, left, variant b	CLEAR	groupFile/Arms/LeftArm	High		plain arm twist anatomy	P20
key.white_57	Key.White_57	CLEAR	a piano/keyboard-key prop, white key 57	CLEAR	groupFile/Other	Medium		matches the coherent Key.<label> period-separated prop series	P20
sakotsu_rt_l_d__offset	sakotsu_rt_l_d__offset	CLEAR	"clavicle (Japanese ""sakotsu""), offset"	CLEAR	groupFile/Arms	Medium		recognized Japanese anatomical term for the clavicle/collarbone, matching the settled clavicle -> Arms precedent	P20
left ring finger 1 grip 2	Left ring finger 1 grip 2	CLEAR	ring finger, left, grip pose	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy	P20
waterlow	WaterLow	CLEAR	an environment water-level control	CLEAR	groupFile/Other	Medium		environment/liquid-simulation control, unrelated to character anatomy	P20
strokedown	StrokeDown	CLEAR	"a ""stroke down"" action control, object unstated"	NEEDS_CONTEXT		Low	stroke function is recognizable but no anatomical object is named	function clear, owner unnamed	P20
arm right finger 5 b	arm right finger 5 b	CLEAR	pinky finger, right arm, variant b	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain finger anatomy	P20
fh18.l	Fh18.L	OPAQUE	"a cryptic abbreviation (""Fh"") with no grounding for any expansion, numbered, left"	NOT_APPLICABLE		Low		ungrounded abbreviation	P20
bipbrk l foretwist1	BipBrk L ForeTwist1	CLEAR	left forearm twist bone, numbered	CLEAR	groupFile/Arms/LeftArm	High		plain arm twist anatomy	P20
eye-l-blink	Eye-L-Blink	CLEAR	eye blink, left	CLEAR	groupFile/Face/Eyes	High		plain eye expression	P20
unused.035	unused.035	CLEAR	self-declared unused control, numbered	CLEAR	groupFile/Useless	High		self-declared unused	P20
pult_main	Pult_main	OPAQUE	"a cryptic fragment (""Pult"") with no recoverable anatomical content"	NOT_APPLICABLE		Low		no recoverable referent	P20
body-big-torso	Body-Big-Torso	CLEAR	"torso shape morph, ""big"" variant"	CLEAR	groupFile/Body Morphs	High		explicit size deformation word	P20
