fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
comichalloween	ComicHalloween	OPAQUE	an unclear costume-theme label ('Comic Halloween') with no specific object named	NOT_APPLICABLE		Low		No anatomical feature or garment is named, only a costume-theme label.	P79	
l eyebag b	L Eyebag B	CLEAR	an under-eye bag (real facial feature), left, variant B	CLEAR	groupFile/Face/Eyes	Medium		'Eyebag' contains explicit eye anatomy content.	P79	
bone._l.002	Bone._L.002	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P79	
unused b_r_shoulderfhelper	unused b_r_shoulderfhelper	CLEAR	a self-declared unused control referencing a right shoulder helper	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration overrides the anatomical content (Rule 15).	P79	
helpthighfwdr	HelpThighFwdR	CLEAR	a thigh-forward helper bone, right	CLEAR	groupFile/Legs	High		Explicit thigh anatomy.	P79	
belly ctr 2	belly ctr 2	CLEAR	a belly control/center point, numbered	CLEAR	groupFile/Body	High		Explicit belly anatomy.	P79	
right middle distal	Right Middle Distal	CLEAR	right middle finger anatomy, distal segment	CLEAR	groupFile/Arms/RightArm/RightFingers	High		Explicit middle-finger anatomy.	P79	
008	008	OPAQUE	a bare number	NOT_APPLICABLE		High		No semantic content.	P79	
rope_2	Rope_2	CLEAR	a rope accessory, numbered	NEEDS_CONTEXT		Low	no owner named	Matches established bare unowned rope/cord accessory NEEDS_CONTEXT precedent.	P79	
jiggle.tassle_front_04	Jiggle.Tassle_Front_04	CLEAR	jiggle-physics control for a tassel accessory, front, numbered	NEEDS_CONTEXT		Medium	tassel is real but no owning garment/object named	Matches sibling jiggle.tassle_back_3 precedent (this ledger).	P79	
jacket right back b	jacket right back b	CLEAR	a jacket garment, back, right, variant	CLEAR	groupFile/Clothing	High		Explicit worn garment.	P79	
valvebiped.bip02_l_foot	ValveBiped.Bip02_L_Foot	CLEAR	left foot anatomy, standard biped rig	CLEAR	groupFile/Legs	High		Plain structural foot anatomy.	P79	
arm cape left shoulder 1	arm cape left shoulder 1	CLEAR	a cape garment attachment at the left shoulder, numbered	CLEAR	groupFile/Clothing	Medium		'Cape' is the primary named garment; 'arm'/'shoulder' name the attachment location.	P79	
key.leftcontrol	Key.LeftControl	CLEAR	a keyboard Left-Control key prop	CLEAR	groupFile/Other	High		Matches the established Key.<label> grounded sibling-series template.	P79	
