fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
unused_head_neck_upper.001	unused_head_neck_upper.001	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P05	901
belly bulge medium	Belly Bulge Medium	CLEAR	medium belly bulge	CLEAR	groupFile/Body Morphs	High		identical spelling to confirmed existing Master control	P05	902
bone131	Bone131	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	903
bobcut.back_1	Bobcut.Back_1	CLEAR	bob-cut hairstyle, back, segment 1	CLEAR	groupFile/Hair	High		named hairstyle control	P05	904
bip01_head017	Bip01_Head017	CLEAR	bare structural head, numbered sub-bone 017	CLEAR	groupFile/Body	High		bare structural head defaults to Body (rule 13)	P05	905
page2_c	Page2_C	CLEAR	numbered slot in the coherent Page<N>_<letter> series	CLEAR	groupFile/Other	High		confirmed coherent Page-series template (rule 23 explicit example)	P05	906
boon_root_right	boon_root_right	OPAQUE	unclear term, no confirmed decomposition	NOT_APPLICABLE		Low	"a possible ""bone"" typo reading is not grounded enough to assert"	ungrounded term	P05	907
tbase	TBase	OPAQUE	"ungrounded single-letter prefix plus ""base"", no object"	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P05	908
lower_leg03	lower_leg03	CLEAR	lower leg, numbered	CLEAR	groupFile/Legs	High		ordinary leg anatomy	P05	909
bone007	Bone007	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	910
llid_lower_raise	Llid_lower_raise	CLEAR	left eyelid, lower, raise	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P05	911
poke04	Poke04	CLEAR	"a ""poke"" function, variant 04 (object unstated)"	NEEDS_CONTEXT		Low		direction/action function is clear; owning object is not named	P05	912
bone026	Bone026	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	913
cape2_middle2	CAPE2_MIDDLE2	CLEAR	cape garment, middle, variant 2	CLEAR	groupFile/Clothing	High		worn garment	P05	914
unused r jacketa spo	unused r jacketa spo	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P05	915
bone118	Bone118	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	916
magazinecatch	MagazineCatch	CLEAR	weapon magazine catch mechanism	CLEAR	groupFile/Other	High		recognized weapon part	P05	917
hat front left	hat front left	CLEAR	hat garment, front, left	CLEAR	groupFile/Clothing	High		worn garment	P05	918
object031_006	Object031_006	OPAQUE	generic placeholder object name, no referent	NOT_APPLICABLE		Low		numbered generic placeholder	P05	919
belt_24	belt_24	CLEAR	belt garment, variant 24	CLEAR	groupFile/Clothing	High		worn garment	P05	920
middleright2	MiddleRight2	CLEAR	middle finger, right, variant 2	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P05	921
bottomlipright	BottomLipRight	CLEAR	bottom lip, right	CLEAR	groupFile/Face/Lower Face	High		ordinary lip anatomy	P05	922
arm left shoulder 1 ctr2	arm left shoulder 1 ctr2	CLEAR	left shoulder control, variant 1 ctr2	CLEAR	groupFile/Arms	High		ordinary shoulder anatomy	P05	923
bip01_r_clavicle016	Bip01_R_Clavicle016	CLEAR	right clavicle, numbered sub-bone 016	CLEAR	groupFile/Arms	High		clavicle/shoulder-girdle anatomy	P05	924
marie head neck upper	Marie head neck upper	CLEAR	"neck, upper (""Marie"" character-name prefix)"	CLEAR	groupFile/Body	High		plain structural neck anatomy; prefix ignored (rule 24)	P05	925
wwexpansionanuswidth	WWExpansionAnusWidth	CLEAR	"anus width expansion (""WW"" prefix unresolved)"	CLEAR	groupFile/Body Morphs	High		explicit shape/state deformation on genital soft tissue	P05	926
hat_bone_l_02	hat_bone_l_02	CLEAR	hat garment bone, left, segment 02	CLEAR	groupFile/Clothing	High		worn garment	P05	927
fin-rig-eye-r	Fin-Rig-Eye-R	CLEAR	"eye, right (""Fin-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P05	928
r05	R05	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P05	929
lipscornersforward	LipsCornersForward	CLEAR	lip corners, forward	CLEAR	groupFile/Face/Lower Face	High		identical spelling to confirmed existing Master control	P05	930
torso2.001	torso2.001	CLEAR	torso (structural anatomy), numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P05	931
casterb_0	CasterB_0	CLEAR	a caster wheel, variant B, index 0	CLEAR	groupFile/Other	Medium		recognized furniture/mechanical hardware item	P05	932
bip_l_thumb_02	bip_l_thumb_02	CLEAR	left thumb, segment 02	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P05	933
box_face_03_m	Box_Face_03_M	PARTIAL	"a ""box face,"" variant 03_M, no further anchor"	NEEDS_CONTEXT		Low	"materially different core readings: a crate/box object's face vs. an anatomical face on a ""Box""-named model"	unresolved token relation	P05	934
out_cam	Out_Cam	CLEAR	an out-facing camera reference	CLEAR	groupFile/Other	Medium		technical/utility reference with no dedicated category; closest to the generic Other bucket	P05	935
arm left finger 2 a	arm left finger 2 a	CLEAR	left finger, digit 2, variant a	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P05	936
third_arms_r_thumb3	Third_Arms_R_Thumb3	CLEAR	right thumb, third arm, segment 3	CLEAR	groupFile/Arms/RightArm/RightFingers	High		limb count does not change destination (rule 19); verified RightFingers subpath	P05	937
v_weapon.root36	v_weapon.Root36	CLEAR	viewmodel weapon root, numbered	CLEAR	groupFile/Other	High		recognized weapon part	P05	938
bag_bone_sr_02	bag_bone_sr_02	CLEAR	bag accessory bone, side-right, segment 02	CLEAR	groupFile/Clothing	High		"worn/carried bag accessory, matches ""bag back"" precedent"	P05	939
eyesemicircleopposite	EyeSemiCircleOpposite	CLEAR	eye semi-circle shape, opposite variant	CLEAR	groupFile/Face/Eyes	High		ordinary eye-shape control	P05	940
collar.ring	Collar.Ring	CLEAR	collar ring, a garment collar variant	CLEAR	groupFile/Clothing	High		matches established named-collar garment series	P05	941
polysurface137	polySurface137	OPAQUE	generic default polygon-surface placeholder name, numbered	NOT_APPLICABLE		Low		generic DCC-default geometry placeholder, no functional/regional word	P05	942
right little finger 2	Right little finger 2	CLEAR	right little (pinky) finger, segment 2	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P05	943
ropen aaa	ROpen AAA	CLEAR	"a right-side ""open"" function, variant AAA (object unstated)"	NEEDS_CONTEXT		Low		open function is clear; owning object is not named	P05	944
genital left 1	genital left 1	CLEAR	genitals (structural anatomy), left, variant 1	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P05	945
bone 1075	bone 1075	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	946
midbrowdown	MidBrowDown	CLEAR	mid-brow, downward	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow expression control	P05	947
wep_fireselector_navy	WEP_FireSelector_Navy	CLEAR	"weapon fire selector, ""navy"" variant"	CLEAR	groupFile/Other	High		recognized weapon part	P05	948
pussyspread2	PussySpread2	CLEAR	genital spread, variant 2	CLEAR	groupFile/Body Morphs	High		genital soft-tissue state deformation	P05	949
ringright3	RingRight3	CLEAR	ring finger, right, segment 3	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P05	950
bone_legrr3	Bone_LegRR3	CLEAR	leg bone, right, segment 3	CLEAR	groupFile/Legs	Medium		ordinary leg anatomy	P05	951
