fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
doodad.bell_root_left	Doodad.Bell_Root_Left	CLEAR	a bell decoration, root, left	CLEAR	groupFile/Clothing	High		"bare ""bell"" decoration routes to Clothing by strong Master precedent (27/27)"	P02	601
bone116	Bone116	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P02	602
byoung	Byoung	OPAQUE	unclear term, no grounding	NOT_APPLICABLE		Low		ungrounded term, no other content	P02	603
r3rdna	R3rdNa	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low	"a ""right 3rd [something]"" reading is not grounded enough to assert"	ungrounded fused compound	P02	604
eye closed	Eye closed	CLEAR	closed-eye expression	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P02	605
rring0	rRing0	CLEAR	right ring finger, segment 0	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P02	606
bip_back_cloth_a_02	bip_back_cloth_a_02	CLEAR	generic cloth control, back, variant a, segment 02	CLEAR	groupFile/Clothing	High		generic cloth control	P02	607
wep_boxmagazine_bullet3	WEP_BoxMagazine_Bullet3	CLEAR	weapon box-magazine bullet part, variant 3	CLEAR	groupFile/Other	High		recognized weapon part	P02	608
rope_holster	rope_holster	CLEAR	a rope-style holster	CLEAR	groupFile/Clothing	High		worn-equipment holster default (rule 16)	P02	609
cc_butt.l	cc_Butt.l	CLEAR	buttock (structural anatomy), left	CLEAR	groupFile/Body	Medium		plain structural anatomy, no shape/state word (rule 6)	P02	610
shorthair_bone_05	shortHair_bone_05	CLEAR	short-hair bone, segment 05	CLEAR	groupFile/Hair	High		ordinary hair control	P02	611
dyng d 01	dyng d 01	CLEAR	dyng (jiggle-physics) control, variant d, 01	NEEDS_CONTEXT		Medium	"""dyng"" is a grounded jiggle-physics naming convention (rule 23), but no owning object is named"	function grounded, owning object not stated	P02	612
d_bicepsmucle_r	D_bicepsMucle_R	CLEAR	biceps muscle (right)	CLEAR	groupFile/Arms	High	"""Mucle"" read as ""Muscle"""	ordinary arm-muscle structural anatomy	P02	613
l_fin_front_a	l_fin_front_a	CLEAR	fin, left, front, variant a	CLEAR	groupFile/Other	High		"species-neutral ""fin"" anatomy; bare ""fin"" routes to Other by strong Master precedent (68/68)"	P02	614
bullet earring 3	bullet earring 3	CLEAR	bullet-shaped earring, variant 3	CLEAR	groupFile/Clothing	High		worn jewelry accessory	P02	615
watch_face_helper	watch_face_helper	CLEAR	wristwatch face control	CLEAR	groupFile/Clothing	Medium		"worn accessory; ""helper"" does not affect destination (rule 4)"	P02	616
