fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
unused b_l_legohelper	unused b_l_legohelper	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P04	801
foreskinbumpbottom	foreskinbumpbottom	CLEAR	foreskin bump, bottom	CLEAR	groupFile/Body Morphs	High		genital soft-tissue shape/bump deformation	P04	802
vase.002	Vase.002	CLEAR	a vase, variant 002	CLEAR	groupFile/Other	High		recognized prop	P04	803
helpthighsider	HelpThighSideR	CLEAR	right thigh helper, side	CLEAR	groupFile/Legs	High		ordinary thigh helper anatomy, not corrective by itself (rule 4)	P04	804
eye_left_squint	eye_Left_Squint	CLEAR	left eye squint	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P04	805
bip_l_middle_02	bip_l_middle_02	CLEAR	left middle finger, segment 02	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P04	806
unusedmot13-rightleg	unusedmot13-rightleg	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P04	807
cape2_left3	CAPE2_LEFT3	CLEAR	cape garment, left, variant 3	CLEAR	groupFile/Clothing	High		worn garment	P04	808
neckleftin	NeckLeftIn	CLEAR	neck, left, inward posing	CLEAR	groupFile/Body	Medium		ordinary structural neck posing control, no shape/state word	P04	809
doof_amp	doof_amp	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low		ungrounded term	P04	810
urethrabulgefixdown	UrethraBulgeFixDown	CLEAR	urethra bulge correction, downward	CLEAR	groupFile/Correctives	Medium		"explicit ""fix"" purpose word compensating a named deformation (rule 5)"	P04	811
upperarmbase_r	UpperArmBase_R	CLEAR	upper arm base, right	CLEAR	groupFile/Arms	High		ordinary arm anatomy	P04	812
16	16	OPAQUE	bare number, no words at all	NOT_APPLICABLE		Low	a number alone carries no semantic content	no interpretable content	P04	813
head_s_t	Head_S_T	CLEAR	"bare structural head (""S""/""T"" suffix unresolved)"	CLEAR	groupFile/Body	Medium	"""S""/""T"" do not resolve to a known facial feature"	bare structural head defaults to Body (rule 13)	P04	814
third_arms_l_ring4	Third_Arms_L_Ring4	CLEAR	left ring finger, third arm, segment 4	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		limb count does not change destination (rule 19); verified LeftFingers subpath	P04	815
