fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
bip armpit r	bip armpit r	CLEAR	armpit anatomy, right	CLEAR	groupFile/Arms	High		Armpit is arm-adjacent structural anatomy.	P107	
panties down 1	Panties down 1	CLEAR	panties down state, numbered	CLEAR	groupFile/Clothing	High		Explicit garment (panties) content.	P107	
drt_cutscene_stage_5-5_1_aos	drt_cutscene_stage_5-5_1_aos	OPAQUE	a cutscene/stage technical marker, no anatomical/object content	NOT_APPLICABLE		Low		Rule 27: technical scene/staging identifier, no animator-useful referent.	P107	
side_right_2	side_right_2	OPAQUE	bare 'side' plus side marker and number, no object named	NOT_APPLICABLE		Low		Rule 27: generic positional label alone identifies no controlled referent.	P107	
door_bottom	Door_Bottom	CLEAR	a door prop, bottom position	CLEAR	groupFile/Other	High		Recognized non-anatomical prop object.	P107	
valvebiped.hinge	ValveBiped.hinge	OPAQUE	a generic 'hinge' mechanism, no owning object named	NOT_APPLICABLE		Low		Rule 27: 'hinge' alone does not identify what it hinges.	P107	
pcube8	pCube8	OPAQUE	DCC-default primitive mesh name	NOT_APPLICABLE		Low		Maya pCube## auto-generated primitive name.	P107	
bone_legrr1	Bone_LegRR1	CLEAR	leg anatomy, cryptic 'RR1' suffix	CLEAR	groupFile/Legs	Medium		'Leg' grounds Legs regardless of the undecoded suffix (rule 24 pattern), matches Bone_LegRL1 precedent.	P107	
bip01_r_toe4	Bip01_R_Toe4	CLEAR	toe anatomy, right, numbered	CLEAR	groupFile/Toes/RightToes	High		Explicit toe digit anatomy and side.	P107	
bh45	Bh45	OPAQUE	cryptic 'Bh' code, numbered	NOT_APPLICABLE		Low		Matches the established cryptic 'Bh##.*' family precedent.	P107	
circle eye side collapse	circle Eye Side Collapse	CLEAR	an eye-shape mechanism, side-collapse manner	CLEAR	groupFile/Face/Eyes	Medium		Explicit 'Eye' qualifier localizes this to the eye mechanism (unlike bare whole-face 'collapse' entries).	P107	
level4_root	Level4_Root	OPAQUE	generic hierarchy-level label with a generic 'root' suffix	NOT_APPLICABLE		Low		Rule 27's own named example category -- generic level/root label, no animator-useful referent.	P107	
sperm.tail_8	Sperm.Tail_8	CLEAR	a sperm-cell effect/prop object, tail component, numbered	CLEAR	groupFile/Other	Medium		Recognized fluid/effect-object convention (rule 7 analog).	P107	
fan	fan	CLEAR	a fan object	NEEDS_CONTEXT		Low		'Fan' is a recognizable object with no stated prop-vs-decoration ownership, matches fan.front_1 from this tranche.	P107	
v_weapon.left_index01	v_weapon.Left_Index01	CLEAR	a weapon-rig finger-placement reference point, left, numbered	CLEAR	groupFile/Other	Medium		Matches the established v_weapon.* namespace family convention (routes to Other regardless of the specific content word).	P107	
mch-eye.l.003	MCH-eye.L.003	CLEAR	eye mechanism helper bone ('MCH'=mechanism prefix), left, numbered	CLEAR	groupFile/Face/Eyes	High		Rule 24: 'MCH' rig-namespace prefix set aside; explicit eye content.	P107	
bone184	Bone184	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P107	
valvebiped.bip01_r_upperarmtwist1	ValveBiped.Bip01_R_UpperarmTwist1	CLEAR	upper arm twist, right, numbered	CLEAR	groupFile/Arms	High		Standard bone naming, plain arm anatomy.	P107	
unused head neck lower attached_ssx h #2 head neck lower a.004	unused head neck lower attached_ssx h #2 head neck lower a.004	CLEAR	a self-declared unused placeholder	CLEAR	groupFile/Useless	High		Self-declared 'unused' placeholder (rule 15).	P107	
doorlockbone	DoorLockBone	CLEAR	a door lock prop, bone	CLEAR	groupFile/Other	High		Recognized non-anatomical prop object.	P107	
cock-round	cock-round	CLEAR	penis shape control, round variant	CLEAR	groupFile/Body Morphs	High		Explicit genital anatomy plus explicit shape descriptor.	P107	
genitalroot	GenitalRoot	CLEAR	genital anatomy structural root	CLEAR	groupFile/Body Morphs	Medium		This Master's genital-domain root/parent sub-family routes to Body Morphs (established via the PussParent live-Master family finding), not the general root->Body heuristic.	P107	
left index finger 1	Left index finger 1	CLEAR	index finger, left, segment 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit finger anatomy and side.	P107	
cons_potion_healing_a_superior_glass_mesh	CONS_Potion_Healing_A_Superior_Glass_Mesh	CLEAR	a healing potion prop, glass container, variant a	CLEAR	groupFile/Other	High		Recognized consumable prop object.	P107	
mainlidlower	MainLidLower	CLEAR	lower eyelid mechanism	CLEAR	groupFile/Face/Eyes	High		Explicit eyelid mechanism.	P107	
bone158	Bone158	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P107	
flap.front_2	Flap.Front_2	CLEAR	a garment flap, front position, numbered	CLEAR	groupFile/Clothing	High		Matches flap.front_1 established precedent.	P107	
