fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
left hand screw	Left hand screw	PARTIAL	a left hand-screw mechanism control, no owner named	NEEDS_CONTEXT		Medium	siblings split between CLEAR/Arms/LeftArm (screw 1) and PARTIAL/NEEDS_CONTEXT (screw 2/3)	matches the majority 'left hand screw' numbered sibling pattern, PARTIAL/NEEDS_CONTEXT	P90	
level2_root	Level2_Root	OPAQUE	a generic LOD/level rig-root marker	NOT_APPLICABLE		Medium		generic technical root marker, no anatomical/functional content	P90	
uuuh	uuuh	OPAQUE	a bare nonsense-sound token with no content	NOT_APPLICABLE		High		no readable anatomical/functional content (rule 22)	P90	
buttshrink	ButtShrink	CLEAR	a butt-shrink shape control	CLEAR	groupFile/Body Morphs	High		explicit body-shape size word (rule 7)	P90	
liplower_r1	lipLower_R1	CLEAR	a right lower-lip control, numbered	CLEAR	groupFile/Face/Lower Face	High		matches extensive liplower sibling family, all CLEAR/CLEAR/Face/Lower Face	P90	
l_front_holster_0u_10v	l_front_holster_0u_10v	CLEAR	a left front-holster control, UV-indexed	CLEAR	groupFile/Clothing	High		matches extensive front_holster sibling family, all CLEAR/CLEAR/Clothing	P90	
strap_a.01	Strap_A.01	CLEAR	a numbered strap accessory, variant A	NEEDS_CONTEXT		High	no owner/garment named	matches Strap_A.02/03/04/05 sibling series, all CLEAR/NEEDS_CONTEXT	P90	
bip elbowfront l	bip elbowfront l	CLEAR	a left elbow-front control	CLEAR	groupFile/Arms	High		direct sibling 'bip elbowfront r', CLEAR/CLEAR/Arms	P90	
upzip_bone_m_02	upzip_bone_m_02	CLEAR	a zipper-bone control, middle, numbered	CLEAR	groupFile/Clothing	High		direct sibling upzip_bone_m_01, CLEAR/CLEAR/Clothing	P90	
right_11	right_11	OPAQUE	a bare positional label with no object named	NOT_APPLICABLE		High		matches right_10/13/15/19 sibling series, all OPAQUE/NOT_APPLICABLE	P90	
arm left finger pinky	arm left finger pinky	CLEAR	a left pinky-finger bone	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment, LeftFingers verified subpath (rule 10)	P90	
futa version 1	Futa Version 1	CLEAR	a body-type/anatomy variant selector, numbered	CLEAR	groupFile/Body	Medium	no garment qualifier present, unlike the sibling 'Shorts Non Futa Shadow'	unqualified 'futa' denotes an anatomy/body-type variant, not a garment feature	P90	
unused head.021	unused head.021	CLEAR	a self-declared unused placeholder	CLEAR	groupFile/Useless	High		explicit self-declared 'unused' marker (rule 15)	P90	
tailleft2_7	TailLeft2_7	CLEAR	a numbered left tail segment	CLEAR	groupFile/Tail	High		matches extensive TailLeft2 sibling series, all CLEAR/CLEAR/Tail	P90	
stomp-1	stomp-1	CLEAR	a 'stomp' pose function, numbered, no owner named	NEEDS_CONTEXT		High	owner not established	matches stomp-3/4/8 sibling series, all CLEAR/NEEDS_CONTEXT	P90	
canine_reye	Canine_REye	CLEAR	a right eye control on a canine rig	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy (rule 12)	P90	
eyes angry right	eyes angry right	CLEAR	a right 'eyes angry' expression control	CLEAR	groupFile/Face/Eyes	High		direct sibling 'eyes angry left', CLEAR/CLEAR/Face/Eyes	P90	
facial_bone_eye_up_r	Facial_Bone_Eye_UP_R	CLEAR	a right upper-eye facial bone	CLEAR	groupFile/Face/Eyes	High		direct sibling Facial_Bone_Eye_UP_L, CLEAR/CLEAR/Face/Eyes	P90	
bone027	Bone027	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		matches extensive bone02# sibling series, all OPAQUE/NOT_APPLICABLE	P90	
llotwist1	lLoTwist1	PARTIAL	a left-side twist bone with an undecoded 'Lo' region abbreviation	NEEDS_CONTEXT		Medium	'Lo' is not grounded by other content in the literal or a confirmed sibling series	direct sibling rLoTwist1 (Tranche 9, P82), PARTIAL/NEEDS_CONTEXT	P90	
fa_under_chin_left_out	fa_under_chin_left_out	CLEAR	a left under-chin control, outer	CLEAR	groupFile/Face/Lower Face	High		matches direct sibling fa_under_chin_center, CLEAR/CLEAR/Face/Lower Face	P90	
table	Table+table	CLEAR	a table furniture prop	CLEAR	groupFile/Other	High		matches Side table 1/2 sibling series, all CLEAR/CLEAR/Other	P90	
lkakato03n	LKakato03N	CLEAR	a numbered heel/leg bone (Japanese 'kakato' = heel)	CLEAR	groupFile/Legs	High		matches LKakato01N/02N sibling series, all CLEAR/CLEAR/Legs	P90	
pcylinder9	pCylinder9	OPAQUE	a DCC-default primitive mesh identifier	NOT_APPLICABLE		High		matches extensive pCylinder## sibling series, all OPAQUE/NOT_APPLICABLE (Section 5)	P90	
l top lid	L top lid	CLEAR	a left top-eyelid control	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid mechanism (rule 12)	P90	
bhr48	BhR48	OPAQUE	a cryptic alphanumeric code, numbered	NOT_APPLICABLE		High		matches BhR43/45/46/444 sibling series, all OPAQUE/NOT_APPLICABLE	P90	
wep_magazine2_bullet	WEP_Magazine2_Bullet	CLEAR	a weapon magazine-bullet prop	CLEAR	groupFile/Other	High		matches WEP_Magazine2_Bullet1/2/3 sibling series, all CLEAR/CLEAR/Other	P90	
bip01_l_forearm019	Bip01_L_Forearm019	CLEAR	a left forearm bone, numbered	CLEAR	groupFile/Arms	High		ordinary structural arm anatomy (rule 6); bare Arms per rule 10 default	P90	
pb_l_cmy01_fhair_02	pb_L_CMY01_FHair_02	CLEAR	a left hair-strand control, numbered	CLEAR	groupFile/Hair	High		matches pb_R_CMY01_FHair sibling family, all CLEAR/CLEAR/Hair	P90	
leg left boot tassle 4b	leg left boot tassle 4b	CLEAR	a left boot-tassel garment control, numbered	CLEAR	groupFile/Clothing	High		matches extensive 'leg left/right boot tassle' sibling family, all CLEAR/CLEAR/Clothing	P90	
bip_l_horn_01	bip_l_horn_01	CLEAR	a numbered left horn segment	CLEAR	groupFile/Other	High		settled Rule 18 horn precedent, matches bip_l_horn/b/c sibling family	P90	
bip01_neck019	Bip01_Neck019	CLEAR	a neck bone, numbered	CLEAR	groupFile/Body	High		ordinary structural neck anatomy (rule 6)	P90	
spike_05_m	Spike_05_M	CLEAR	a numbered spike control, variant M, no owner named	NEEDS_CONTEXT		Medium	owner not established; one sibling (spike_03_m) is CLEAR/Other without a stated distinguishing reason	matches the majority spike_0#_m sibling pattern, CLEAR/NEEDS_CONTEXT	P90	
unused 1	unused 1	CLEAR	a self-declared unused placeholder	CLEAR	groupFile/Useless	High		explicit self-declared 'unused' marker (rule 15)	P90	
bow left a 3	bow left a 3	PARTIAL	a 'bow' (decorative bow / archery bow / ship's bow), left side, lettered variant	NEEDS_CONTEXT		High	materially different core readings for 'bow' remain plausible	matches extensive bow-left-a-lettered sibling family, all PARTIAL/NEEDS_CONTEXT	P90	
right thumb intermediate	Right Thumb Intermediate	CLEAR	a right thumb intermediate phalanx bone	CLEAR	groupFile/Arms/RightArm/RightFingers	High		matches extensive 'right thumb' sibling family, all CLEAR/CLEAR/RightFingers	P90	
left_16	left_16	OPAQUE	a bare positional label with no object named	NOT_APPLICABLE		High		matches bare positional-label-no-owner OPAQUE precedent	P90	
bipqwn lthightwist	BipQwn LThighTwist	CLEAR	a left thigh twist bone on the BipQwn rig namespace	CLEAR	groupFile/Legs	High		direct sibling BipQwn LThighTwist1, CLEAR/CLEAR/Legs	P90	
right index finger 1 expansion 1	Right index finger 1 expansion 1	CLEAR	a right index-finger expansion control, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		matches extensive 'right index finger' sibling family, all CLEAR/CLEAR/RightFingers	P90	
microphone_2	Microphone_2	CLEAR	a numbered microphone prop	CLEAR	groupFile/Other	High		matches Microphone_1/3/5 sibling series, all CLEAR/CLEAR/Other	P90	
