fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
f_l_temple	f_L_Temple	CLEAR	temple (head/forehead-side) anatomy, left	CLEAR	groupFile/Face/Upper Face	High		Temple is part of the forehead/upper-face region.	P106	
bone.013	Bone.013	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P106	
lfingers	LFingers	CLEAR	a general left-fingers group control	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		Plural 'Fingers' with explicit left side names the whole finger set.	P106	
bip_jacket_rightdown	bip_jacket_rightdown	CLEAR	jacket garment, right, down state	CLEAR	groupFile/Clothing	High		Explicit garment (jacket) content.	P106	
wep_bullet8_shell	WEP_Bullet8_Shell	CLEAR	a bullet casing/shell, numbered	CLEAR	groupFile/Other	High		WEP prefix + recognized ammunition object.	P106	
earring right 3	earring right 3	CLEAR	earring jewelry, right, numbered	CLEAR	groupFile/Clothing	High		Explicit jewelry/accessory content.	P106	
leftfinge43	LeftFinge43	CLEAR	finger anatomy ('Finge'=truncated Finger), left, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Recognizable truncation of 'Finger'; matches leftfinge33 precedent.	P106	
genitals_outer_front_right	Genitals_Outer_Front_Right	CLEAR	genital anatomy, outer, front, right	CLEAR	groupFile/Body Morphs	Medium		Bare genital word matches this Master's established Body-Morphs-dominant genital-domain routing.	P106	
smile_wideopen	smile_wideopen	CLEAR	a smile mouth expression, wide-open variant	CLEAR	groupFile/Face/Lower Face	High		Matches settled bare-word 'Smile'->Lower Face precedent.	P106	
bone053	Bone053	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P106	
bodybuilder lower details	Bodybuilder Lower Details	CLEAR	lower-body muscle-definition shape control	CLEAR	groupFile/Body Morphs	High		Explicit body-shape/appearance descriptor (bodybuilder).	P106	
bip_tail_b	bip_tail_b	CLEAR	tail anatomy, variant b	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P106	
key 1 - shirt	Key 1 - Shirt	CLEAR	a shirt-related pose key control, numbered 1	CLEAR	groupFile/Clothing	High		Explicit 'Shirt' qualifier resolves the Key ambiguity to a garment-specific control.	P106	
arm left shoulder ctrl 2	arm left shoulder ctrl 2	CLEAR	shoulder anatomy, left, numbered	CLEAR	groupFile/Arms	High		Explicit shoulder anatomy.	P106	
bone 1055	bone 1055	OPAQUE	generic numbered bone	NOT_APPLICABLE		Low		Bare numbered bone, no recoverable referent.	P106	
bip001-mechon	Bip001-Mechon	OPAQUE	cryptic 'Mechon' suffix, numbered bip prefix, no recoverable content	NOT_APPLICABLE		Low		No grounding for 'Mechon' in this corpus.	P106	
body-big-arms	Body-Big-Arms	CLEAR	an arm size/shape control, big variant	CLEAR	groupFile/Body Morphs	High		Explicit shape/size descriptor (big) on arm anatomy.	P106	
eye pupil small	Eye pupil small	CLEAR	pupil size control, small variant	CLEAR	groupFile/Face/Eyes	High		Localized eye-feature shape control stays with the Eyes subgroup, matching this Master's Face-taxonomy convention (parallel to smolllips->Lower Face).	P106	
unused4	unused4	CLEAR	a self-declared unused placeholder, numbered	CLEAR	groupFile/Useless	High		Self-declared 'unused' placeholder (rule 15).	P106	
high	high	OPAQUE	bare generic adjective, no object named	NOT_APPLICABLE		Low		Rule 27: no animator-useful referent from a bare quality adjective.	P106	
l_neck_32	l_neck_32	PARTIAL	a left-prefixed, heavily-numbered 'neck' chain element -- unclear whether structural neck-region anatomy or decorative chain	NEEDS_CONTEXT		Low		Matches the established l_neck_18 unresolved pattern -- numbering this high does not match ordinary neck-vertebra anatomy.	P106	
shorthair_bone_08	shortHair_bone_08	CLEAR	short hair strand bone, numbered	CLEAR	groupFile/Hair	High		Matches shorthair_bone_02 precedent; explicit hair content.	P106	
box_face_18_m	Box_Face_18_M	PARTIAL	a 'Box Face' (geometric face/panel of a box object vs. a character's face), numbered, variant M	NEEDS_CONTEXT		Medium		Matches the established Box_Face_##_M unresolved-template precedent.	P106	
unusedbone086	unusedbone086	CLEAR	a self-declared unused placeholder bone	CLEAR	groupFile/Useless	High		Self-declared 'unused' placeholder (rule 15).	P106	
eyebroows up	Eyebroows up	CLEAR	eyebrow up mechanism (misspelling of Eyebrows)	CLEAR	groupFile/Face/Upper Face	High		Recognizable misspelling; explicit brow mechanism.	P106	
